FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,         , RAJA_WORKGROUP_HIP,        
Basic_ATOMIC_PI           , -0.71           ,         , 0.095           ,         , -0.19           ,         , -0.33           ,         , 0               ,        
Basic_DAXPY               , -0.64           ,         , 1.6             ,OVER_TOL , -0.12           ,         , -0.15           ,         , 0               ,        
Basic_IF_QUAD             , 0.25            ,OVER_TOL , 4.2             ,OVER_TOL , -0.29           ,         , -0.29           ,         , 0               ,        
Basic_INIT3               , -0.5            ,         , 1.6             ,OVER_TOL , -0.27           ,         , -0.27           ,         , 0               ,        
Basic_INIT_VIEW1D         , -0.17           ,         , 2.3             ,OVER_TOL , -0.3            ,         , -0.28           ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.14           ,         , 1.9             ,OVER_TOL , -0.27           ,         , -0.21           ,         , 0               ,        
Basic_MULADDSUB           , 0               ,         , 2.8             ,OVER_TOL , -0.29           ,         , -0.29           ,         , 0               ,        
Basic_NESTED_INIT         , -0.43           ,         , 2.1             ,OVER_TOL , -0.29           ,         , -0.26           ,         , 0               ,        
Basic_REDUCE3_INT         , -0.76           ,         , -0.048          ,         , 0               ,         , -0.14           ,         , 0               ,        
Basic_TRAP_INT            , -0.81           ,         , -0.095          ,         , 0               ,         , -0.57           ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.81           ,         , -0.095          ,         , -0.3            ,         , -0.57           ,         , 1.8e+308        ,        
Col Max                   , 0.25            ,         , 4.2             ,         , -0.12           ,         , -0.14           ,         , -1.8e+308       ,        
Col Avg                   , -0.39           ,         , 1.7             ,         , -0.25           ,         , -0.28           ,         , 0               ,        
Col Std Dev               , 0.12            ,         , 1.7             ,         , 0.0035          ,         , 0.013           ,         , 0               ,        
