FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,        
Apps_DEL_DOT_VEC_2D       , 0.0085          ,         , 0.01            ,         , -0.17           ,         , 3.3             ,OVER_TOL
Apps_ENERGY               , 0.071           ,         , 0.081           ,         , 0               ,         , -0.046          ,        
Apps_FIR                  , -0.038          ,         , -0.033          ,         , 0               ,         , 0.0084          ,        
Apps_HALOEXCHANGE         , 0.064           ,         , 0.075           ,         , 0               ,         , 0.3             ,OVER_TOL
Apps_LTIMES               , -6.9e-06        ,         , 0.0022          ,         , -0.061          ,         , 0.073           ,        
Apps_LTIMES_NOVIEW        , 0.0029          ,         , 0.0023          ,         , -0.064          ,         , 0.077           ,        
Apps_PRESSURE             , -0.0019         ,         , -0.003          ,         , 0               ,         , -0.0072         ,        
Apps_VOL3D                , -0.0019         ,         , 0.0032          ,         , 0               ,         , -0.16           ,        
Basic_DAXPY               , 0.0011          ,         , -0.00024        ,         , -0.0062         ,         , 0.054           ,        
Basic_IF_QUAD             , -0.0039         ,         , -0.0035         ,         , -0.05           ,         , -0.076          ,        
Basic_INIT3               , 0.001           ,         , 0.013           ,         , -0.051          ,         , -0.023          ,        
Basic_INIT_VIEW1D         , 0.0067          ,         , -0.055          ,         , -0.17           ,         , -0.039          ,        
Basic_INIT_VIEW1D_OFFSET  , 0.00087         ,         , -0.061          ,         , -0.037          ,         , 0.12            ,OVER_TOL
Basic_MULADDSUB           , -0.0043         ,         , -0.0094         ,         , -0.095          ,         , -0.025          ,        
Basic_NESTED_INIT         , 0.00051         ,         , 0.0065          ,         , -0.023          ,         , -0.011          ,        
Basic_PI_ATOMIC           , 0.0014          ,         , 1.2             ,OVER_TOL , -0.051          ,         , -0.056          ,        
Basic_REDUCE3_INT         , 0.0012          ,         , -0.076          ,         , 0               ,         , -0.65           ,        
Basic_TRAP_INT            , -3.4e-06        ,         , -0.00086        ,         , 0               ,         , -0.96           ,        
Lcals_DIFF_PREDICT        , -0.0048         ,         , -0.01           ,         , 0               ,         , -0.042          ,        
Lcals_EOS                 , -0.0055         ,         , -0.014          ,         , 0               ,         , -0.055          ,        
Lcals_FIRST_DIFF          , -0.0027         ,         , -0.0013         ,         , 0               ,         , -0.0081         ,        
Lcals_FIRST_MIN           , -0.024          ,         , -0.0041         ,         , 0               ,         , 0.18            ,OVER_TOL
Lcals_FIRST_SUM           , -0.0046         ,         , -0.0035         ,         , 0               ,         , -0.034          ,        
Lcals_GEN_LIN_RECUR       , 0.0034          ,         , 0.00098         ,         , 0               ,         , -0.063          ,        
Lcals_HYDRO_1D            , -0.0017         ,         , 0.00078         ,         , 0               ,         , -0.039          ,        
Lcals_HYDRO_2D            , -0.00081        ,         , -0.0048         ,         , 0               ,         , -0.025          ,        
Lcals_INT_PREDICT         , 0.01            ,         , 0.074           ,         , 0               ,         , -0.048          ,        
Lcals_PLANCKIAN           , -0.0022         ,         , -0.012          ,         , 0               ,         , -0.23           ,        
Lcals_TRIDIAG_ELIM        , 0.00069         ,         , 0.00038         ,         , 0               ,         , 0.0028          ,        
Stream_ADD                , 0.0018          ,         , 0.0024          ,         , -0.016          ,         , 0.031           ,        
Stream_COPY               , -0.0041         ,         , -0.0018         ,         , -0.083          ,         , 0.0017          ,        
Stream_DOT                , -0.0016         ,         , 0.00011         ,         , 0               ,         , -0.96           ,        
Stream_MUL                , 0.00014         ,         , 0.0016          ,         , -0.068          ,         , -0.021          ,        
Stream_TRIAD              , -0.00035        ,         , -0.00091        ,         , -0.074          ,         , -0.013          ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.038          ,         , -0.076          ,         , -0.17           ,         , -0.96           ,        
Col Max                   , 0.071           ,         , 1.2             ,         , -0.0062         ,         , 3.3             ,        
Col Avg                   , 0.0021          ,         , 0.035           ,         , -0.068          ,         , 0.015           ,        
Col Std Dev               , 0.00034         ,         , 0.043           ,         , 0.0021          ,         , 0.39            ,        
