Speedup Report (T_ref/T_var): ref var = Base_Seq  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_HIP , Lambda_HIP , RAJA_HIP , Kokkos_Lambda , Kokkos_Functor
Algorithm_SORT            ,    1.000 ,    Not run ,    0.948 ,  Not run ,    Not run ,   81.505 ,        29.199 ,        Not run
Algorithm_SORTPAIRS       ,    1.000 ,    Not run ,    0.830 ,  Not run ,    Not run ,   65.910 ,           inf ,        Not run
Apps_DEL_DOT_VEC_2D       ,    1.000 ,      1.004 ,    1.019 ,  110.994 ,    133.386 ,   26.023 ,        10.914 ,        Not run
Apps_ENERGY               ,    1.000 ,      0.935 ,    0.947 ,   26.459 ,    Not run ,   26.362 ,        12.412 ,        Not run
Apps_FIR                  ,    1.000 ,      1.006 ,    1.033 ,  111.111 ,    Not run ,  106.949 ,        41.191 ,        Not run
Apps_HALOEXCHANGE         ,    1.000 ,      1.001 ,    1.001 ,    0.473 ,    Not run ,    0.352 ,         0.023 ,        Not run
Apps_LTIMES               ,    1.000 ,      1.000 ,    0.997 ,   53.800 ,     57.034 ,   49.849 ,        16.384 ,        Not run
Apps_LTIMES_NOVIEW        ,    1.000 ,      1.000 ,    1.000 ,   53.969 ,     57.244 ,   49.783 ,       Not run ,        Not run
Apps_PRESSURE             ,    1.000 ,      1.002 ,    1.003 ,   25.340 ,    Not run ,   25.452 ,         9.643 ,        Not run
Apps_VOL3D                ,    1.000 ,      0.997 ,    1.016 ,  134.371 ,    Not run ,  154.335 ,        65.823 ,        Not run
Basic_DAXPY               ,    1.000 ,      0.999 ,    0.999 ,   11.893 ,     11.591 ,   11.117 ,         4.068 ,        Not run
Basic_IF_QUAD             ,    1.000 ,      1.004 ,    0.998 ,  129.285 ,    139.289 ,  141.574 ,        69.642 ,        Not run
Basic_INIT3               ,    1.000 ,      1.004 ,    1.006 ,   24.080 ,     26.080 ,   24.429 ,        12.720 ,        Not run
Basic_INIT_VIEW1D         ,    1.000 ,      1.335 ,    1.064 ,   39.913 ,     46.932 ,   38.443 ,         7.248 ,        Not run
Basic_INIT_VIEW1D_OFFSET  ,    1.000 ,      1.000 ,    0.667 ,   45.708 ,     47.048 ,   38.021 ,         7.106 ,        Not run
Basic_MULADDSUB           ,    1.000 ,      0.998 ,    0.994 ,   22.201 ,     23.674 ,   22.607 ,        11.515 ,        Not run
Basic_NESTED_INIT         ,    1.000 ,      1.000 ,    1.000 ,   37.465 ,     38.416 ,   38.452 ,         5.992 ,        Not run
Basic_PI_ATOMIC           ,    1.000 ,      0.996 ,    0.452 ,    0.000 ,      0.000 ,    0.000 ,         0.000 ,        Not run
Basic_REDUCE3_INT         ,    1.000 ,      0.997 ,    1.078 ,    0.594 ,    Not run ,    1.154 ,         0.975 ,        Not run
Basic_TRAP_INT            ,    1.000 ,      0.989 ,    0.991 ,    2.194 ,    Not run ,   57.292 ,        19.887 ,        Not run
Lcals_DIFF_PREDICT        ,    1.000 ,      0.993 ,    0.991 ,   18.855 ,    Not run ,   19.795 ,        10.312 ,        Not run
Lcals_EOS                 ,    1.000 ,      1.001 ,    1.001 ,   28.076 ,    Not run ,   28.423 ,        10.785 ,        Not run
Lcals_FIRST_DIFF          ,    1.000 ,      1.001 ,    1.001 ,   15.270 ,    Not run ,   14.245 ,         3.816 ,        Not run
Lcals_FIRST_MIN           ,    1.000 ,      0.986 ,    1.002 ,    5.061 ,    Not run ,    7.209 ,         2.301 ,        Not run
Lcals_FIRST_SUM           ,    1.000 ,      1.000 ,    1.000 ,   16.122 ,    Not run ,   14.768 ,         3.944 ,        Not run
Lcals_GEN_LIN_RECUR       ,    1.000 ,      1.005 ,    1.001 ,   13.930 ,    Not run ,   14.438 ,         6.260 ,        Not run
Lcals_HYDRO_1D            ,    1.000 ,      1.001 ,    1.000 ,   24.277 ,    Not run ,   19.840 ,         7.569 ,        Not run
Lcals_HYDRO_2D            ,    1.000 ,      0.998 ,    1.000 ,   37.559 ,    Not run ,   37.884 ,        16.665 ,        Not run
Lcals_INT_PREDICT         ,    1.000 ,      1.001 ,    0.911 ,   24.877 ,    Not run ,   25.978 ,        13.666 ,        Not run
Lcals_PLANCKIAN           ,    1.000 ,      1.002 ,    1.009 ,  192.940 ,    Not run ,  250.790 ,        92.380 ,        Not run
Lcals_TRIDIAG_ELIM        ,    1.000 ,      1.017 ,    0.999 ,   23.238 ,    Not run ,   22.004 ,         9.706 ,        Not run
Stream_ADD                ,    1.000 ,      1.001 ,    1.001 ,   23.704 ,     22.198 ,   22.373 ,         7.064 ,        Not run
Stream_COPY               ,    1.000 ,      1.015 ,    0.999 ,   14.495 ,     15.065 ,   13.824 ,         3.622 ,        Not run
Stream_DOT                ,    1.000 ,      1.011 ,    1.003 ,    0.509 ,    Not run ,   15.359 ,         5.111 ,        Not run
Stream_MUL                ,    1.000 ,      1.013 ,    1.002 ,   15.541 ,     14.751 ,   14.176 ,         3.568 ,        Not run
Stream_TRIAD              ,    1.000 ,      0.951 ,    1.000 ,   22.338 ,     23.999 ,   21.259 ,         6.741 ,        Not run
