FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,        
Apps_DEL_DOT_VEC_2D       , -0.00022        ,         , 0.00072         ,         , -0.16           ,         , 3.3             ,OVER_TOL
Apps_ENERGY               , 0.07            ,         , 0.081           ,         , 0               ,         , -0.035          ,        
Apps_FIR                  , -0.037          ,         , -0.026          ,         , 0               ,         , -0.048          ,        
Apps_HALOEXCHANGE         , -0.044          ,         , -0.037          ,         , 0               ,         , 0.3             ,OVER_TOL
Apps_LTIMES               , -0.00017        ,         , 0.0037          ,         , -0.057          ,         , 0.078           ,        
Apps_LTIMES_NOVIEW        , 0.0024          ,         , 0.0017          ,         , -0.068          ,         , 0.073           ,        
Apps_PRESSURE             , -0.0018         ,         , 0.00051         ,         , 0               ,         , -0.019          ,        
Apps_VOL3D                , 0.019           ,         , 0.032           ,         , 0               ,         , -0.17           ,        
Basic_DAXPY               , 0.0019          ,         , 0.0013          ,         , -0.11           ,         , -0.046          ,        
Basic_IF_QUAD             , -0.012          ,         , -0.0066         ,         , -0.1            ,         , -0.03           ,        
Basic_INIT3               , 0.0012          ,         , 0.0035          ,         , -0.091          ,         , -0.028          ,        
Basic_INIT_VIEW1D         , -0.0014         ,         , -0.062          ,         , -0.14           ,         , -0.025          ,        
Basic_INIT_VIEW1D_OFFSET  , 4.8e-05         ,         , -0.061          ,         , -0.057          ,         , 0.35            ,OVER_TOL
Basic_MULADDSUB           , 0.0026          ,         , 0.0029          ,         , -0.093          ,         , -0.061          ,        
Basic_NESTED_INIT         , -0.00039        ,         , 0.0072          ,         , -0.015          ,         , -0.0082         ,        
Basic_PI_ATOMIC           , -0.0014         ,         , 1.2             ,OVER_TOL , -0.041          ,         , -0.0013         ,        
Basic_REDUCE3_INT         , -0.007          ,         , -0.058          ,         , 0               ,         , -0.62           ,        
Basic_TRAP_INT            , 0.00011         ,         , 0.00026         ,         , 0               ,         , -0.96           ,        
Lcals_DIFF_PREDICT        , -0.0034         ,         , 0.0062          ,         , 0               ,         , -0.049          ,        
Lcals_EOS                 , -0.011          ,         , -0.007          ,         , 0               ,         , -0.1            ,        
Lcals_FIRST_DIFF          , -0.0032         ,         , -0.00065        ,         , 0               ,         , -0.024          ,        
Lcals_FIRST_MIN           , 0.015           ,         , 0.00098         ,         , 0               ,         , 0.27            ,OVER_TOL
Lcals_FIRST_SUM           , -0.00031        ,         , 0.0014          ,         , 0               ,         , -0.029          ,        
Lcals_GEN_LIN_RECUR       , -0.0056         ,         , -0.0013         ,         , 0               ,         , -0.062          ,        
Lcals_HYDRO_1D            , 0.006           ,         , 0.00029         ,         , 0               ,         , -0.038          ,        
Lcals_HYDRO_2D            , 0.0015          ,         , 0.0057          ,         , 0               ,         , -0.0086         ,        
Lcals_INT_PREDICT         , 0.0066          ,         , 0.081           ,         , 0               ,         , -0.064          ,        
Lcals_PLANCKIAN           , -0.00099        ,         , -0.01           ,         , 0               ,         , -0.21           ,        
Lcals_TRIDIAG_ELIM        , 0.00051         ,         , -0.0032         ,         , 0               ,         , 0.0042          ,        
Stream_ADD                , -0.0034         ,         , -0.0039         ,         , -0.049          ,         , 0.011           ,        
Stream_COPY               , 0.0031          ,         , 0.0007          ,         , -0.054          ,         , 0.0031          ,        
Stream_DOT                , -0.0019         ,         , 0.0052          ,         , 0               ,         , -0.96           ,        
Stream_MUL                , 0.0065          ,         , -0.00029        ,         , -0.056          ,         , 0.03            ,        
Stream_TRIAD              , -0.029          ,         , -0.0015         ,         , -0.11           ,         , -0.011          ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.044          ,         , -0.062          ,         , -0.16           ,         , -0.96           ,        
Col Max                   , 0.07            ,         , 1.2             ,         , -0.015          ,         , 3.3             ,        
Col Avg                   , -0.00077        ,         , 0.034           ,         , -0.08           ,         , 0.024           ,        
Col Std Dev               , 0.0003          ,         , 0.042           ,         , 0.0015          ,         , 0.4             ,        
