Speedup Report (T_ref/T_var): ref var = Base_Seq  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_HIP , Lambda_HIP , RAJA_HIP , RAJA_WORKGROUP_HIP , Kokkos_Lambda , Kokkos_Functor
Basic_ATOMIC_PI           ,    1.000 ,      4.200 ,    1.000 ,    0.362 ,      0.525 ,    0.525 ,            Not run ,         0.368 ,        Not run
Basic_DAXPY               ,    1.000 ,      3.167 ,    0.905 ,    0.247 ,      0.514 ,    0.528 ,            Not run ,         0.358 ,        Not run
Basic_IF_QUAD             ,    1.000 ,      1.800 ,    0.450 ,    0.170 ,      0.257 ,    0.225 ,            Not run ,         0.031 ,        Not run
Basic_INIT3               ,    1.000 ,      0.833 ,    0.192 ,    0.094 ,      0.143 ,    0.139 ,            Not run ,         0.093 ,        Not run
Basic_INIT_VIEW1D         ,    1.000 ,      1.200 ,    0.286 ,    0.105 ,      0.136 ,    0.171 ,            Not run ,         0.105 ,        Not run
Basic_INIT_VIEW1D_OFFSET  ,    1.000 ,      1.000 ,    0.250 ,    0.093 ,      0.128 ,    0.128 ,            Not run ,         0.088 ,        Not run
Basic_MULADDSUB           ,    1.000 ,      0.833 ,    0.227 ,    0.089 ,      0.135 ,    0.128 ,            Not run ,         0.018 ,        Not run
Basic_NESTED_INIT         ,    1.000 ,      2.000 ,    0.455 ,    0.182 ,      0.263 ,    0.217 ,            Not run ,         0.182 ,        Not run
Basic_REDUCE3_INT         ,    1.000 ,     19.500 ,   10.174 ,    4.255 ,    Not run ,    4.588 ,            Not run ,         4.776 ,        Not run
Basic_TRAP_INT            ,    1.000 ,      4.000 ,    0.870 ,    0.385 ,    Not run ,    0.571 ,            Not run ,         0.370 ,        Not run
