Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_HIP , Lambda_HIP , RAJA_HIP , Kokkos_Lambda , Kokkos_Functor
Apps_DEL_DOT_VEC_2D       , 0.798864 ,   0.817184 , 0.809306 , 0.007633 ,   0.006232 , 0.031839 ,       Not run ,        Not run
Apps_ENERGY               , 1.120892 ,   1.195577 , 1.213056 , 0.044566 ,    Not run , 0.042514 ,       Not run ,        Not run
Apps_FIR                  , 0.984658 ,   0.949952 , 0.953188 , 0.007736 ,    Not run , 0.009116 ,       Not run ,        Not run
Apps_HALOEXCHANGE         , 0.014260 ,   0.014265 , 0.014390 , 0.059007 ,    Not run , 0.042543 ,       Not run ,        Not run
Apps_LTIMES               , 0.871810 ,   0.871895 , 0.873655 , 0.016471 ,   0.015378 , 0.017534 ,       Not run ,        Not run
Apps_LTIMES_NOVIEW        , 0.871881 ,   0.877344 , 0.874124 , 0.016427 ,   0.015296 , 0.017732 ,       Not run ,        Not run
Apps_PRESSURE             , 1.495077 ,   1.494474 , 1.498073 , 0.054586 ,    Not run , 0.054728 ,       Not run ,        Not run
Apps_VOL3D                , 1.161562 ,   1.159275 , 1.169983 , 0.009204 ,    Not run , 0.008732 ,       Not run ,        Not run
Basic_DAXPY               , 0.192684 ,   0.191433 , 0.192081 , 0.017652 ,   0.018174 , 0.018243 ,      0.058075 ,        Not run
Basic_IF_QUAD             , 1.711258 ,   1.705669 , 1.718092 , 0.013612 ,   0.012461 , 0.012228 ,      0.025053 ,        Not run
Basic_INIT3               , 1.027447 ,   1.028630 , 1.032726 , 0.031972 ,   0.030288 , 0.030587 ,      0.065901 ,        Not run
Basic_INIT_VIEW1D         , 1.514556 ,   1.511303 , 1.409150 , 0.032449 ,   0.026264 , 0.036963 ,      0.237579 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 1.522865 ,   1.522426 , 1.425379 , 0.027669 ,   0.026196 , 0.038805 ,      0.239597 ,        Not run
Basic_MULADDSUB           , 0.536990 ,   0.529029 , 0.532122 , 0.023768 ,   0.022214 , 0.023719 ,      0.049564 ,        Not run
Basic_NESTED_INIT         , 0.606485 ,   0.606693 , 0.610938 , 0.016110 ,   0.015565 , 0.015828 ,      0.110784 ,        Not run
Basic_PI_ATOMIC           , 0.075336 ,   0.075330 , 0.165818 , 845.767460 , 882.300555 , 972.296947 ,   1138.774583 ,        Not run
Basic_REDUCE3_INT         , 0.012554 ,   0.012560 , 0.011605 , 0.021596 ,    Not run , 0.009153 ,      0.010341 ,        Not run
Basic_TRAP_INT            , 0.205966 ,   0.205939 , 0.205922 , 0.094825 ,    Not run , 0.004080 ,      0.008483 ,        Not run
Lcals_DIFF_PREDICT        , 0.754629 ,   0.756780 , 0.757142 , 0.040038 ,    Not run , 0.039206 ,      0.071840 ,        Not run
Lcals_EOS                 , 0.666707 ,   0.665412 , 0.663854 , 0.023867 ,    Not run , 0.023365 ,      0.060068 ,        Not run
Lcals_FIRST_DIFF          , 0.731868 ,   0.729744 , 0.731699 , 0.052200 ,    Not run , 0.049666 ,      0.180651 ,        Not run
Lcals_FIRST_MIN           , 0.048102 ,   0.048706 , 0.048105 , 0.007990 ,    Not run , 0.012562 ,      0.017352 ,        Not run
Lcals_FIRST_SUM           , 0.752278 ,   0.750853 , 0.752232 , 0.050708 ,    Not run , 0.050142 ,      0.180623 ,        Not run
Lcals_GEN_LIN_RECUR       , 0.844387 ,   0.845597 , 0.844657 , 0.059245 ,    Not run , 0.057925 ,      0.120974 ,        Not run
Lcals_HYDRO_1D            , 0.798778 ,   0.799811 , 0.799345 , 0.033706 ,    Not run , 0.039540 ,      0.102254 ,        Not run
Lcals_HYDRO_2D            , 0.812674 ,   0.813795 , 0.814670 , 0.021143 ,    Not run , 0.021024 ,      0.047856 ,        Not run
Lcals_INT_PREDICT         , 1.211002 ,   1.217771 , 1.318990 , 0.049782 ,    Not run , 0.046344 ,      0.081215 ,        Not run
Lcals_PLANCKIAN           , 0.751347 ,   0.751043 , 0.744030 , 0.004089 ,    Not run , 0.003234 ,      0.008194 ,        Not run
Lcals_TRIDIAG_ELIM        , 1.137136 ,   1.139739 , 1.136508 , 0.049141 ,    Not run , 0.049654 ,      0.114007 ,        Not run
Stream_ADD                , 0.761138 ,   0.776854 , 0.758746 , 0.034405 ,   0.032648 , 0.036000 ,      0.107326 ,        Not run
Stream_COPY               , 0.597183 ,   0.600566 , 0.596414 , 0.047634 ,   0.041527 , 0.046350 ,      0.154061 ,        Not run
Stream_DOT                , 1.850640 ,   1.837856 , 1.843547 , 3.718934 ,    Not run , 0.131630 ,      0.332337 ,        Not run
Stream_MUL                , 0.596270 ,   0.600738 , 0.596428 , 0.048507 ,   0.045101 , 0.046257 ,      0.178260 ,        Not run
Stream_TRIAD              , 0.770273 ,   0.773142 , 0.770402 , 0.036998 ,   0.032807 , 0.035121 ,      0.114650 ,        Not run
