FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,         , RAJA_WORKGROUP_HIP,        
Apps_DEL_DOT_VEC_2D       , 0.0018          ,         , -0.0025         ,         , -0.13           ,         , -0.14           ,         , 0               ,        
Apps_ENERGY               , 0.11            ,OVER_TOL , 0.12            ,OVER_TOL , 0               ,         , -0.042          ,         , 0               ,        
Apps_FIR                  , -0.073          ,         , -0.07           ,         , 0               ,         , 0.082           ,         , 0               ,        
Apps_HALOEXCHANGE         , -0.0037         ,         , 0.076           ,         , 0               ,         , -0.13           ,         , 0               ,        
Apps_LTIMES               , 0.0001          ,         , 0.0017          ,         , -0.06           ,         , 0.076           ,         , 0               ,        
Apps_LTIMES_NOVIEW        , 0.0019          ,         , 0.0012          ,         , -0.058          ,         , 0.085           ,         , 0               ,        
Apps_PRESSURE             , 0.0032          ,         , 0.0096          ,         , 0               ,         , 0.091           ,         , 0               ,        
Apps_VOL3D                , -0.0015         ,         , 0.004           ,         , 0               ,         , -0.14           ,         , 0               ,        
Basic_ATOMIC_PI           , 0.0017          ,         , 1.2             ,OVER_TOL , 0.0088          ,         , -0.0036         ,         , 0               ,        
Basic_DAXPY               , 0.0035          ,         , 0.0043          ,         , 0.00095         ,         , -0.31           ,         , 0               ,        
Basic_IF_QUAD             , -0.0035         ,         , -0.11           ,         , -0.14           ,         , -0.44           ,         , 0               ,        
Basic_INIT3               , 0.0021          ,         , -0.46           ,         , -0.14           ,         , -0.37           ,         , 0               ,        
Basic_INIT_VIEW1D         , 0.33            ,OVER_TOL , 0.25            ,OVER_TOL , -0.091          ,         , -0.38           ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , 0.0018          ,         , -0.059          ,         , -0.011          ,         , -0.29           ,         , 0               ,        
Basic_MULADDSUB           , -0.00049        ,         , -0.51           ,         , -0.15           ,         , -0.35           ,         , 0               ,        
Basic_NESTED_INIT         , 0.0066          ,         , 0.005           ,         , -0.024          ,         , -0.025          ,         , 0               ,        
Basic_REDUCE3_INT         , -0.0016         ,         , -0.076          ,         , 0               ,         , -0.31           ,         , 0               ,        
Basic_TRAP_INT            , -0.00032        ,         , 0.0002          ,         , 0               ,         , -0.89           ,         , 0               ,        
Lcals_DIFF_PREDICT        , -0.026          ,         , -0.42           ,         , 0               ,         , -0.13           ,         , 0               ,        
Lcals_EOS                 , 0.0061          ,         , 0.00099         ,         , 0               ,         , -0.39           ,         , 0               ,        
Lcals_FIRST_DIFF          , 0.00096         ,         , 0.00056         ,         , 0               ,         , -0.38           ,         , 0               ,        
Lcals_FIRST_MIN           , -0.026          ,         , -0.01           ,         , 0               ,         , 0.18            ,OVER_TOL , 0               ,        
Lcals_FIRST_SUM           , -0.0019         ,         , -0.00013        ,         , 0               ,         , -0.38           ,         , 0               ,        
Lcals_GEN_LIN_RECUR       , -0.00025        ,         , -0.00066        ,         , 0               ,         , -0.36           ,         , 0               ,        
Lcals_HYDRO_1D            , -0.0048         ,         , 0.00027         ,         , 0               ,         , -0.37           ,         , 0               ,        
Lcals_HYDRO_2D            , -0.00043        ,         , -0.0032         ,         , 0               ,         , 0.021           ,         , 0               ,        
Lcals_INT_PREDICT         , 0.0043          ,         , -0.46           ,         , 0               ,         , -0.4            ,         , 0               ,        
Lcals_PLANCKIAN           , -0.00012        ,         , -0.012          ,         , 0               ,         , -0.38           ,         , 0               ,        
Lcals_TRIDIAG_ELIM        , -0.00025        ,         , 0.00032         ,         , 0               ,         , -0.34           ,         , 0               ,        
Stream_ADD                , -0.0042         ,         , 8.9e-05         ,         , 0.0044          ,         , -0.053          ,         , 0               ,        
Stream_COPY               , 0.0013          ,         , 0.00019         ,         , -0.026          ,         , -0.084          ,         , 0               ,        
Stream_DOT                , 0.0017          ,         , -0.007          ,         , 0               ,         , -0.98           ,         , 0               ,        
Stream_MUL                , 0.001           ,         , 1.4e-05         ,         , 0.019           ,         , -0.097          ,         , 0               ,        
Stream_TRIAD              , -0.0013         ,         , 0.00075         ,         , -0.1            ,         , -0.1            ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.073          ,         , -0.51           ,         , -0.15           ,         , -0.98           ,         , 1.8e+308        ,        
Col Max                   , 0.33            ,         , 1.2             ,         , 0.019           ,         , 0.18            ,         , -1.8e+308       ,        
Col Avg                   , 0.0097          ,         , -0.016          ,         , -0.061          ,         , -0.23           ,         , 0               ,        
Col Std Dev               , 0.0037          ,         , 0.071           ,         , 0.0036          ,         , 0.064           ,         , 0               ,        
