Speedup Report (T_ref/T_var): ref var = Base_Seq  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_HIP , Lambda_HIP , RAJA_HIP , Kokkos_Lambda , Kokkos_Functor
Algorithm_SORT            ,    1.000 ,    Not run ,    0.956 ,  Not run ,    Not run ,   80.362 ,        24.842 ,        Not run
Algorithm_SORTPAIRS       ,    1.000 ,    Not run ,    0.833 ,  Not run ,    Not run ,   65.447 ,           inf ,        Not run
Apps_DEL_DOT_VEC_2D       ,    1.000 ,      1.005 ,    1.017 ,  108.779 ,    129.983 ,   25.624 ,        10.472 ,        Not run
Apps_ENERGY               ,    1.000 ,      0.950 ,    0.954 ,   26.085 ,    Not run ,   26.803 ,        12.659 ,        Not run
Apps_FIR                  ,    1.000 ,      1.002 ,    1.028 ,  108.316 ,    Not run ,  108.164 ,        40.531 ,        Not run
Apps_HALOEXCHANGE         ,    1.000 ,      1.008 ,    1.006 ,    0.459 ,    Not run ,    0.357 ,         0.023 ,        Not run
Apps_LTIMES               ,    1.000 ,      1.002 ,    0.998 ,   53.811 ,     57.393 ,   50.161 ,        16.363 ,        Not run
Apps_LTIMES_NOVIEW        ,    1.000 ,      0.998 ,    1.000 ,   53.764 ,     57.506 ,   49.948 ,       Not run ,        Not run
Apps_PRESSURE             ,    1.000 ,      1.000 ,    0.989 ,   25.511 ,    Not run ,   25.045 ,         9.133 ,        Not run
Apps_VOL3D                ,    1.000 ,      1.000 ,    1.015 ,  131.405 ,    Not run ,  155.277 ,        64.122 ,        Not run
Basic_DAXPY               ,    1.000 ,      0.997 ,    1.000 ,   12.143 ,     11.908 ,   11.680 ,         3.945 ,        Not run
Basic_IF_QUAD             ,    1.000 ,      1.026 ,    1.016 ,  128.416 ,    141.928 ,  138.683 ,        62.078 ,        Not run
Basic_INIT3               ,    1.000 ,      1.001 ,    0.998 ,   40.751 ,     44.589 ,   44.499 ,        18.266 ,        Not run
Basic_INIT_VIEW1D         ,    1.000 ,      0.754 ,    0.799 ,   35.859 ,     42.551 ,   29.505 ,         4.712 ,        Not run
Basic_INIT_VIEW1D_OFFSET  ,    1.000 ,      1.002 ,    0.666 ,   54.432 ,     56.774 ,   38.789 ,         6.185 ,        Not run
Basic_MULADDSUB           ,    1.000 ,      1.009 ,    1.013 ,   22.732 ,     24.252 ,   22.638 ,        11.031 ,        Not run
Basic_NESTED_INIT         ,    1.000 ,      0.924 ,    1.010 ,   37.327 ,     38.943 ,   38.549 ,         5.806 ,        Not run
Basic_PI_ATOMIC           ,    1.000 ,      1.019 ,    0.463 ,    0.000 ,      0.000 ,    0.000 ,         0.000 ,        Not run
Basic_REDUCE3_INT         ,    1.000 ,      1.004 ,    1.089 ,    0.609 ,    Not run ,    1.154 ,         1.017 ,        Not run
Basic_TRAP_INT            ,    1.000 ,      1.000 ,    1.000 ,    2.229 ,    Not run ,   56.992 ,        20.126 ,        Not run
Lcals_DIFF_PREDICT        ,    1.000 ,      1.001 ,    0.994 ,   21.187 ,    Not run ,   22.103 ,        14.431 ,        Not run
Lcals_EOS                 ,    1.000 ,      1.011 ,    1.010 ,   28.368 ,    Not run ,   29.261 ,        10.968 ,        Not run
Lcals_FIRST_DIFF          ,    1.000 ,      1.002 ,    1.003 ,   15.988 ,    Not run ,   15.150 ,         3.983 ,        Not run
Lcals_FIRST_MIN           ,    1.000 ,      1.023 ,    1.022 ,    5.083 ,    Not run ,    7.482 ,         2.342 ,        Not run
Lcals_FIRST_SUM           ,    1.000 ,      0.997 ,    0.997 ,   16.873 ,    Not run ,   15.924 ,         4.153 ,        Not run
Lcals_GEN_LIN_RECUR       ,    1.000 ,      1.011 ,    1.010 ,   14.147 ,    Not run ,   14.936 ,         6.284 ,        Not run
Lcals_HYDRO_1D            ,    1.000 ,      1.000 ,    1.000 ,   23.865 ,    Not run ,   19.755 ,         7.384 ,        Not run
Lcals_HYDRO_2D            ,    1.000 ,      1.006 ,    1.005 ,   38.231 ,    Not run ,   38.573 ,        16.820 ,        Not run
Lcals_INT_PREDICT         ,    1.000 ,      0.999 ,    0.939 ,   25.391 ,    Not run ,   26.233 ,        13.933 ,        Not run
Lcals_PLANCKIAN           ,    1.000 ,      1.000 ,    1.010 ,  186.029 ,    Not run ,  229.738 ,        92.575 ,        Not run
Lcals_TRIDIAG_ELIM        ,    1.000 ,      1.000 ,    1.001 ,   23.260 ,    Not run ,   21.927 ,         9.844 ,        Not run
Stream_ADD                ,    1.000 ,      1.001 ,    1.000 ,   22.215 ,     22.463 ,   21.527 ,         6.905 ,        Not run
Stream_COPY               ,    1.000 ,      0.998 ,    1.000 ,   13.636 ,     14.031 ,   12.626 ,         3.401 ,        Not run
Stream_DOT                ,    1.000 ,      1.007 ,    1.000 ,    0.499 ,    Not run ,   15.010 ,         5.027 ,        Not run
Stream_MUL                ,    1.000 ,      0.995 ,    1.000 ,   14.392 ,     13.799 ,   12.792 ,         3.365 ,        Not run
Stream_TRIAD              ,    1.000 ,      0.969 ,    1.004 ,   21.820 ,     23.912 ,   21.661 ,         6.792 ,        Not run
