FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,         , RAJA_WORKGROUP_HIP,        
Apps_DEL_DOT_VEC_2D       , 0.006           ,         , 0.0015          ,         , -0.14           ,         , -0.13           ,         , 0               ,        
Apps_ENERGY               , 0.11            ,OVER_TOL , 0.11            ,OVER_TOL , 0               ,         , 0.014           ,         , 0               ,        
Apps_FIR                  , -0.069          ,         , -0.066          ,         , 0               ,         , 0.1             ,OVER_TOL , 0               ,        
Apps_HALOEXCHANGE         , -0.00013        ,         , 0.019           ,         , 0               ,         , -0.36           ,         , 0               ,        
Apps_LTIMES               , -0.00034        ,         , 0.0024          ,         , -0.072          ,         , 0.064           ,         , 0               ,        
Apps_LTIMES_NOVIEW        , 0.0045          ,         , 0.0043          ,         , -0.072          ,         , 0.07            ,         , 0               ,        
Apps_PRESSURE             , -0.0022         ,         , -0.013          ,         , 0               ,         , 0.082           ,         , 0               ,        
Apps_VOL3D                , -0.00089        ,         , 0.011           ,         , 0               ,         , -0.093          ,         , 0               ,        
Basic_ATOMIC_PI           , -0.0014         ,         , 1.2             ,OVER_TOL , 0.0058          ,         , -0.0066         ,         , 0               ,        
Basic_DAXPY               , 0.00092         ,         , 0.0015          ,         , -0.0013         ,         , 0.75            ,OVER_TOL , 0               ,        
Basic_IF_QUAD             , -0.0055         ,         , -0.12           ,         , -0.2            ,         , 0.21            ,OVER_TOL , 0               ,        
Basic_INIT3               , 0.00069         ,         , -0.44           ,         , -0.13           ,         , 0.54            ,OVER_TOL , 0               ,        
Basic_INIT_VIEW1D         , 0.33            ,OVER_TOL , 0.26            ,OVER_TOL , -0.13           ,         , 0.54            ,OVER_TOL , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.0012         ,         , -0.063          ,         , -0.033          ,         , 0.74            ,OVER_TOL , 0               ,        
Basic_MULADDSUB           , -0.00092        ,         , -0.5            ,         , -0.16           ,         , 0.46            ,OVER_TOL , 0               ,        
Basic_NESTED_INIT         , 0.0049          ,         , 0.0021          ,         , -0.022          ,         , -0.02           ,         , 0               ,        
Basic_REDUCE3_INT         , -2.3e-05        ,         , -0.073          ,         , 0               ,         , -0.11           ,         , 0               ,        
Basic_TRAP_INT            , 0.00036         ,         , -0.0011         ,         , 0               ,         , -0.88           ,         , 0               ,        
Lcals_DIFF_PREDICT        , -0.026          ,         , -0.44           ,         , 0               ,         , 0.05            ,         , 0               ,        
Lcals_EOS                 , 0.0045          ,         , 0.003           ,         , 0               ,         , 0.52            ,OVER_TOL , 0               ,        
Lcals_FIRST_DIFF          , 0.0061          ,         , 0.0057          ,         , 0               ,         , 0.6             ,OVER_TOL , 0               ,        
Lcals_FIRST_MIN           , -0.025          ,         , -0.018          ,         , 0               ,         , 0.21            ,OVER_TOL , 0               ,        
Lcals_FIRST_SUM           , -0.0028         ,         , -0.00043        ,         , 0               ,         , 0.59            ,OVER_TOL , 0               ,        
Lcals_GEN_LIN_RECUR       , 0.00028         ,         , 0.0022          ,         , 0               ,         , 0.54            ,OVER_TOL , 0               ,        
Lcals_HYDRO_1D            , -0.0022         ,         , -0.0025         ,         , 0               ,         , 0.53            ,OVER_TOL , 0               ,        
Lcals_HYDRO_2D            , 0.088           ,         , -0.00064        ,         , 0               ,         , 0.0034          ,         , 0               ,        
Lcals_INT_PREDICT         , -0.003          ,         , -0.46           ,         , 0               ,         , 0.25            ,OVER_TOL , 0               ,        
Lcals_PLANCKIAN           , 4.7e-06         ,         , -0.012          ,         , 0               ,         , -0.062          ,         , 0               ,        
Lcals_TRIDIAG_ELIM        , 0.001           ,         , 0.00071         ,         , 0               ,         , 0.48            ,OVER_TOL , 0               ,        
Stream_ADD                , -0.00053        ,         , -0.0024         ,         , -0.052          ,         , 0.016           ,         , 0               ,        
Stream_COPY               , 0.0028          ,         , 0.0013          ,         , -0.088          ,         , 0.063           ,         , 0               ,        
Stream_DOT                , 0.015           ,         , -0.0065         ,         , 0               ,         , -0.98           ,         , 0               ,        
Stream_MUL                , 3e-05           ,         , -0.0046         ,         , -0.031          ,         , 0.098           ,         , 0               ,        
Stream_TRIAD              , -0.0015         ,         , -0.0052         ,         , -0.11           ,         , -0.013          ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.069          ,         , -0.5            ,         , -0.2            ,         , -0.98           ,         , 1.8e+308        ,        
Col Max                   , 0.33            ,         , 1.2             ,         , 0.0058          ,         , 0.75            ,         , -1.8e+308       ,        
Col Avg                   , 0.013           ,         , -0.018          ,         , -0.083          ,         , 0.14            ,         , 0               ,        
Col Std Dev               , 0.0039          ,         , 0.069           ,         , 0.0036          ,         , 0.15            ,         , 0               ,        
