FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,        
Apps_DEL_DOT_VEC_2D       , 0.023           ,         , 0.013           ,         , -0.16           ,         , 3.3             ,OVER_TOL
Apps_ENERGY               , 0.067           ,         , 0.065           ,         , 0               ,         , -0.035          ,        
Apps_FIR                  , -0.014          ,         , -0.0076         ,         , 0               ,         , -0.028          ,        
Apps_HALOEXCHANGE         , 0.35            ,OVER_TOL , -0.0076         ,         , 0               ,         , -0.29           ,        
Apps_LTIMES               , -0.00028        ,         , 0.0024          ,         , -0.096          ,         , 0.034           ,        
Apps_LTIMES_NOVIEW        , 0.0098          ,         , 0.0096          ,         , -0.07           ,         , 0.07            ,        
Apps_PRESSURE             , 0.0019          ,         , 0.055           ,         , 0               ,         , -0.041          ,        
Apps_VOL3D                , -0.0079         ,         , 0.0041          ,         , 0               ,         , -0.14           ,        
Basic_DAXPY               , 0.0018          ,         , -0.0056         ,         , -0.028          ,         , -0.0047         ,        
Basic_IF_QUAD             , 0.0027          ,         , 0.0043          ,         , -0.085          ,         , -0.046          ,        
Basic_INIT3               , 0.0024          ,         , -0.1            ,         , -0.066          ,         , -0.02           ,        
Basic_INIT_VIEW1D         , -0.0011         ,         , 0.25            ,OVER_TOL , -0.15           ,         , -0.024          ,        
Basic_INIT_VIEW1D_OFFSET  , -0.00076        ,         , -0.06           ,         , -0.037          ,         , 0.13            ,OVER_TOL
Basic_MULADDSUB           , 0.0013          ,         , 0.0041          ,         , -0.066          ,         , -0.044          ,        
Basic_NESTED_INIT         , 0.0046          ,         , 0.0049          ,         , -0.027          ,         , -0.0027         ,        
Basic_PI_ATOMIC           , -0.0017         ,         , 1.2             ,OVER_TOL , -0.09           ,         , 0.012           ,        
Basic_REDUCE3_INT         , 0.0052          ,         , -0.067          ,         , 0               ,         , 0.046           ,        
Basic_TRAP_INT            , -0.0027         ,         , -0.0028         ,         , 0               ,         , -0.96           ,        
Lcals_DIFF_PREDICT        , -0.0015         ,         , -0.023          ,         , 0               ,         , -0.047          ,        
Lcals_EOS                 , 0.0066          ,         , 0.005           ,         , 0               ,         , -0.018          ,        
Lcals_FIRST_DIFF          , -0.00082        ,         , 0.00091         ,         , 0               ,         , -0.035          ,        
Lcals_FIRST_MIN           , -0.022          ,         , -0.017          ,         , 0               ,         , 0.18            ,OVER_TOL
Lcals_FIRST_SUM           , -0.0011         ,         , -0.00015        ,         , 0               ,         , 0.0071          ,        
Lcals_GEN_LIN_RECUR       , -0.002          ,         , 0.0025          ,         , 0               ,         , -0.037          ,        
Lcals_HYDRO_1D            , -0.0003         ,         , -0.00083        ,         , 0               ,         , 0.15            ,OVER_TOL
Lcals_HYDRO_2D            , -0.002          ,         , 0.00041         ,         , 0               ,         , -0.0059         ,        
Lcals_INT_PREDICT         , 0.0066          ,         , 0.052           ,         , 0               ,         , -0.038          ,        
Lcals_PLANCKIAN           , -0.0031         ,         , -0.013          ,         , 0               ,         , -0.19           ,        
Lcals_TRIDIAG_ELIM        , -0.00063        ,         , 6.9e-05         ,         , 0               ,         , -0.059          ,        
Stream_ADD                , 0.0065          ,         , 0.00075         ,         , -0.034          ,         , 0.019           ,        
Stream_COPY               , -0.0021         ,         , -0.00048        ,         , -0.13           ,         , -0.019          ,        
Stream_DOT                , 0.0094          ,         , 0.021           ,         , 0               ,         , -0.97           ,        
Stream_MUL                , -0.0047         ,         , 0.11            ,OVER_TOL , -0.018          ,         , 0.14            ,OVER_TOL
Stream_TRIAD              , -0.00073        ,         , -0.0065         ,         , -0.11           ,         , -0.041          ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.022          ,         , -0.1            ,         , -0.16           ,         , -0.97           ,        
Col Max                   , 0.35            ,         , 1.2             ,         , -0.018          ,         , 3.3             ,        
Col Avg                   , 0.013           ,         , 0.044           ,         , -0.079          ,         , 0.029           ,        
Col Std Dev               , 0.0036          ,         , 0.043           ,         , 0.002           ,         , 0.38            ,        
