FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,        
Apps_DEL_DOT_VEC_2D       , 0.013           ,         , 0.013           ,         , -0.18           ,         , 3.2             ,OVER_TOL
Apps_ENERGY               , 0.067           ,         , 0.075           ,         , 0               ,         , -0.028          ,        
Apps_FIR                  , -0.036          ,         , -0.04           ,         , 0               ,         , -0.032          ,        
Apps_HALOEXCHANGE         , -0.3            ,         , -0.27           ,         , 0               ,         , -0.064          ,        
Apps_LTIMES               , 0.0058          ,         , 0.0056          ,         , -0.067          ,         , 0.067           ,        
Apps_LTIMES_NOVIEW        , 0.0053          ,         , 0.0058          ,         , -0.061          ,         , 0.079           ,        
Apps_PRESSURE             , 0.00085         ,         , 0.0051          ,         , 0               ,         , 0.011           ,        
Apps_VOL3D                , 0.0077          ,         , 0.018           ,         , 0               ,         , -0.17           ,        
Basic_DAXPY               , 0.0017          ,         , 0.00089         ,         , -0.0027         ,         , 0.099           ,        
Basic_IF_QUAD             , -0.0012         ,         , 0.0079          ,         , -0.031          ,         , -0.067          ,        
Basic_INIT3               , 0.00022         ,         , 0.0062          ,         , -0.054          ,         , -0.055          ,        
Basic_INIT_VIEW1D         , -0.0016         ,         , -0.063          ,         , -0.17           ,         , -0.048          ,        
Basic_INIT_VIEW1D_OFFSET  , -0.00014        ,         , -0.061          ,         , -0.034          ,         , 0.11            ,OVER_TOL
Basic_MULADDSUB           , -0.017          ,         , -0.004          ,         , -0.067          ,         , -0.014          ,        
Basic_NESTED_INIT         , -0.0019         ,         , 0.004           ,         , -0.029          ,         , -0.0076         ,        
Basic_PI_ATOMIC           , -9.8e-05        ,         , 1.2             ,OVER_TOL , -0.11           ,         , -0.081          ,        
Basic_REDUCE3_INT         , -0.0058         ,         , -0.081          ,         , 0               ,         , -0.19           ,        
Basic_TRAP_INT            , 0.001           ,         , -0.002          ,         , 0               ,         , -0.96           ,        
Lcals_DIFF_PREDICT        , -0.0062         ,         , 0.0003          ,         , 0               ,         , -0.048          ,        
Lcals_EOS                 , -0.0047         ,         , -0.0074         ,         , 0               ,         , -0.054          ,        
Lcals_FIRST_DIFF          , 0.00031         ,         , -7.9e-05        ,         , 0               ,         , -0.086          ,        
Lcals_FIRST_MIN           , -0.011          ,         , 0.015           ,         , 0               ,         , 0.22            ,OVER_TOL
Lcals_FIRST_SUM           , -0.0025         ,         , -0.0013         ,         , 0               ,         , -0.042          ,        
Lcals_GEN_LIN_RECUR       , -0.0096         ,         , -0.0043         ,         , 0               ,         , -0.071          ,        
Lcals_HYDRO_1D            , 0.00032         ,         , -0.00023        ,         , 0               ,         , -0.052          ,        
Lcals_HYDRO_2D            , 0.0018          ,         , -0.0028         ,         , 0               ,         , -0.0083         ,        
Lcals_INT_PREDICT         , 0.0058          ,         , 0.083           ,         , 0               ,         , -0.047          ,        
Lcals_PLANCKIAN           , -0.0019         ,         , -0.013          ,         , 0               ,         , -0.27           ,        
Lcals_TRIDIAG_ELIM        , -0.00024        ,         , -0.00047        ,         , 0               ,         , -0.03           ,        
Stream_ADD                , -0.0014         ,         , -0.0032         ,         , -0.021          ,         , 0.025           ,        
Stream_COPY               , 0.00087         ,         , 0.0024          ,         , -0.14           ,         , -0.035          ,        
Stream_DOT                , -0.0011         ,         , -0.00076        ,         , 0               ,         , -0.97           ,        
Stream_MUL                , -0.00018        ,         , 0.0012          ,         , -0.12           ,         , 0.013           ,        
Stream_TRIAD              , -0.0012         ,         , -9.7e-05        ,         , -0.07           ,         , -0.034          ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.3            ,         , -0.27           ,         , -0.18           ,         , -0.97           ,        
Col Max                   , 0.067           ,         , 1.2             ,         , -0.0027         ,         , 3.2             ,        
Col Avg                   , -0.0086         ,         , 0.026           ,         , -0.077          ,         , 0.011           ,        
Col Std Dev               , 0.0028          ,         , 0.045           ,         , 0.0028          ,         , 0.37            ,        
