FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,        
Algorithm_SORT            , 0               ,         , 0.055           ,         , 0               ,         , inf             ,OVER_TOL
Algorithm_SORTPAIRS       , 0               ,         , 0.2             ,OVER_TOL , 0               ,         , inf             ,OVER_TOL
Apps_DEL_DOT_VEC_2D       , -0.0045         ,         , -0.019          ,         , -0.17           ,         , 3.3             ,OVER_TOL
Apps_ENERGY               , 0.069           ,         , 0.056           ,         , 0               ,         , 0.0037          ,        
Apps_FIR                  , -0.0059         ,         , -0.032          ,         , 0               ,         , 0.039           ,        
Apps_HALOEXCHANGE         , -0.0011         ,         , -0.0013         ,         , 0               ,         , 0.35            ,OVER_TOL
Apps_LTIMES               , 0.00039         ,         , 0.0031          ,         , -0.057          ,         , 0.079           ,        
Apps_LTIMES_NOVIEW        , 0.00021         ,         , -0.00028        ,         , -0.057          ,         , 0.084           ,        
Apps_PRESSURE             , -0.0017         ,         , -0.0026         ,         , 0               ,         , -0.0044         ,        
Apps_VOL3D                , 0.0031          ,         , -0.016          ,         , 0               ,         , -0.13           ,        
Basic_DAXPY               , 0.00064         ,         , 0.0015          ,         , 0.026           ,         , 0.07            ,        
Basic_IF_QUAD             , -0.0035         ,         , 0.0017          ,         , -0.072          ,         , -0.087          ,        
Basic_INIT3               , -0.0038         ,         , -0.0059         ,         , -0.077          ,         , -0.014          ,        
Basic_INIT_VIEW1D         , -0.25           ,         , -0.06           ,         , -0.15           ,         , 0.038           ,        
Basic_INIT_VIEW1D_OFFSET  , -8.6e-05        ,         , 0.5             ,OVER_TOL , -0.028          ,         , 0.2             ,OVER_TOL
Basic_MULADDSUB           , 0.002           ,         , 0.0058          ,         , -0.062          ,         , -0.018          ,        
Basic_NESTED_INIT         , -0.00046        ,         , 0.00047         ,         , -0.025          ,         , -0.026          ,        
Basic_PI_ATOMIC           , 0.0037          ,         , 1.2             ,OVER_TOL , 0.0031          ,         , -0.0017         ,        
Basic_REDUCE3_INT         , 0.0025          ,         , -0.073          ,         , 0               ,         , -0.49           ,        
Basic_TRAP_INT            , 0.011           ,         , 0.0087          ,         , 0               ,         , -0.96           ,        
Lcals_DIFF_PREDICT        , 0.0071          ,         , 0.0089          ,         , 0               ,         , -0.047          ,        
Lcals_EOS                 , -0.00089        ,         , -0.0012         ,         , 0               ,         , -0.012          ,        
Lcals_FIRST_DIFF          , -0.0012         ,         , -0.0013         ,         , 0               ,         , 0.072           ,        
Lcals_FIRST_MIN           , 0.014           ,         , -0.0018         ,         , 0               ,         , -0.3            ,        
Lcals_FIRST_SUM           , 0.0005          ,         , -0.00046        ,         , 0               ,         , 0.092           ,        
Lcals_GEN_LIN_RECUR       , -0.0051         ,         , -0.0011         ,         , 0               ,         , -0.035          ,        
Lcals_HYDRO_1D            , -0.00056        ,         , 0.00041         ,         , 0               ,         , 0.22            ,OVER_TOL
Lcals_HYDRO_2D            , 0.002           ,         , 1.2e-05         ,         , 0               ,         , -0.0086         ,        
Lcals_INT_PREDICT         , -0.00071        ,         , 0.097           ,         , 0               ,         , -0.042          ,        
Lcals_PLANCKIAN           , -0.0018         ,         , -0.0089         ,         , 0               ,         , -0.23           ,        
Lcals_TRIDIAG_ELIM        , -0.017          ,         , 0.00096         ,         , 0               ,         , 0.056           ,        
Stream_ADD                , -0.00084        ,         , -0.00091        ,         , 0.068           ,         , 0.059           ,        
Stream_COPY               , -0.014          ,         , 0.0012          ,         , -0.038          ,         , 0.049           ,        
Stream_DOT                , -0.011          ,         , -0.0033         ,         , 0               ,         , -0.97           ,        
Stream_MUL                , -0.013          ,         , -0.0023         ,         , 0.054           ,         , 0.096           ,        
Stream_TRIAD              , 0.051           ,         , 0.00045         ,         , -0.069          ,         , 0.051           ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.25           ,         , -0.073          ,         , -0.17           ,         , -0.97           ,        
Col Max                   , 0.069           ,         , 1.2             ,         , 0.068           ,         , inf             ,        
Col Avg                   , -0.005          ,         , 0.054           ,         , -0.043          ,         , inf             ,        
Col Std Dev               , 0.0021          ,         , 0.047           ,         , 0.004           ,         , -nan            ,        
