FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,        
Apps_DEL_DOT_VEC_2D       , 0.019           ,         , 0.011           ,         , -0.18           ,         , 3.2             ,OVER_TOL
Apps_ENERGY               , 0.069           ,         , 0.078           ,         , 0               ,         , -0.031          ,        
Apps_FIR                  , -0.037          ,         , -0.036          ,         , 0               ,         , 0.003           ,        
Apps_HALOEXCHANGE         , -0.018          ,         , 0.073           ,         , 0               ,         , 0.31            ,OVER_TOL
Apps_LTIMES               , -0.00053        ,         , 0.0022          ,         , -0.064          ,         , 0.07            ,        
Apps_LTIMES_NOVIEW        , 0.0051          ,         , 0.0052          ,         , -0.061          ,         , 0.083           ,        
Apps_PRESSURE             , -0.00047        ,         , 0.0062          ,         , 0               ,         , 0.02            ,        
Apps_VOL3D                , 0.0027          ,         , 0.014           ,         , 0               ,         , -0.17           ,        
Basic_DAXPY               , -0.0014         ,         , 0.00039         ,         , 0.022           ,         , 0.049           ,        
Basic_IF_QUAD             , -0.00065        ,         , -0.0024         ,         , -0.063          ,         , -0.062          ,        
Basic_INIT3               , -0.0005         ,         , 0.0059          ,         , -0.065          ,         , -0.061          ,        
Basic_INIT_VIEW1D         , 0.00011         ,         , -0.07           ,         , -0.072          ,         , -0.071          ,        
Basic_INIT_VIEW1D_OFFSET  , -0.0024         ,         , -0.078          ,         , -0.036          ,         , 0.14            ,OVER_TOL
Basic_MULADDSUB           , 0.0061          ,         , 0.0032          ,         , -0.096          ,         , -0.032          ,        
Basic_NESTED_INIT         , -0.0011         ,         , 0.0052          ,         , -0.014          ,         , -0.0062         ,        
Basic_PI_ATOMIC           , -0.0016         ,         , 1.2             ,OVER_TOL , -0.013          ,         , -0.015          ,        
Basic_REDUCE3_INT         , -0.004          ,         , -0.08           ,         , 0               ,         , -0.62           ,        
Basic_TRAP_INT            , -0.00014        ,         , -0.00025        ,         , 0               ,         , -0.96           ,        
Lcals_DIFF_PREDICT        , -0.0063         ,         , -0.0096         ,         , 0               ,         , -0.058          ,        
Lcals_EOS                 , 0.00046         ,         , 0.0027          ,         , 0               ,         , -0.066          ,        
Lcals_FIRST_DIFF          , -0.0015         ,         , 0.0017          ,         , 0               ,         , -0.075          ,        
Lcals_FIRST_MIN           , -0.01           ,         , 0.0065          ,         , 0               ,         , 0.2             ,OVER_TOL
Lcals_FIRST_SUM           , -0.0035         ,         , -0.0022         ,         , 0               ,         , -0.044          ,        
Lcals_GEN_LIN_RECUR       , 0.0049          ,         , 0.0069          ,         , 0               ,         , -0.079          ,        
Lcals_HYDRO_1D            , 0.0056          ,         , -0.0023         ,         , 0               ,         , -0.009          ,        
Lcals_HYDRO_2D            , 0.0017          ,         , -0.0026         ,         , 0               ,         , -0.012          ,        
Lcals_INT_PREDICT         , -0.012          ,         , 0.065           ,         , 0               ,         , -0.058          ,        
Lcals_PLANCKIAN           , -0.0013         ,         , -0.011          ,         , 0               ,         , -0.25           ,        
Lcals_TRIDIAG_ELIM        , 0.012           ,         , 0.006           ,         , 0               ,         , -0.016          ,        
Stream_ADD                , -8.3e-05        ,         , 0.0007          ,         , -0.017          ,         , -0.0023         ,        
Stream_COPY               , 3.6e-05         ,         , 0.0027          ,         , -0.059          ,         , -0.022          ,        
Stream_DOT                , 0.00018         ,         , -0.0016         ,         , 0               ,         , -0.96           ,        
Stream_MUL                , -0.00011        ,         , 0.0021          ,         , -0.051          ,         , -0.033          ,        
Stream_TRIAD              , -0.00083        ,         , -0.0013         ,         , -0.11           ,         , -0.067          ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.037          ,         , -0.08           ,         , -0.18           ,         , -0.96           ,        
Col Max                   , 0.069           ,         , 1.2             ,         , 0.022           ,         , 3.2             ,        
Col Avg                   , 0.0007          ,         , 0.035           ,         , -0.059          ,         , 0.0088          ,        
Col Std Dev               , 0.00022         ,         , 0.042           ,         , 0.0021          ,         , 0.38            ,        
