FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,        
Algorithm_SORT            , 0               ,         , 0.031           ,         , 0               ,         , inf             ,OVER_TOL
Algorithm_SORTPAIRS       , 0               ,         , 0.2             ,OVER_TOL , 0               ,         , inf             ,OVER_TOL
Apps_DEL_DOT_VEC_2D       , -0.011          ,         , -0.005          ,         , -0.2            ,         , 3.1             ,OVER_TOL
Apps_ENERGY               , 0.064           ,         , 0.056           ,         , 0               ,         , -0.041          ,        
Apps_FIR                  , -0.0088         ,         , -0.024          ,         , 0               ,         , -0.023          ,        
Apps_HALOEXCHANGE         , -0.011          ,         , -0.0045         ,         , 0               ,         , -0.29           ,        
Apps_LTIMES               , -0.00065        ,         , 0.0029          ,         , -0.068          ,         , 0.071           ,        
Apps_LTIMES_NOVIEW        , 0.0023          ,         , -0.00043        ,         , -0.062          ,         , 0.082           ,        
Apps_PRESSURE             , 0.0066          ,         , 0.003           ,         , 0               ,         , -0.0013         ,        
Apps_VOL3D                , 0.0026          ,         , -0.012          ,         , 0               ,         , -0.15           ,        
Basic_DAXPY               , -0.0011         ,         , 0.0098          ,         , -0.038          ,         , 0.029           ,        
Basic_IF_QUAD             , -0.023          ,         , -0.018          ,         , -0.095          ,         , -0.093          ,        
Basic_INIT3               , -0.00038        ,         , -0.0044         ,         , -0.039          ,         , -0.039          ,        
Basic_INIT_VIEW1D         , 0.33            ,OVER_TOL , 0.25            ,OVER_TOL , -0.14           ,         , -0.017          ,        
Basic_INIT_VIEW1D_OFFSET  , -0.00079        ,         , 0.5             ,OVER_TOL , -0.046          ,         , 0.1             ,        
Basic_MULADDSUB           , -0.0083         ,         , -7.4e-05        ,         , -0.069          ,         , -0.061          ,        
Basic_NESTED_INIT         , 0.092           ,         , 0.00055         ,         , -0.035          ,         , -0.048          ,        
Basic_PI_ATOMIC           , -5.5e-05        ,         , 1.2             ,OVER_TOL , 0.019           ,         , 0.085           ,        
Basic_REDUCE3_INT         , 0.00071         ,         , -0.074          ,         , 0               ,         , -0.37           ,        
Basic_TRAP_INT            , -0.0021         ,         , -0.0021         ,         , 0               ,         , -0.96           ,        
Lcals_DIFF_PREDICT        , -0.0002         ,         , -0.00019        ,         , 0               ,         , -0.028          ,        
Lcals_EOS                 , 0.0033          ,         , -0.0024         ,         , 0               ,         , -0.079          ,        
Lcals_FIRST_DIFF          , 0.0019          ,         , -0.00053        ,         , 0               ,         , -0.0048         ,        
Lcals_FIRST_MIN           , -0.029          ,         , -0.027          ,         , 0               ,         , -0.11           ,        
Lcals_FIRST_SUM           , 0.0018          ,         , 0.0011          ,         , 0               ,         , 0.00052         ,        
Lcals_GEN_LIN_RECUR       , 0.0016          ,         , -0.0019         ,         , 0               ,         , -0.06           ,        
Lcals_HYDRO_1D            , 0.0015          ,         , 0.0017          ,         , 0               ,         , 0.0075          ,        
Lcals_HYDRO_2D            , 0.0015          ,         , 0.0039          ,         , 0               ,         , 0.0089          ,        
Lcals_INT_PREDICT         , 0.00078         ,         , 0.016           ,         , 0               ,         , -0.045          ,        
Lcals_PLANCKIAN           , 0.0003          ,         , -0.01           ,         , 0               ,         , -0.31           ,        
Lcals_TRIDIAG_ELIM        , -0.013          ,         , 0.00092         ,         , 0               ,         , 0.082           ,        
Stream_ADD                , -0.0062         ,         , 0.001           ,         , 0.026           ,         , 0.074           ,        
Stream_COPY               , 0.003           ,         , -0.0001         ,         , -0.027          ,         , 0.049           ,        
Stream_DOT                , -0.0034         ,         , 0.0018          ,         , 0               ,         , -0.96           ,        
Stream_MUL                , 0.00082         ,         , 0.0044          ,         , -0.069          ,         , -0.025          ,        
Stream_TRIAD              , -0.0016         ,         , -0.0012         ,         , -0.12           ,         , -0.038          ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.029          ,         , -0.074          ,         , -0.2            ,         , -0.96           ,        
Col Max                   , 0.33            ,         , 1.2             ,         , 0.026           ,         , inf             ,        
Col Avg                   , 0.012           ,         , 0.058           ,         , -0.064          ,         , inf             ,        
Col Std Dev               , 0.0035          ,         , 0.047           ,         , 0.0031          ,         , -nan            ,        
