Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_HIP , Lambda_HIP , RAJA_HIP , Kokkos_Lambda , Kokkos_Functor
Apps_DEL_DOT_VEC_2D       , 0.816233 ,   0.829736 , 0.813518 , 0.007652 ,   0.006234 , 0.031961 ,       Not run ,        Not run
Apps_ENERGY               , 1.114153 ,   1.201670 , 1.211437 , 0.044126 ,    Not run , 0.043173 ,       Not run ,        Not run
Apps_FIR                  , 0.981834 ,   0.948375 , 0.954763 , 0.009082 ,    Not run , 0.008874 ,       Not run ,        Not run
Apps_HALOEXCHANGE         , 0.014333 ,   0.013640 , 0.013823 , 0.040978 ,    Not run , 0.040447 ,       Not run ,        Not run
Apps_LTIMES               , 0.884293 ,   0.884816 , 0.886316 , 0.016419 ,   0.015304 , 0.017530 ,       Not run ,        Not run
Apps_LTIMES_NOVIEW        , 0.879918 ,   0.881423 , 0.880014 , 0.018226 ,   0.015327 , 0.017645 ,       Not run ,        Not run
Apps_PRESSURE             , 1.359206 ,   1.357333 , 1.374878 , 0.055015 ,    Not run , 0.055345 ,       Not run ,        Not run
Apps_VOL3D                , 1.186760 ,   1.187662 , 1.184297 , 0.009307 ,    Not run , 0.007772 ,       Not run ,        Not run
Basic_DAXPY               , 0.191464 ,   0.191362 , 0.191423 , 0.017622 ,   0.017192 , 0.018224 ,      0.052711 ,        Not run
Basic_IF_QUAD             , 1.740673 ,   1.737780 , 1.745442 , 0.013041 ,   0.012379 , 0.012435 ,      0.026188 ,        Not run
Basic_INIT3               , 0.768225 ,   0.764803 , 0.759589 , 0.032241 ,   0.030811 , 0.031849 ,      0.066519 ,        Not run
Basic_INIT_VIEW1D         , 1.536269 ,   1.534886 , 1.441826 , 0.040339 ,   0.033609 , 0.038196 ,      0.229954 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 1.533649 ,   1.527056 , 1.432808 , 0.034716 ,   0.033531 , 0.038508 ,      0.227884 ,        Not run
Basic_MULADDSUB           , 0.533687 ,   0.538523 , 0.535942 , 0.024468 ,   0.022888 , 0.023235 ,      0.047542 ,        Not run
Basic_NESTED_INIT         , 0.614876 ,   0.616229 , 0.619043 , 0.016079 ,   0.015747 , 0.015835 ,      0.110572 ,        Not run
Basic_PI_ATOMIC           , 0.076335 ,   0.076244 , 0.168464 , 898.743640 , 843.389070 , 884.973715 ,   1138.662696 ,        Not run
Basic_REDUCE3_INT         , 0.012546 ,   0.012551 , 0.011605 , 0.027253 ,    Not run , 0.009298 ,      0.011652 ,        Not run
Basic_TRAP_INT            , 0.205914 ,   0.205802 , 0.205799 , 0.094964 ,    Not run , 0.004055 ,      0.009164 ,        Not run
Lcals_DIFF_PREDICT        , 0.756652 ,   0.758082 , 0.756972 , 0.040532 ,    Not run , 0.038327 ,      0.074234 ,        Not run
Lcals_EOS                 , 0.666320 ,   0.664536 , 0.665546 , 0.024846 ,    Not run , 0.023323 ,      0.063728 ,        Not run
Lcals_FIRST_DIFF          , 0.739022 ,   0.735951 , 0.738437 , 0.052820 ,    Not run , 0.049902 ,      0.194190 ,        Not run
Lcals_FIRST_MIN           , 0.048186 ,   0.049099 , 0.048095 , 0.010047 ,    Not run , 0.012091 ,      0.019204 ,        Not run
Lcals_FIRST_SUM           , 0.767439 ,   0.765494 , 0.767430 , 0.052078 ,    Not run , 0.050425 ,      0.195250 ,        Not run
Lcals_GEN_LIN_RECUR       , 0.840823 ,   0.851987 , 0.850078 , 0.062022 ,    Not run , 0.058017 ,      0.132324 ,        Not run
Lcals_HYDRO_1D            , 0.831877 ,   0.828547 , 0.832256 , 0.040718 ,    Not run , 0.039079 ,      0.110177 ,        Not run
Lcals_HYDRO_2D            , 0.812836 ,   0.814907 , 0.815050 , 0.021288 ,    Not run , 0.021075 ,      0.050583 ,        Not run
Lcals_INT_PREDICT         , 1.217690 ,   1.217501 , 1.306301 , 0.049899 ,    Not run , 0.046868 ,      0.089560 ,        Not run
Lcals_PLANCKIAN           , 0.752519 ,   0.752552 , 0.745198 , 0.004300 ,    Not run , 0.002926 ,      0.008696 ,        Not run
Lcals_TRIDIAG_ELIM        , 1.132752 ,   1.131661 , 1.131917 , 0.051392 ,    Not run , 0.049656 ,      0.119050 ,        Not run
Stream_ADD                , 0.783553 ,   0.783553 , 0.782609 , 0.035990 ,   0.034753 , 0.036302 ,      0.111565 ,        Not run
Stream_COPY               , 0.606754 ,   0.605986 , 0.606103 , 0.047461 ,   0.044489 , 0.045986 ,      0.174633 ,        Not run
Stream_DOT                , 1.838788 ,   1.835832 , 1.838580 , 3.730086 ,    Not run , 0.130572 ,      0.330919 ,        Not run
Stream_MUL                , 0.610573 ,   0.610529 , 0.610384 , 0.048662 ,   0.044391 , 0.046266 ,      0.177231 ,        Not run
Stream_TRIAD              , 0.785493 ,   0.788699 , 0.789012 , 0.036359 ,   0.033239 , 0.035404 ,      0.113180 ,        Not run
