FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,         , RAJA_WORKGROUP_HIP,        
Basic_ATOMIC_PI           , -0.88           ,         , 0.024           ,         , 0.032           ,         , 0.13            ,OVER_TOL , 0               ,        
Basic_DAXPY               , -0.86           ,         , -0.81           ,         , -0.1            ,         , 0.35            ,OVER_TOL , 0               ,        
Basic_IF_QUAD             , -0.29           ,         , 4.1             ,OVER_TOL , -0.37           ,         , -0.34           ,         , 0               ,        
Basic_INIT3               , -0.43           ,         , 4.7             ,OVER_TOL , -0.61           ,         , -0.42           ,         , 0               ,        
Basic_INIT_VIEW1D         , -0.43           ,         , 4.6             ,OVER_TOL , -0.39           ,         , -0.39           ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , 0               ,         , 7.2             ,OVER_TOL , -0.58           ,         , -0.32           ,         , 0               ,        
Basic_MULADDSUB           , -0.29           ,         , 5               ,OVER_TOL , -0.42           ,         , -0.4            ,         , 0               ,        
Basic_NESTED_INIT         , -0.92           ,         , -0.89           ,         , -0.23           ,         , -0.21           ,         , 0               ,        
Basic_REDUCE3_INT         , -0.6            ,         , 1.8             ,OVER_TOL , 0               ,         , -0.023          ,         , 0               ,        
Basic_TRAP_INT            , -0.88           ,         , -0.024          ,         , 0               ,         , -0.47           ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.92           ,         , -0.89           ,         , -0.61           ,         , -0.47           ,         , 1.8e+308        ,        
Col Max                   , 0               ,         , 7.2             ,         , 0.032           ,         , 0.35            ,         , -1.8e+308       ,        
Col Avg                   , -0.56           ,         , 2.6             ,         , -0.33           ,         , -0.21           ,         , 0               ,        
Col Std Dev               , 0.093           ,         , 7.5             ,         , 0.044           ,         , 0.067           ,         , 0               ,        
