FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,        
Algorithm_SORT            , 0               ,         , 0.044           ,         , 0               ,         , inf             ,OVER_TOL
Algorithm_SORTPAIRS       , 0               ,         , 0.2             ,OVER_TOL , 0               ,         , inf             ,OVER_TOL
Apps_DEL_DOT_VEC_2D       , 0.0026          ,         , -0.0061         ,         , -0.17           ,         , 3.2             ,OVER_TOL
Apps_ENERGY               , 0.072           ,         , 0.062           ,         , 0               ,         , -0.032          ,        
Apps_FIR                  , 0.00026         ,         , -0.025          ,         , 0               ,         , -0.031          ,        
Apps_HALOEXCHANGE         , -0.018          ,         , -0.046          ,         , 0               ,         , 0.3             ,OVER_TOL
Apps_LTIMES               , -0.0076         ,         , -0.0041         ,         , -0.059          ,         , 0.076           ,        
Apps_LTIMES_NOVIEW        , -0.00015        ,         , 0.0049          ,         , -0.06           ,         , 0.081           ,        
Apps_PRESSURE             , 0.026           ,         , 0.025           ,         , 0               ,         , -0.0081         ,        
Apps_VOL3D                , -0.0045         ,         , -0.024          ,         , 0               ,         , -0.16           ,        
Basic_DAXPY               , 0.00054         ,         , -0.0028         ,         , 0.039           ,         , 0.041           ,        
Basic_IF_QUAD             , -0.018          ,         , -0.029          ,         , -0.1            ,         , -0.059          ,        
Basic_INIT3               , -0.0048         ,         , -0.0084         ,         , -0.1            ,         , -0.079          ,        
Basic_INIT_VIEW1D         , 0.33            ,OVER_TOL , 0.25            ,OVER_TOL , -0.13           ,         , -0.024          ,        
Basic_INIT_VIEW1D_OFFSET  , -0.00039        ,         , 0.5             ,OVER_TOL , -0.035          ,         , 0.13            ,OVER_TOL
Basic_MULADDSUB           , 0.0014          ,         , -0.00046        ,         , -0.079          ,         , -0.066          ,        
Basic_NESTED_INIT         , 0.091           ,         , -0.0015         ,         , -0.024          ,         , -0.037          ,        
Basic_PI_ATOMIC           , -0.00093        ,         , 1.2             ,OVER_TOL , -0.056          ,         , 0.024           ,        
Basic_REDUCE3_INT         , 0.0072          ,         , -0.067          ,         , 0               ,         , 1.2             ,OVER_TOL
Basic_TRAP_INT            , -0.00044        ,         , 0.00069         ,         , 0               ,         , -0.97           ,        
Lcals_DIFF_PREDICT        , 0.0021          ,         , 0.00079         ,         , 0               ,         , -0.047          ,        
Lcals_EOS                 , 0.0066          ,         , 0.014           ,         , 0               ,         , -0.058          ,        
Lcals_FIRST_DIFF          , 0.0031          ,         , -0.0016         ,         , 0               ,         , 0.008           ,        
Lcals_FIRST_MIN           , -0.036          ,         , -0.028          ,         , 0               ,         , -0.24           ,        
Lcals_FIRST_SUM           , 0.0028          ,         , 0.0014          ,         , 0               ,         , -0.0054         ,        
Lcals_GEN_LIN_RECUR       , 0.0092          ,         , 0.0011          ,         , 0               ,         , -0.1            ,        
Lcals_HYDRO_1D            , 0.00072         ,         , -0.00052        ,         , 0               ,         , 0.0032          ,        
Lcals_HYDRO_2D            , 0.0014          ,         , -0.0019         ,         , 0               ,         , -0.004          ,        
Lcals_INT_PREDICT         , 0.0069          ,         , 0.071           ,         , 0               ,         , -0.06           ,        
Lcals_PLANCKIAN           , -0.0022         ,         , -0.012          ,         , 0               ,         , -0.31           ,        
Lcals_TRIDIAG_ELIM        , 0.021           ,         , 0.24            ,OVER_TOL , 0               ,         , -0.088          ,        
Stream_ADD                , -0.0013         ,         , 0.002           ,         , 0.038           ,         , 0.023           ,        
Stream_COPY               , -0.00091        ,         , 0.0024          ,         , 0.027           ,         , 0.019           ,        
Stream_DOT                , 0.041           ,         , -0.0093         ,         , 0               ,         , -0.97           ,        
Stream_MUL                , -0.0056         ,         , 0.0007          ,         , 0.031           ,         , 0.092           ,        
Stream_TRIAD              , 0.016           ,         , -0.00067        ,         , -0.11           ,         , 0.028           ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.036          ,         , -0.067          ,         , -0.17           ,         , -0.97           ,        
Col Max                   , 0.33            ,         , 1.2             ,         , 0.039           ,         , inf             ,        
Col Avg                   , 0.016           ,         , 0.066           ,         , -0.053          ,         , inf             ,        
Col Std Dev               , 0.0036          ,         , 0.048           ,         , 0.004           ,         , -nan            ,        
