FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,        
Apps_DEL_DOT_VEC_2D       , -0.00021        ,         , -0.0088         ,         , -0.18           ,         , 3.2             ,OVER_TOL
Apps_ENERGY               , 0.066           ,         , 0.08            ,         , 0               ,         , -0.022          ,        
Apps_FIR                  , -0.041          ,         , -0.036          ,         , 0               ,         , -0.047          ,        
Apps_HALOEXCHANGE         , -0.045          ,         , -0.022          ,         , 0               ,         , -0.15           ,        
Apps_LTIMES               , -0.0022         ,         , 0.0001          ,         , -0.07           ,         , 0.063           ,        
Apps_LTIMES_NOVIEW        , 0.0021          ,         , 0.0022          ,         , -0.062          ,         , 0.079           ,        
Apps_PRESSURE             , -0.0038         ,         , 0.0072          ,         , 0               ,         , 0.0038          ,        
Apps_VOL3D                , -0.00025        ,         , 0.0061          ,         , 0               ,         , -0.17           ,        
Basic_DAXPY               , 0.0011          ,         , 0.0026          ,         , -0.0046         ,         , 0.0014          ,        
Basic_IF_QUAD             , -0.0069         ,         , -0.002          ,         , -0.032          ,         , -0.069          ,        
Basic_INIT3               , -0.0026         ,         , -0.0099         ,         , -0.039          ,         , -0.025          ,        
Basic_INIT_VIEW1D         , 0.0014          ,         , -0.059          ,         , -0.14           ,         , -0.018          ,        
Basic_INIT_VIEW1D_OFFSET  , 0.0096          ,         , -0.051          ,         , -0.035          ,         , 0.11            ,OVER_TOL
Basic_MULADDSUB           , -0.0032         ,         , -0.0047         ,         , -0.042          ,         , -0.032          ,        
Basic_NESTED_INIT         , -0.00067        ,         , 0.0053          ,         , -0.034          ,         , -0.0094         ,        
Basic_PI_ATOMIC           , -0.0014         ,         , 1.2             ,OVER_TOL , -0.021          ,         , 0.089           ,        
Basic_REDUCE3_INT         , -0.0016         ,         , -0.079          ,         , 0               ,         , -0.45           ,        
Basic_TRAP_INT            , 0.00068         ,         , 0.00084         ,         , 0               ,         , -0.96           ,        
Lcals_DIFF_PREDICT        , -0.0018         ,         , -0.0026         ,         , 0               ,         , -0.047          ,        
Lcals_EOS                 , 0.016           ,         , 0.0092          ,         , 0               ,         , 0.0074          ,        
Lcals_FIRST_DIFF          , -0.0014         ,         , 0.00047         ,         , 0               ,         , -0.014          ,        
Lcals_FIRST_MIN           , -0.01           ,         , 0.0017          ,         , 0               ,         , 0.55            ,OVER_TOL
Lcals_FIRST_SUM           , -0.0035         ,         , -0.0038         ,         , 0               ,         , -0.015          ,        
Lcals_GEN_LIN_RECUR       , 0.005           ,         , 0.0086          ,         , 0               ,         , -0.054          ,        
Lcals_HYDRO_1D            , 0.0054          ,         , 0.00031         ,         , 0               ,         , -0.0034         ,        
Lcals_HYDRO_2D            , 0.00063         ,         , 0.0042          ,         , 0               ,         , -0.018          ,        
Lcals_INT_PREDICT         , 0.00057         ,         , 0.069           ,         , 0               ,         , -0.058          ,        
Lcals_PLANCKIAN           , 0.00067         ,         , -0.0097         ,         , 0               ,         , -0.22           ,        
Lcals_TRIDIAG_ELIM        , 0.022           ,         , 0.0014          ,         , 0               ,         , -0.018          ,        
Stream_ADD                , -0.0021         ,         , 0.0015          ,         , -0.021          ,         , 0.05            ,        
Stream_COPY               , 0.0047          ,         , -0.0018         ,         , -0.065          ,         , -0.015          ,        
Stream_DOT                , -0.0063         ,         , -0.0021         ,         , 0               ,         , -0.97           ,        
Stream_MUL                , 0.0074          ,         , -0.0011         ,         , -0.083          ,         , 0.051           ,        
Stream_TRIAD              , 0.022           ,         , 0.002           ,         , -0.071          ,         , 0.022           ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.045          ,         , -0.079          ,         , -0.18           ,         , -0.97           ,        
Col Max                   , 0.066           ,         , 1.2             ,         , -0.0046         ,         , 3.2             ,        
Col Avg                   , 0.00093         ,         , 0.033           ,         , -0.06           ,         , 0.025           ,        
Col Std Dev               , 0.00029         ,         , 0.042           ,         , 0.002           ,         , 0.38            ,        
