FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,        
Apps_DEL_DOT_VEC_2D       , 0.01            ,         , 0.012           ,         , -0.18           ,         , 3.2             ,OVER_TOL
Apps_ENERGY               , 0.069           ,         , 0.077           ,         , 0               ,         , -0.032          ,        
Apps_FIR                  , -0.038          ,         , -0.031          ,         , 0               ,         , -0.033          ,        
Apps_HALOEXCHANGE         , -0.33           ,         , -0.35           ,         , 0               ,         , 0.00036         ,        
Apps_LTIMES               , 0.0013          ,         , 0.003           ,         , -0.059          ,         , 0.077           ,        
Apps_LTIMES_NOVIEW        , 0.0021          ,         , 0.0031          ,         , -0.065          ,         , 0.075           ,        
Apps_PRESSURE             , 0.012           ,         , 0.0074          ,         , 0               ,         , -0.012          ,        
Apps_VOL3D                , 0.0011          ,         , 0.0059          ,         , 0               ,         , -0.17           ,        
Basic_DAXPY               , -0.00046        ,         , -0.0028         ,         , -0.054          ,         , 0.0088          ,        
Basic_IF_QUAD             , 0.004           ,         , 0.0021          ,         , -0.051          ,         , -0.026          ,        
Basic_INIT3               , -0.0043         ,         , 0.0075          ,         , -0.063          ,         , -0.037          ,        
Basic_INIT_VIEW1D         , 0.0032          ,         , -0.06           ,         , -0.15           ,         , -0.071          ,        
Basic_INIT_VIEW1D_OFFSET  , 0.00023         ,         , -0.06           ,         , 0.21            ,OVER_TOL , 0.39            ,OVER_TOL
Basic_MULADDSUB           , -0.0075         ,         , -0.0055         ,         , -0.091          ,         , -0.056          ,        
Basic_NESTED_INIT         , -0.00043        ,         , 0.0062          ,         , -0.031          ,         , -0.011          ,        
Basic_PI_ATOMIC           , -0.008          ,         , 1.2             ,OVER_TOL , -0.022          ,         , -0.042          ,        
Basic_REDUCE3_INT         , 0.00059         ,         , -0.075          ,         , 0               ,         , -0.28           ,        
Basic_TRAP_INT            , -0.00054        ,         , -0.00054        ,         , 0               ,         , -0.96           ,        
Lcals_DIFF_PREDICT        , -0.00059        ,         , 0.0063          ,         , 0               ,         , -0.05           ,        
Lcals_EOS                 , -0.018          ,         , -0.014          ,         , 0               ,         , -0.007          ,        
Lcals_FIRST_DIFF          , -0.0024         ,         , -0.00013        ,         , 0               ,         , -0.047          ,        
Lcals_FIRST_MIN           , 0.017           ,         , -0.0013         ,         , 0               ,         , 0.24            ,OVER_TOL
Lcals_FIRST_SUM           , -0.0019         ,         , 0.002           ,         , 0               ,         , -0.023          ,        
Lcals_GEN_LIN_RECUR       , 0.0057          ,         , 0.0017          ,         , 0               ,         , -0.055          ,        
Lcals_HYDRO_1D            , 0.00081         ,         , 0.0045          ,         , 0               ,         , -0.061          ,        
Lcals_HYDRO_2D            , 0.00092         ,         , 0.0048          ,         , 0               ,         , -0.023          ,        
Lcals_INT_PREDICT         , 0.0001          ,         , 0.098           ,         , 0               ,         , -0.08           ,        
Lcals_PLANCKIAN           , -0.00078        ,         , -0.011          ,         , 0               ,         , -0.2            ,        
Lcals_TRIDIAG_ELIM        , -0.018          ,         , 0.0017          ,         , 0               ,         , -0.02           ,        
Stream_ADD                , -0.0056         ,         , -0.0014         ,         , -0.071          ,         , 0.0099          ,        
Stream_COPY               , -0.0065         ,         , -0.00015        ,         , -0.026          ,         , -0.015          ,        
Stream_DOT                , 0.00045         ,         , -0.0032         ,         , 0               ,         , -0.97           ,        
Stream_MUL                , 5.6e-05         ,         , -0.00032        ,         , -0.032          ,         , -0.023          ,        
Stream_TRIAD              , -0.0049         ,         , -0.0075         ,         , -0.087          ,         , -0.05           ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.33           ,         , -0.35           ,         , -0.18           ,         , -0.97           ,        
Col Max                   , 0.069           ,         , 1.2             ,         , 0.21            ,         , 3.2             ,        
Col Avg                   , -0.0094         ,         , 0.024           ,         , -0.051          ,         , 0.02            ,        
Col Std Dev               , 0.0034          ,         , 0.045           ,         , 0.0068          ,         , 0.37            ,        
