FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,        
Apps_DEL_DOT_VEC_2D       , 0.012           ,         , 0.0073          ,         , -0.18           ,         , 3.2             ,OVER_TOL
Apps_ENERGY               , 0.069           ,         , 0.076           ,         , 0               ,         , -0.036          ,        
Apps_FIR                  , -0.016          ,         , -0.014          ,         , 0               ,         , 0.067           ,        
Apps_HALOEXCHANGE         , -0.03           ,         , 0.077           ,         , 0               ,         , -0.15           ,        
Apps_LTIMES               , -0.0025         ,         , 0.00081         ,         , -0.094          ,         , 0.035           ,        
Apps_LTIMES_NOVIEW        , 0.0009          ,         , 0.0018          ,         , -0.061          ,         , 0.083           ,        
Apps_PRESSURE             , 0.0072          ,         , 0.0041          ,         , 0               ,         , 0.0033          ,        
Apps_VOL3D                , -0.00032        ,         , 0.045           ,         , 0               ,         , -0.15           ,        
Basic_DAXPY               , 0.00077         ,         , -0.00015        ,         , -0.024          ,         , 0.028           ,        
Basic_IF_QUAD             , 0.0028          ,         , -0.0017         ,         , -0.11           ,         , -0.12           ,        
Basic_INIT3               , 0.00092         ,         , 0.057           ,         , -0.078          ,         , -0.04           ,        
Basic_INIT_VIEW1D         , -0.00013        ,         , 0.25            ,OVER_TOL , -0.17           ,         , 0.18            ,OVER_TOL
Basic_INIT_VIEW1D_OFFSET  , 0.00054         ,         , -0.06           ,         , -0.045          ,         , 0.35            ,OVER_TOL
Basic_MULADDSUB           , -0.0066         ,         , 0.0051          ,         , -0.11           ,         , -0.074          ,        
Basic_NESTED_INIT         , -0.00036        ,         , 0.0056          ,         , -0.041          ,         , -0.022          ,        
Basic_PI_ATOMIC           , -0.00058        ,         , 1.2             ,OVER_TOL , 0.15            ,OVER_TOL , 0.11            ,OVER_TOL
Basic_REDUCE3_INT         , -0.00017        ,         , -0.076          ,         , 0               ,         , -0.5            ,        
Basic_TRAP_INT            , -0.0005         ,         , 0.00038         ,         , 0               ,         , -0.96           ,        
Lcals_DIFF_PREDICT        , -0.0014         ,         , 0.014           ,         , 0               ,         , -0.059          ,        
Lcals_EOS                 , 0.0045          ,         , -0.00058        ,         , 0               ,         , -0.092          ,        
Lcals_FIRST_DIFF          , 0.00038         ,         , 0.0013          ,         , 0               ,         , -0.072          ,        
Lcals_FIRST_MIN           , -0.018          ,         , -0.011          ,         , 0               ,         , 0.57            ,OVER_TOL
Lcals_FIRST_SUM           , -0.0016         ,         , -8.2e-05        ,         , 0               ,         , -0.034          ,        
Lcals_GEN_LIN_RECUR       , 0.00067         ,         , 0.0012          ,         , 0               ,         , -0.12           ,        
Lcals_HYDRO_1D            , 0.002           ,         , 0.0072          ,         , 0               ,         , -0.2            ,        
Lcals_HYDRO_2D            , 0.0021          ,         , 0.0037          ,         , 0               ,         , -0.018          ,        
Lcals_INT_PREDICT         , 0.0031          ,         , 0.09            ,         , 0               ,         , -0.042          ,        
Lcals_PLANCKIAN           , -0.00025        ,         , -0.01           ,         , 0               ,         , -0.17           ,        
Lcals_TRIDIAG_ELIM        , -0.011          ,         , -0.00016        ,         , 0               ,         , -0.074          ,        
Stream_ADD                , 0.037           ,         , -0.0026         ,         , -0.075          ,         , -0.077          ,        
Stream_COPY               , -0.0015         ,         , -0.011          ,         , -0.08           ,         , -0.039          ,        
Stream_DOT                , -0.018          ,         , -0.02           ,         , 0               ,         , -0.97           ,        
Stream_MUL                , -0.042          ,         , -0.055          ,         , -0.062          ,         , -0.042          ,        
Stream_TRIAD              , 0.038           ,         , -0.21           ,         , -0.1            ,         , -0.095          ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.042          ,         , -0.21           ,         , -0.18           ,         , -0.97           ,        
Col Max                   , 0.069           ,         , 1.2             ,         , 0.15            ,         , 3.2             ,        
Col Avg                   , 0.0009          ,         , 0.04            ,         , -0.073          ,         , 0.014           ,        
Col Std Dev               , 0.00034         ,         , 0.045           ,         , 0.0053          ,         , 0.39            ,        
