FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,        
Apps_DEL_DOT_VEC_2D       , 0.018           ,         , 0.0094          ,         , -0.19           ,         , 3.2             ,OVER_TOL
Apps_ENERGY               , 0.065           ,         , 0.071           ,         , 0               ,         , -0.029          ,        
Apps_FIR                  , -0.034          ,         , -0.032          ,         , 0               ,         , -0.068          ,        
Apps_HALOEXCHANGE         , 0.029           ,         , 0.0027          ,         , 0               ,         , 0.31            ,OVER_TOL
Apps_LTIMES               , 0.00015         ,         , 0.0029          ,         , -0.065          ,         , 0.07            ,        
Apps_LTIMES_NOVIEW        , 0.002           ,         , 0.0018          ,         , -0.062          ,         , 0.081           ,        
Apps_PRESSURE             , 0.0044          ,         , -0.0015         ,         , 0               ,         , -0.028          ,        
Apps_VOL3D                , 0.0015          ,         , 0.012           ,         , 0               ,         , -0.16           ,        
Basic_DAXPY               , 0.00073         ,         , -0.0003         ,         , 0.0015          ,         , 0.023           ,        
Basic_IF_QUAD             , -0.0035         ,         , 0.0047          ,         , -0.055          ,         , -0.05           ,        
Basic_INIT3               , 0.01            ,         , 0.015           ,         , -0.081          ,         , -0.045          ,        
Basic_INIT_VIEW1D         , -0.00054        ,         , -0.061          ,         , -0.17           ,         , -0.05           ,        
Basic_INIT_VIEW1D_OFFSET  , 0.00033         ,         , -0.061          ,         , -0.062          ,         , 0.089           ,        
Basic_MULADDSUB           , 0.0043          ,         , 0.0086          ,         , -0.11           ,         , -0.073          ,        
Basic_NESTED_INIT         , 0.0001          ,         , 0.0062          ,         , -0.027          ,         , -0.029          ,        
Basic_PI_ATOMIC           , -0.00052        ,         , 1.2             ,OVER_TOL , 0.0064          ,         , -0.043          ,        
Basic_REDUCE3_INT         , 0.013           ,         , -0.074          ,         , 0               ,         , -0.46           ,        
Basic_TRAP_INT            , 0.00094         ,         , -0.00021        ,         , 0               ,         , -0.96           ,        
Lcals_DIFF_PREDICT        , -0.0012         ,         , 0.0042          ,         , 0               ,         , -0.049          ,        
Lcals_EOS                 , 0.012           ,         , 0.013           ,         , 0               ,         , -0.062          ,        
Lcals_FIRST_DIFF          , 0.0012          ,         , 0.0015          ,         , 0               ,         , -0.034          ,        
Lcals_FIRST_MIN           , -0.015          ,         , -0.00031        ,         , 0               ,         , 0.65            ,OVER_TOL
Lcals_FIRST_SUM           , -7.3e-05        ,         , 0.00073         ,         , 0               ,         , -0.035          ,        
Lcals_GEN_LIN_RECUR       , 0.0049          ,         , -0.00022        ,         , 0               ,         , -0.071          ,        
Lcals_HYDRO_1D            , 0.00049         ,         , -0.0091         ,         , 0               ,         , -0.042          ,        
Lcals_HYDRO_2D            , 0.0022          ,         , -0.0003         ,         , 0               ,         , -0.0069         ,        
Lcals_INT_PREDICT         , -0.0031         ,         , 0.043           ,         , 0               ,         , -0.038          ,        
Lcals_PLANCKIAN           , -0.00035        ,         , -0.011          ,         , 0               ,         , -0.21           ,        
Lcals_TRIDIAG_ELIM        , 0.018           ,         , 0.0009          ,         , 0               ,         , 0.025           ,        
Stream_ADD                , 0.003           ,         , 0.00071         ,         , -0.079          ,         , 0.022           ,        
Stream_COPY               , -0.018          ,         , -0.0037         ,         , -0.14           ,         , 0.035           ,        
Stream_DOT                , -0.0074         ,         , -0.0062         ,         , 0               ,         , -0.97           ,        
Stream_MUL                , -0.0089         ,         , -0.0054         ,         , -0.052          ,         , -0.0056         ,        
Stream_TRIAD              , -0.047          ,         , -0.00085        ,         , -0.09           ,         , -0.041          ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.047          ,         , -0.074          ,         , -0.19           ,         , -0.97           ,        
Col Max                   , 0.065           ,         , 1.2             ,         , 0.0064          ,         , 3.2             ,        
Col Avg                   , 0.0015          ,         , 0.033           ,         , -0.078          ,         , 0.028           ,        
Col Std Dev               , 0.0003          ,         , 0.042           ,         , 0.0029          ,         , 0.38            ,        
