FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,        
Apps_DEL_DOT_VEC_2D       , 0.0099          ,         , 0.0066          ,         , -0.18           ,         , 3.2             ,OVER_TOL
Apps_ENERGY               , 0.074           ,         , 0.079           ,         , 0               ,         , -0.029          ,        
Apps_FIR                  , -0.038          ,         , -0.037          ,         , 0               ,         , -0.057          ,        
Apps_HALOEXCHANGE         , 0.0098          ,         , -0.014          ,         , 0               ,         , -0.15           ,        
Apps_LTIMES               , -0.0023         ,         , -0.00047        ,         , -0.064          ,         , 0.071           ,        
Apps_LTIMES_NOVIEW        , 0.01            ,         , 0.017           ,         , -0.064          ,         , 0.078           ,        
Apps_PRESSURE             , 0.0062          ,         , -0.01           ,         , 0               ,         , -0.016          ,        
Apps_VOL3D                , 0.00033         ,         , 0.0089          ,         , 0               ,         , -0.16           ,        
Basic_DAXPY               , -0.0024         ,         , -0.0026         ,         , -0.027          ,         , 0.011           ,        
Basic_IF_QUAD             , 0.0051          ,         , -0.0062         ,         , -0.048          ,         , -0.1            ,        
Basic_INIT3               , -0.0054         ,         , 0.008           ,         , -0.082          ,         , -0.015          ,        
Basic_INIT_VIEW1D         , 0.0063          ,         , -0.05           ,         , -0.15           ,         , -0.018          ,        
Basic_INIT_VIEW1D_OFFSET  , -0.014          ,         , -0.074          ,         , -0.064          ,         , 0.088           ,        
Basic_MULADDSUB           , -0.0014         ,         , -0.0086         ,         , -0.028          ,         , -0.0067         ,        
Basic_NESTED_INIT         , -0.00068        ,         , 0.0055          ,         , -0.037          ,         , -0.017          ,        
Basic_PI_ATOMIC           , -0.0026         ,         , 1.2             ,OVER_TOL , 0.0099          ,         , 0.03            ,        
Basic_REDUCE3_INT         , 0.001           ,         , -0.075          ,         , 0               ,         , -0.31           ,        
Basic_TRAP_INT            , -0.013          ,         , -0.014          ,         , 0               ,         , -0.96           ,        
Lcals_DIFF_PREDICT        , -0.003          ,         , -0.0072         ,         , 0               ,         , -0.055          ,        
Lcals_EOS                 , -0.018          ,         , -0.02           ,         , 0               ,         , -0.07           ,        
Lcals_FIRST_DIFF          , -0.0026         ,         , -0.003          ,         , 0               ,         , -0.046          ,        
Lcals_FIRST_MIN           , -0.017          ,         , -0.0014         ,         , 0               ,         , 0.19            ,OVER_TOL
Lcals_FIRST_SUM           , -0.002          ,         , 0.00099         ,         , 0               ,         , -0.033          ,        
Lcals_GEN_LIN_RECUR       , 0.0046          ,         , 0.0048          ,         , 0               ,         , -0.061          ,        
Lcals_HYDRO_1D            , -0.0013         ,         , 0.00026         ,         , 0               ,         , 0.015           ,        
Lcals_HYDRO_2D            , 0.0017          ,         , -0.00095        ,         , 0               ,         , -0.0055         ,        
Lcals_INT_PREDICT         , 0.0015          ,         , 0.067           ,         , 0               ,         , -0.075          ,        
Lcals_PLANCKIAN           , -0.00092        ,         , -0.011          ,         , 0               ,         , -0.26           ,        
Lcals_TRIDIAG_ELIM        , 0.0023          ,         , -0.0062         ,         , 0               ,         , -0.02           ,        
Stream_ADD                , -0.0013         ,         , -0.00064        ,         , -0.069          ,         , -0.0023         ,        
Stream_COPY               , -0.00038        ,         , -0.0071         ,         , -0.047          ,         , -0.013          ,        
Stream_DOT                , -0.011          ,         , -0.0022         ,         , 0               ,         , -0.97           ,        
Stream_MUL                , 0.0055          ,         , -0.0027         ,         , -0.073          ,         , -0.043          ,        
Stream_TRIAD              , -0.018          ,         , 0.0038          ,         , -0.087          ,         , -0.03           ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.038          ,         , -0.075          ,         , -0.18           ,         , -0.97           ,        
Col Max                   , 0.074           ,         , 1.2             ,         , 0.0099          ,         , 3.2             ,        
Col Avg                   , -0.00047        ,         , 0.031           ,         , -0.067          ,         , 0.004           ,        
Col Std Dev               , 0.00026         ,         , 0.042           ,         , 0.0021          ,         , 0.36            ,        
