Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_HIP , Lambda_HIP , RAJA_HIP , Kokkos_Lambda , Kokkos_Functor
Apps_DEL_DOT_VEC_2D       , 0.797395 ,   0.813345 , 0.807001 , 0.007567 ,   0.006224 , 0.031814 ,       Not run ,        Not run
Apps_ENERGY               , 1.123805 ,   1.202143 , 1.203921 , 0.043861 ,    Not run , 0.044013 ,       Not run ,        Not run
Apps_FIR                  , 0.977864 ,   0.944158 , 0.946809 , 0.009256 ,    Not run , 0.008939 ,       Not run ,        Not run
Apps_HALOEXCHANGE         , 0.014763 ,   0.013988 , 0.014317 , 0.030243 ,    Not run , 0.039832 ,       Not run ,        Not run
Apps_LTIMES               , 0.876985 ,   0.874924 , 0.876324 , 0.016991 ,   0.015321 , 0.017491 ,       Not run ,        Not run
Apps_LTIMES_NOVIEW        , 0.872458 ,   0.876789 , 0.874917 , 0.016377 ,   0.015307 , 0.017629 ,       Not run ,        Not run
Apps_PRESSURE             , 1.341324 ,   1.354027 , 1.349104 , 0.055015 ,    Not run , 0.053793 ,       Not run ,        Not run
Apps_VOL3D                , 1.160218 ,   1.161472 , 1.173910 , 0.009338 ,    Not run , 0.007872 ,       Not run ,        Not run
Basic_DAXPY               , 0.183859 ,   0.184179 , 0.182021 , 0.017211 ,   0.017222 , 0.017876 ,      0.055617 ,        Not run
Basic_IF_QUAD             , 1.749684 ,   1.713109 , 1.719490 , 0.013740 ,   0.012771 , 0.012298 ,      0.027323 ,        Not run
Basic_INIT3               , 0.770675 ,   0.767005 , 0.774696 , 0.031132 ,   0.030659 , 0.030807 ,      0.069560 ,        Not run
Basic_INIT_VIEW1D         , 1.528705 ,   1.510725 , 1.410167 , 0.039520 ,   0.033747 , 0.038615 ,      0.246189 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 1.525180 ,   1.502610 , 1.410812 , 0.034886 ,   0.033686 , 0.038795 ,      0.248196 ,        Not run
Basic_MULADDSUB           , 0.544386 ,   0.530474 , 0.537055 , 0.025625 ,   0.022956 , 0.023400 ,      0.049911 ,        Not run
Basic_NESTED_INIT         , 0.612125 ,   0.605523 , 0.608121 , 0.016372 ,   0.015795 , 0.016115 ,      0.115732 ,        Not run
Basic_PI_ATOMIC           , 0.076585 ,   0.076325 , 0.168423 , 677.364051 , 684.392396 , 738.964025 ,   1124.590584 ,        Not run
Basic_REDUCE3_INT         , 0.012752 ,   0.012671 , 0.011830 , 0.012614 ,    Not run , 0.011113 ,      0.011320 ,        Not run
Basic_TRAP_INT            , 0.210241 ,   0.210220 , 0.210774 , 0.095101 ,    Not run , 0.003990 ,      0.010448 ,        Not run
Lcals_DIFF_PREDICT        , 0.763259 ,   0.761543 , 0.754758 , 0.040273 ,    Not run , 0.038148 ,      0.063609 ,        Not run
Lcals_EOS                 , 0.669093 ,   0.662896 , 0.665248 , 0.023728 ,    Not run , 0.023847 ,      0.063994 ,        Not run
Lcals_FIRST_DIFF          , 0.739671 ,   0.739866 , 0.739287 , 0.051975 ,    Not run , 0.050861 ,      0.194141 ,        Not run
Lcals_FIRST_MIN           , 0.049239 ,   0.048524 , 0.049842 , 0.009677 ,    Not run , 0.011590 ,      0.022209 ,        Not run
Lcals_FIRST_SUM           , 0.780418 ,   0.776077 , 0.775137 , 0.051672 ,    Not run , 0.051016 ,      0.195751 ,        Not run
Lcals_GEN_LIN_RECUR       , 0.839750 ,   0.846488 , 0.845800 , 0.060987 ,    Not run , 0.059738 ,      0.128096 ,        Not run
Lcals_HYDRO_1D            , 0.793473 ,   0.794171 , 0.793738 , 0.034003 ,    Not run , 0.038749 ,      0.109216 ,        Not run
Lcals_HYDRO_2D            , 0.824461 ,   0.824868 , 0.823550 , 0.021264 ,    Not run , 0.021059 ,      0.050456 ,        Not run
Lcals_INT_PREDICT         , 1.203068 ,   1.224433 , 1.317464 , 0.050150 ,    Not run , 0.046798 ,      0.075016 ,        Not run
Lcals_PLANCKIAN           , 0.752254 ,   0.752227 , 0.744988 , 0.004489 ,    Not run , 0.003043 ,      0.008258 ,        Not run
Lcals_TRIDIAG_ELIM        , 1.881980 ,   1.835444 , 1.879214 , 0.052138 ,    Not run , 0.048739 ,      0.107395 ,        Not run
Stream_ADD                , 0.804328 ,   0.803911 , 0.804287 , 0.036215 ,   0.033894 , 0.035902 ,      0.101545 ,        Not run
Stream_COPY               , 0.612396 ,   0.610649 , 0.612540 , 0.046873 ,   0.042424 , 0.047053 ,      0.158309 ,        Not run
Stream_DOT                , 1.876801 ,   1.878717 , 1.876366 , 3.705554 ,    Not run , 0.131856 ,      0.383680 ,        Not run
Stream_MUL                , 0.710483 ,   0.709781 , 0.709527 , 0.048556 ,   0.043486 , 0.045765 ,      0.160927 ,        Not run
Stream_TRIAD              , 1.267649 ,   0.890419 , 0.870862 , 0.036494 ,   0.033345 , 0.036313 ,      0.113071 ,        Not run
