Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_HIP , Lambda_HIP , RAJA_HIP , Kokkos_Lambda , Kokkos_Functor
Apps_DEL_DOT_VEC_2D       , 0.812068 ,   0.820372 , 0.821566 , 0.007587 ,   0.006257 , 0.031938 ,       Not run ,        Not run
Apps_ENERGY               , 1.116552 ,   1.193777 , 1.202417 , 0.044275 ,    Not run , 0.042864 ,       Not run ,        Not run
Apps_FIR                  , 0.991495 ,   0.954135 , 0.960530 , 0.009462 ,    Not run , 0.009152 ,       Not run ,        Not run
Apps_HALOEXCHANGE         , 0.021451 ,   0.014350 , 0.013867 , 0.040423 ,    Not run , 0.040437 ,       Not run ,        Not run
Apps_LTIMES               , 0.889421 ,   0.890602 , 0.892107 , 0.016270 ,   0.015316 , 0.017520 ,       Not run ,        Not run
Apps_LTIMES_NOVIEW        , 0.882590 ,   0.884434 , 0.885340 , 0.016373 ,   0.015313 , 0.017606 ,       Not run ,        Not run
Apps_PRESSURE             , 1.347566 ,   1.363212 , 1.357490 , 0.055273 ,    Not run , 0.054607 ,       Not run ,        Not run
Apps_VOL3D                , 1.175517 ,   1.176807 , 1.182507 , 0.009338 ,    Not run , 0.007780 ,       Not run ,        Not run
Basic_DAXPY               , 0.182480 ,   0.182396 , 0.181962 , 0.017820 ,   0.016855 , 0.017977 ,      0.052537 ,        Not run
Basic_IF_QUAD             , 1.739645 ,   1.746631 , 1.743361 , 0.013145 ,   0.012469 , 0.012803 ,      0.026443 ,        Not run
Basic_INIT3               , 0.755678 ,   0.752450 , 0.761310 , 0.032390 ,   0.030354 , 0.031192 ,      0.065735 ,        Not run
Basic_INIT_VIEW1D         , 1.530828 ,   1.535651 , 1.439231 , 0.039899 ,   0.033926 , 0.037072 ,      0.241473 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 1.500068 ,   1.500409 , 1.409436 , 0.027812 ,   0.033769 , 0.038796 ,      0.243545 ,        Not run
Basic_MULADDSUB           , 0.538175 ,   0.534163 , 0.535230 , 0.024719 ,   0.022469 , 0.023338 ,      0.049485 ,        Not run
Basic_NESTED_INIT         , 0.604519 ,   0.604259 , 0.608261 , 0.016075 ,   0.015569 , 0.015893 ,      0.110689 ,        Not run
Basic_PI_ATOMIC           , 0.075501 ,   0.074899 , 0.165091 , 698.944429 , 683.879841 , 669.873543 ,   1105.511569 ,        Not run
Basic_REDUCE3_INT         , 0.012541 ,   0.012548 , 0.011598 , 0.013805 ,    Not run , 0.009985 ,      0.011385 ,        Not run
Basic_TRAP_INT            , 0.206050 ,   0.205938 , 0.205938 , 0.094982 ,    Not run , 0.003961 ,      0.009411 ,        Not run
Lcals_DIFF_PREDICT        , 0.749552 ,   0.749107 , 0.754305 , 0.040417 ,    Not run , 0.038398 ,      0.073664 ,        Not run
Lcals_EOS                 , 0.670118 ,   0.658309 , 0.660591 , 0.024536 ,    Not run , 0.024365 ,      0.061127 ,        Not run
Lcals_FIRST_DIFF          , 0.728687 ,   0.726921 , 0.728593 , 0.051961 ,    Not run , 0.049499 ,      0.194687 ,        Not run
Lcals_FIRST_MIN           , 0.048161 ,   0.048976 , 0.048096 , 0.009992 ,    Not run , 0.012400 ,      0.019777 ,        Not run
Lcals_FIRST_SUM           , 0.752836 ,   0.751414 , 0.754368 , 0.052307 ,    Not run , 0.051126 ,      0.194187 ,        Not run
Lcals_GEN_LIN_RECUR       , 0.837260 ,   0.842044 , 0.838652 , 0.062359 ,    Not run , 0.058907 ,      0.131747 ,        Not run
Lcals_HYDRO_1D            , 0.831563 ,   0.832234 , 0.835327 , 0.040871 ,    Not run , 0.038384 ,      0.109187 ,        Not run
Lcals_HYDRO_2D            , 0.813116 ,   0.813868 , 0.817056 , 0.021554 ,    Not run , 0.021060 ,      0.050385 ,        Not run
Lcals_INT_PREDICT         , 1.210517 ,   1.210638 , 1.328813 , 0.050122 ,    Not run , 0.046098 ,      0.089267 ,        Not run
Lcals_PLANCKIAN           , 0.752055 ,   0.751468 , 0.744005 , 0.003939 ,    Not run , 0.003138 ,      0.008559 ,        Not run
Lcals_TRIDIAG_ELIM        , 1.147697 ,   1.126924 , 1.149643 , 0.051837 ,    Not run , 0.050823 ,      0.119556 ,        Not run
Stream_ADD                , 0.788543 ,   0.784096 , 0.787432 , 0.035895 ,   0.033337 , 0.036249 ,      0.111169 ,        Not run
Stream_COPY               , 0.616540 ,   0.612519 , 0.616447 , 0.047099 ,   0.045880 , 0.046383 ,      0.175243 ,        Not run
Stream_DOT                , 1.844284 ,   1.845107 , 1.838471 , 3.726510 ,    Not run , 0.129795 ,      0.340750 ,        Not run
Stream_MUL                , 0.670597 ,   0.670634 , 0.670380 , 0.047212 ,   0.045694 , 0.046127 ,      0.176571 ,        Not run
Stream_TRIAD              , 0.799108 ,   0.795174 , 0.793100 , 0.036713 ,   0.033503 , 0.034875 ,      0.112859 ,        Not run
