FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,         , RAJA_WORKGROUP_HIP,        
Basic_ATOMIC_PI           , -0.76           ,         , 0               ,         , -0.25           ,         , -0.23           ,         , 0               ,        
Basic_DAXPY               , -0.17           ,         , 2.7             ,OVER_TOL , -0.12           ,         , -0.12           ,         , 0               ,        
Basic_IF_QUAD             , 0               ,         , 2.5             ,OVER_TOL , -0.31           ,         , -0.29           ,         , 0               ,        
Basic_INIT3               , -0.17           ,         , 3               ,OVER_TOL , -0.28           ,         , -0.28           ,         , 0               ,        
Basic_INIT_VIEW1D         , -0.29           ,         , 2.1             ,OVER_TOL , -0.36           ,         , -0.29           ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.17           ,         , 2.8             ,OVER_TOL , -0.27           ,         , -0.25           ,         , 0               ,        
Basic_MULADDSUB           , -0.14           ,         , 2.3             ,OVER_TOL , -0.32           ,         , -0.32           ,         , 0               ,        
Basic_NESTED_INIT         , 0               ,         , 2.7             ,OVER_TOL , -0.33           ,         , -0.3            ,         , 0               ,        
Basic_REDUCE3_INT         , -0.52           ,         , 0               ,         , 0               ,         , 0.22            ,OVER_TOL , 0               ,        
Basic_TRAP_INT            , -0.68           ,         , 0.14            ,OVER_TOL , 0               ,         , -0.61           ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.76           ,         , 0               ,         , -0.36           ,         , -0.61           ,         , 1.8e+308        ,        
Col Max                   , 0               ,         , 3               ,         , -0.12           ,         , 0.22            ,         , -1.8e+308       ,        
Col Avg                   , -0.29           ,         , 1.8             ,         , -0.28           ,         , -0.25           ,         , 0               ,        
Col Std Dev               , 0.067           ,         , 1.4             ,         , 0.0048          ,         , 0.038           ,         , 0               ,        
