FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,         , RAJA_WORKGROUP_HIP,        
Apps_DEL_DOT_VEC_2D       , 0.0065          ,         , 0.0027          ,         , -0.13           ,         , -0.14           ,         , 0               ,        
Apps_ENERGY               , 0.11            ,OVER_TOL , 0.12            ,OVER_TOL , 0               ,         , 0.019           ,         , 0               ,        
Apps_FIR                  , -0.061          ,         , -0.068          ,         , 0               ,         , 0.097           ,         , 0               ,        
Apps_HALOEXCHANGE         , 0.35            ,OVER_TOL , 0.0042          ,         , 0               ,         , -0.31           ,         , 0               ,        
Apps_LTIMES               , -0.0015         ,         , -0.00011        ,         , -0.086          ,         , 0.049           ,         , 0               ,        
Apps_LTIMES_NOVIEW        , 0.00059         ,         , 0.014           ,         , -0.084          ,         , 0.057           ,         , 0               ,        
Apps_PRESSURE             , -0.0043         ,         , -0.0072         ,         , 0               ,         , 0.084           ,         , 0               ,        
Apps_VOL3D                , 0.0066          ,         , 0.022           ,         , 0               ,         , -0.081          ,         , 0               ,        
Basic_ATOMIC_PI           , 0.0023          ,         , 1.2             ,OVER_TOL , 0.0058          ,         , -0.0041         ,         , 0               ,        
Basic_DAXPY               , 0.002           ,         , 0.0041          ,         , 0.0014          ,         , 0.1             ,OVER_TOL , 0               ,        
Basic_IF_QUAD             , 0.0094          ,         , -0.11           ,         , -0.19           ,         , -0.21           ,         , 0               ,        
Basic_INIT3               , 0.0027          ,         , -0.44           ,         , -0.14           ,         , -0.042          ,         , 0               ,        
Basic_INIT_VIEW1D         , 0.33            ,OVER_TOL , 0.25            ,OVER_TOL , -0.16           ,         , -0.076          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , 0.0016          ,         , -0.059          ,         , -0.054          ,         , 0.083           ,         , 0               ,        
Basic_MULADDSUB           , -0.0019         ,         , -0.52           ,         , -0.16           ,         , -0.056          ,         , 0               ,        
Basic_NESTED_INIT         , -0.0012         ,         , -0.00019        ,         , -0.027          ,         , -0.02           ,         , 0               ,        
Basic_REDUCE3_INT         , -0.0071         ,         , -0.081          ,         , 0               ,         , -0.34           ,         , 0               ,        
Basic_TRAP_INT            , 1.8e-05         ,         , 0.00069         ,         , 0               ,         , -0.92           ,         , 0               ,        
Lcals_DIFF_PREDICT        , 0.023           ,         , -0.4            ,         , 0               ,         , -0.027          ,         , 0               ,        
Lcals_EOS                 , 0.011           ,         , 0.0063          ,         , 0               ,         , -0.046          ,         , 0               ,        
Lcals_FIRST_DIFF          , 0.0072          ,         , 0.0042          ,         , 0               ,         , -0.044          ,         , 0               ,        
Lcals_FIRST_MIN           , -0.014          ,         , -0.00037        ,         , 0               ,         , 0.13            ,OVER_TOL , 0               ,        
Lcals_FIRST_SUM           , -0.0017         ,         , 0.00089         ,         , 0               ,         , -0.045          ,         , 0               ,        
Lcals_GEN_LIN_RECUR       , 0.0015          ,         , -0.0013         ,         , 0               ,         , -0.044          ,         , 0               ,        
Lcals_HYDRO_1D            , 0.00081         ,         , 0.0046          ,         , 0               ,         , -0.04           ,         , 0               ,        
Lcals_HYDRO_2D            , -0.0027         ,         , -0.003          ,         , 0               ,         , 0.0093          ,         , 0               ,        
Lcals_INT_PREDICT         , 0.017           ,         , -0.45           ,         , 0               ,         , -0.18           ,         , 0               ,        
Lcals_PLANCKIAN           , 0.0039          ,         , -0.0065         ,         , 0               ,         , -0.13           ,         , 0               ,        
Lcals_TRIDIAG_ELIM        , -8.4e-05        ,         , 6.4e-05         ,         , 0               ,         , -0.035          ,         , 0               ,        
Stream_ADD                , 0.00067         ,         , 0.0056          ,         , -0.037          ,         , -0.054          ,         , 0               ,        
Stream_COPY               , 0.003           ,         , 0.0015          ,         , -0.1            ,         , -0.018          ,         , 0               ,        
Stream_DOT                , 0.00028         ,         , -0.00076        ,         , 0               ,         , -0.98           ,         , 0               ,        
Stream_MUL                , -0.089          ,         , -0.11           ,         , -0.15           ,         , -0.12           ,         , 0               ,        
Stream_TRIAD              , -0.2            ,         , -0.23           ,         , -0.077          ,         , -0.0011         ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.2            ,         , -0.52           ,         , -0.19           ,         , -0.98           ,         , 1.8e+308        ,        
Col Max                   , 0.35            ,         , 1.2             ,         , 0.0058          ,         , 0.13            ,         , -1.8e+308       ,        
Col Avg                   , 0.015           ,         , -0.025          ,         , -0.092          ,         , -0.098          ,         , 0               ,        
Col Std Dev               , 0.0085          ,         , 0.071           ,         , 0.0035          ,         , 0.056           ,         , 0               ,        
