FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,        
Apps_DEL_DOT_VEC_2D       , 0.02            ,         , 0.012           ,         , -0.18           ,         , 3.2             ,OVER_TOL
Apps_ENERGY               , 0.07            ,         , 0.071           ,         , 0               ,         , 0.0035          ,        
Apps_FIR                  , -0.034          ,         , -0.032          ,         , 0               ,         , -0.034          ,        
Apps_HALOEXCHANGE         , -0.052          ,         , -0.03           ,         , 0               ,         , 0.32            ,OVER_TOL
Apps_LTIMES               , -0.0023         ,         , -0.00075        ,         , -0.098          ,         , 0.029           ,        
Apps_LTIMES_NOVIEW        , 0.005           ,         , 0.0028          ,         , -0.065          ,         , 0.076           ,        
Apps_PRESSURE             , 0.0095          ,         , 0.0058          ,         , 0               ,         , -0.022          ,        
Apps_VOL3D                , 0.0011          ,         , 0.012           ,         , 0               ,         , -0.16           ,        
Basic_DAXPY               , 0.0017          ,         , -0.01           ,         , 0.00065         ,         , 0.039           ,        
Basic_IF_QUAD             , -0.021          ,         , -0.017          ,         , -0.071          ,         , -0.11           ,        
Basic_INIT3               , -0.0048         ,         , 0.0052          ,         , -0.015          ,         , -0.01           ,        
Basic_INIT_VIEW1D         , -0.012          ,         , -0.078          ,         , -0.15           ,         , -0.023          ,        
Basic_INIT_VIEW1D_OFFSET  , -0.015          ,         , -0.075          ,         , -0.034          ,         , 0.11            ,OVER_TOL
Basic_MULADDSUB           , -0.026          ,         , -0.013          ,         , -0.1            ,         , -0.087          ,        
Basic_NESTED_INIT         , -0.011          ,         , -0.0065         ,         , -0.035          ,         , -0.016          ,        
Basic_PI_ATOMIC           , -0.0034         ,         , 1.2             ,OVER_TOL , 0.01            ,         , 0.091           ,        
Basic_REDUCE3_INT         , -0.0064         ,         , -0.072          ,         , 0               ,         , -0.12           ,        
Basic_TRAP_INT            , -9.9e-05        ,         , 0.0025          ,         , 0               ,         , -0.96           ,        
Lcals_DIFF_PREDICT        , -0.0022         ,         , -0.011          ,         , 0               ,         , -0.053          ,        
Lcals_EOS                 , -0.0093         ,         , -0.0057         ,         , 0               ,         , 0.005           ,        
Lcals_FIRST_DIFF          , 0.00026         ,         , -0.00052        ,         , 0               ,         , -0.021          ,        
Lcals_FIRST_MIN           , -0.015          ,         , 0.012           ,         , 0               ,         , 0.2             ,OVER_TOL
Lcals_FIRST_SUM           , -0.0056         ,         , -0.0068         ,         , 0               ,         , -0.013          ,        
Lcals_GEN_LIN_RECUR       , 0.008           ,         , 0.0072          ,         , 0               ,         , -0.02           ,        
Lcals_HYDRO_1D            , 0.00088         ,         , 0.00033         ,         , 0               ,         , 0.14            ,OVER_TOL
Lcals_HYDRO_2D            , 0.00049         ,         , -0.0011         ,         , 0               ,         , -0.0097         ,        
Lcals_INT_PREDICT         , 0.018           ,         , 0.095           ,         , 0               ,         , -0.067          ,        
Lcals_PLANCKIAN           , -3.6e-05        ,         , -0.0097         ,         , 0               ,         , -0.32           ,        
Lcals_TRIDIAG_ELIM        , -0.025          ,         , -0.0015         ,         , 0               ,         , -0.065          ,        
Stream_ADD                , -0.00052        ,         , -5.1e-05        ,         , -0.064          ,         , -0.0086         ,        
Stream_COPY               , -0.0029         ,         , 0.00024         ,         , -0.095          ,         , 0.0038          ,        
Stream_DOT                , 0.001           ,         , -0.00023        ,         , 0               ,         , -0.96           ,        
Stream_MUL                , -0.00099        ,         , -0.0013         ,         , -0.1            ,         , -0.057          ,        
Stream_TRIAD              , -0.3            ,         , -0.31           ,         , -0.086          ,         , -0.0049         ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.3            ,         , -0.31           ,         , -0.18           ,         , -0.96           ,        
Col Max                   , 0.07            ,         , 1.2             ,         , 0.01            ,         , 3.2             ,        
Col Avg                   , -0.012          ,         , 0.022           ,         , -0.072          ,         , 0.032           ,        
Col Std Dev               , 0.0028          ,         , 0.046           ,         , 0.0026          ,         , 0.37            ,        
