FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,        
Apps_DEL_DOT_VEC_2D       , 0.014           ,         , 0.011           ,         , -0.19           ,         , 3.2             ,OVER_TOL
Apps_ENERGY               , 0.07            ,         , 0.078           ,         , 0               ,         , -0.022          ,        
Apps_FIR                  , -0.035          ,         , -0.036          ,         , 0               ,         , -0.03           ,        
Apps_HALOEXCHANGE         , 0.19            ,OVER_TOL , 0.0046          ,         , 0               ,         , -0.085          ,        
Apps_LTIMES               , -0.00044        ,         , 0.0011          ,         , -0.063          ,         , 0.076           ,        
Apps_LTIMES_NOVIEW        , 0.0029          ,         , 0.0019          ,         , -0.058          ,         , 0.085           ,        
Apps_PRESSURE             , 0.0037          ,         , 0.0016          ,         , 0               ,         , 0.0068          ,        
Apps_VOL3D                , 1.9e-05         ,         , 0.0095          ,         , 0               ,         , -0.15           ,        
Basic_DAXPY               , 0.0016          ,         , 0.00043         ,         , 0.0043          ,         , 0.065           ,        
Basic_IF_QUAD             , -0.014          ,         , -0.0083         ,         , -0.084          ,         , -0.05           ,        
Basic_INIT3               , 0.0062          ,         , 0.019           ,         , -0.052          ,         , -0.0071         ,        
Basic_INIT_VIEW1D         , 0.0068          ,         , -0.054          ,         , -0.15           ,         , -0.021          ,        
Basic_INIT_VIEW1D_OFFSET  , 0.001           ,         , -0.061          ,         , -0.036          ,         , 0.11            ,OVER_TOL
Basic_MULADDSUB           , 0.0063          ,         , 0.023           ,         , -0.086          ,         , -0.034          ,        
Basic_NESTED_INIT         , -0.00047        ,         , 0.0069          ,         , -0.029          ,         , -0.0091         ,        
Basic_PI_ATOMIC           , -0.0005         ,         , 1.2             ,OVER_TOL , -0.026          ,         , -0.02           ,        
Basic_REDUCE3_INT         , 0.014           ,         , -0.063          ,         , 0               ,         , -0.55           ,        
Basic_TRAP_INT            , -0.0031         ,         , -0.0046         ,         , 0               ,         , -0.97           ,        
Lcals_DIFF_PREDICT        , -0.0057         ,         , -0.00073        ,         , 0               ,         , -0.041          ,        
Lcals_EOS                 , 0.0001          ,         , -0.0054         ,         , 0               ,         , 0.0072          ,        
Lcals_FIRST_DIFF          , 4e-05           ,         , 0.0017          ,         , 0               ,         , -0.044          ,        
Lcals_FIRST_MIN           , -0.0088         ,         , 0.015           ,         , 0               ,         , 0.21            ,OVER_TOL
Lcals_FIRST_SUM           , -0.004          ,         , -0.0017         ,         , 0               ,         , -0.036          ,        
Lcals_GEN_LIN_RECUR       , -0.002          ,         , 0.0031          ,         , 0               ,         , -0.052          ,        
Lcals_HYDRO_1D            , -0.00041        ,         , 0.002           ,         , 0               ,         , 0.17            ,OVER_TOL
Lcals_HYDRO_2D            , -0.0032         ,         , -0.0046         ,         , 0               ,         , -0.01           ,        
Lcals_INT_PREDICT         , 0.008           ,         , 0.089           ,         , 0               ,         , -0.048          ,        
Lcals_PLANCKIAN           , -0.00047        ,         , -0.0062         ,         , 0               ,         , -0.19           ,        
Lcals_TRIDIAG_ELIM        , -0.0042         ,         , -0.016          ,         , 0               ,         , 0.00068         ,        
Stream_ADD                , -0.0049         ,         , -0.00057        ,         , -0.015          ,         , 0.049           ,        
Stream_COPY               , -0.0051         ,         , -0.0022         ,         , -0.12           ,         , 0.024           ,        
Stream_DOT                , 0.0049          ,         , -0.0051         ,         , 0               ,         , -0.97           ,        
Stream_MUL                , 0.00014         ,         , 0.0026          ,         , -0.089          ,         , 0.041           ,        
Stream_TRIAD              , -0.0019         ,         , -0.003          ,         , -0.062          ,         , -0.00015        ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.035          ,         , -0.063          ,         , -0.19           ,         , -0.97           ,        
Col Max                   , 0.19            ,         , 1.2             ,         , 0.0043          ,         , 3.2             ,        
Col Avg                   , 0.0068          ,         , 0.035           ,         , -0.07           ,         , 0.02            ,        
Col Std Dev               , 0.0012          ,         , 0.042           ,         , 0.0025          ,         , 0.36            ,        
