Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_HIP , Lambda_HIP , RAJA_HIP , RAJA_WORKGROUP_HIP , Kokkos_Lambda , Kokkos_Functor
Apps_DEL_DOT_VEC_2D       , 0.809608 ,   0.814482 , 0.810829 , 0.019812 ,   0.017119 , 0.017212 ,            Not run ,       Not run ,        Not run
Apps_ENERGY               , 0.785076 ,   0.869321 , 0.874642 , 0.113100 ,    Not run , 0.114654 ,            Not run ,       Not run ,        Not run
Apps_FIR                  , 1.009580 ,   0.940046 , 0.942960 , 0.024665 ,    Not run , 0.027145 ,            Not run ,       Not run ,        Not run
Apps_HALOEXCHANGE         , 0.014183 ,   0.014182 , 0.014453 , 0.063651 ,    Not run , 0.040933 ,            Not run ,       Not run ,        Not run
Apps_LTIMES               , 0.893334 ,   0.893027 , 0.895495 , 0.016628 ,   0.015430 , 0.017694 ,            Not run ,       Not run ,        Not run
Apps_LTIMES_NOVIEW        , 0.904484 ,   0.908519 , 0.908354 , 0.016598 ,   0.015397 , 0.017761 ,            Not run ,       Not run ,        Not run
Apps_PRESSURE             , 1.081438 ,   1.079026 , 1.067124 , 0.189951 ,    Not run , 0.205578 ,            Not run ,       Not run ,        Not run
Apps_VOL3D                , 0.915919 ,   0.915107 , 0.925897 , 0.009496 ,    Not run , 0.008617 ,            Not run ,       Not run ,        Not run
Basic_ATOMIC_PI           , 0.045762 ,   0.045697 , 0.099530 , 44.405390 ,  44.664436 , 44.113913 ,            Not run ,     74.059491 ,        Not run
Basic_DAXPY               , 0.130281 ,   0.130400 , 0.130479 , 0.040147 ,   0.040094 , 0.070343 ,            Not run ,      0.264873 ,        Not run
Basic_IF_QUAD             , 1.828856 ,   1.818881 , 1.615934 , 0.021431 ,   0.017149 , 0.025896 ,            Not run ,      0.102997 ,        Not run
Basic_INIT3               , 0.483207 ,   0.483540 , 0.271346 , 0.047656 ,   0.041247 , 0.073261 ,            Not run ,      0.269516 ,        Not run
Basic_INIT_VIEW1D         , 1.133495 ,   1.512122 , 1.429105 , 0.046509 ,   0.040314 , 0.071703 ,            Not run ,      0.270876 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 1.521308 ,   1.519499 , 1.426096 , 0.041447 ,   0.040071 , 0.072171 ,            Not run ,      0.266238 ,        Not run
Basic_MULADDSUB           , 0.481507 ,   0.481063 , 0.240799 , 0.037556 ,   0.031414 , 0.054891 ,            Not run ,      0.192542 ,        Not run
Basic_NESTED_INIT         , 0.853334 ,   0.857501 , 0.855166 , 0.012564 ,   0.012293 , 0.012315 ,            Not run ,      0.061055 ,        Not run
Basic_REDUCE3_INT         , 0.025120 ,   0.025119 , 0.023290 , 0.018687 ,    Not run , 0.016605 ,            Not run ,      0.015332 ,        Not run
Basic_TRAP_INT            , 0.828211 ,   0.828511 , 0.827319 , 0.755225 ,    Not run , 0.088034 ,            Not run ,      0.157305 ,        Not run
Lcals_DIFF_PREDICT        , 0.706708 ,   0.688048 , 0.393312 , 0.034141 ,    Not run , 0.035856 ,            Not run ,      0.135055 ,        Not run
Lcals_EOS                 , 0.613748 ,   0.616501 , 0.615593 , 0.044781 ,    Not run , 0.067865 ,            Not run ,      0.274060 ,        Not run
Lcals_FIRST_DIFF          , 0.392427 ,   0.394826 , 0.394651 , 0.143541 ,    Not run , 0.229118 ,            Not run ,      0.813184 ,        Not run
Lcals_FIRST_MIN           , 0.049268 ,   0.048048 , 0.048371 , 0.009774 ,    Not run , 0.011793 ,            Not run ,      0.015541 ,        Not run
Lcals_FIRST_SUM           , 0.421907 ,   0.420740 , 0.421727 , 0.143254 ,    Not run , 0.227912 ,            Not run ,      0.819359 ,        Not run
Lcals_GEN_LIN_RECUR       , 0.477791 ,   0.477925 , 0.478858 , 0.098067 ,    Not run , 0.150591 ,            Not run ,      0.537531 ,        Not run
Lcals_HYDRO_1D            , 0.500997 ,   0.499910 , 0.499725 , 0.115030 ,    Not run , 0.176518 ,            Not run ,      0.666305 ,        Not run
Lcals_HYDRO_2D            , 1.630848 ,   1.774005 , 1.629799 , 0.041434 ,    Not run , 0.041576 ,            Not run ,      0.071804 ,        Not run
Lcals_INT_PREDICT         , 1.054313 ,   1.051191 , 0.568926 , 0.047163 ,    Not run , 0.058847 ,            Not run ,      0.227466 ,        Not run
Lcals_PLANCKIAN           , 0.707068 ,   0.707071 , 0.698642 , 0.007990 ,    Not run , 0.007492 ,            Not run ,      0.028396 ,        Not run
Lcals_TRIDIAG_ELIM        , 0.432809 ,   0.433244 , 0.433117 , 0.052769 ,    Not run , 0.078134 ,            Not run ,      0.280264 ,        Not run
Stream_ADD                , 1.266496 ,   1.265825 , 1.263477 , 0.033817 ,   0.032060 , 0.034341 ,            Not run ,      0.076028 ,        Not run
Stream_COPY               , 0.927894 ,   0.930528 , 0.929112 , 0.042893 ,   0.039135 , 0.045615 ,            Not run ,      0.116755 ,        Not run
Stream_DOT                , 2.059583 ,   2.090294 , 2.046214 , 6.697166 ,    Not run , 0.125597 ,            Not run ,      0.248136 ,        Not run
Stream_MUL                , 0.643948 ,   0.643967 , 0.641003 , 0.041271 ,   0.039989 , 0.045328 ,            Not run ,      0.123564 ,        Not run
Stream_TRIAD              , 0.801780 ,   0.800545 , 0.797636 , 0.036000 ,   0.032195 , 0.035531 ,            Not run ,      0.082823 ,        Not run
