FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,         , RAJA_WORKGROUP_HIP,        
Basic_ATOMIC_PI           , -0.76           ,         , 0               ,         , -0.31           ,         , -0.31           ,         , 0               ,        
Basic_DAXPY               , -0.68           ,         , 0.11            ,OVER_TOL , -0.52           ,         , -0.53           ,         , 0               ,        
Basic_IF_QUAD             , -0.44           ,         , 1.2             ,OVER_TOL , -0.34           ,         , -0.25           ,         , 0               ,        
Basic_INIT3               , 0.2             ,OVER_TOL , 4.2             ,OVER_TOL , -0.34           ,         , -0.32           ,         , 0               ,        
Basic_INIT_VIEW1D         , -0.17           ,         , 2.5             ,OVER_TOL , -0.23           ,         , -0.39           ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , 0               ,         , 3               ,OVER_TOL , -0.28           ,         , -0.28           ,         , 0               ,        
Basic_MULADDSUB           , 0.2             ,OVER_TOL , 3.4             ,OVER_TOL , -0.34           ,         , -0.3            ,         , 0               ,        
Basic_NESTED_INIT         , -0.5            ,         , 1.2             ,OVER_TOL , -0.31           ,         , -0.16           ,         , 0               ,        
Basic_REDUCE3_INT         , -0.95           ,         , -0.9            ,         , 0               ,         , -0.073          ,         , 0               ,        
Basic_TRAP_INT            , -0.75           ,         , 0.15            ,OVER_TOL , 0               ,         , -0.33           ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.95           ,         , -0.9            ,         , -0.52           ,         , -0.53           ,         , 1.8e+308        ,        
Col Max                   , 0.2             ,         , 4.2             ,         , -0.23           ,         , -0.073          ,         , -1.8e+308       ,        
Col Avg                   , -0.39           ,         , 1.5             ,         , -0.33           ,         , -0.29           ,         , 0               ,        
Col Std Dev               , 0.16            ,         , 2.6             ,         , 0.0063          ,         , 0.014           ,         , 0               ,        
