FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,        
Algorithm_SORT            , 0               ,         , 0.042           ,         , 0               ,         , inf             ,OVER_TOL
Algorithm_SORTPAIRS       , 0               ,         , 0.32            ,OVER_TOL , 0               ,         , inf             ,OVER_TOL
Apps_DEL_DOT_VEC_2D       , -0.014          ,         , -0.014          ,         , -0.18           ,         , 3.2             ,OVER_TOL
Apps_ENERGY               , 0.065           ,         , 0.055           ,         , 0               ,         , -0.024          ,        
Apps_FIR                  , 0.0028          ,         , -0.019          ,         , 0               ,         , 0.015           ,        
Apps_HALOEXCHANGE         , -0.0097         ,         , -0.0001         ,         , 0               ,         , -0.06           ,        
Apps_LTIMES               , 0.00023         ,         , 0.0049          ,         , -0.068          ,         , 0.068           ,        
Apps_LTIMES_NOVIEW        , 0.0007          ,         , 0.0023          ,         , -0.06           ,         , 0.082           ,        
Apps_PRESSURE             , 0.0069          ,         , 0.0077          ,         , 0               ,         , -0.024          ,        
Apps_VOL3D                , 0.0032          ,         , -0.017          ,         , 0               ,         , -0.15           ,        
Basic_DAXPY               , 0.0033          ,         , 0.0008          ,         , 0.034           ,         , 0.05            ,        
Basic_IF_QUAD             , -0.017          ,         , -0.0022         ,         , -0.086          ,         , -0.12           ,        
Basic_INIT3               , -0.00046        ,         , -0.0081         ,         , -0.09           ,         , -0.072          ,        
Basic_INIT_VIEW1D         , 0.33            ,OVER_TOL , 0.25            ,OVER_TOL , -0.14           ,         , 0.014           ,        
Basic_INIT_VIEW1D_OFFSET  , -0.0009         ,         , 0.5             ,OVER_TOL , -0.031          ,         , 0.15            ,OVER_TOL
Basic_MULADDSUB           , 0.0045          ,         , -0.022          ,         , -0.091          ,         , -0.074          ,        
Basic_NESTED_INIT         , 0.095           ,         , 5.6e-05         ,         , -0.021          ,         , -0.025          ,        
Basic_PI_ATOMIC           , 0.0012          ,         , 1.2             ,OVER_TOL , -0.026          ,         , 0.0098          ,        
Basic_REDUCE3_INT         , 0.0011          ,         , -0.081          ,         , 0               ,         , -0.29           ,        
Basic_TRAP_INT            , -0.00014        ,         , 0.00018         ,         , 0               ,         , -0.96           ,        
Lcals_DIFF_PREDICT        , -0.0031         ,         , 0.014           ,         , 0               ,         , -0.051          ,        
Lcals_EOS                 , 0.0055          ,         , 0.00057         ,         , 0               ,         , -0.086          ,        
Lcals_FIRST_DIFF          , 0.00047         ,         , -0.0018         ,         , 0               ,         , -0.0074         ,        
Lcals_FIRST_MIN           , -0.017          ,         , -0.017          ,         , 0               ,         , -0.3            ,        
Lcals_FIRST_SUM           , 1.5e-05         ,         , -0.00012        ,         , 0               ,         , -0.022          ,        
Lcals_GEN_LIN_RECUR       , 0.0021          ,         , 0.0096          ,         , 0               ,         , -0.098          ,        
Lcals_HYDRO_1D            , -0.0055         ,         , -0.0056         ,         , 0               ,         , 0.019           ,        
Lcals_HYDRO_2D            , -0.0028         ,         , -0.001          ,         , 0               ,         , -0.018          ,        
Lcals_INT_PREDICT         , 0.002           ,         , 0.088           ,         , 0               ,         , -0.043          ,        
Lcals_PLANCKIAN           , -0.00039        ,         , -0.01           ,         , 0               ,         , -0.28           ,        
Lcals_TRIDIAG_ELIM        , -0.00022        ,         , -0.0023         ,         , 0               ,         , 0.008           ,        
Stream_ADD                , 0.003           ,         , 0.0027          ,         , 0.015           ,         , 0.0091          ,        
Stream_COPY               , -0.0057         ,         , -0.0038         ,         , 0.036           ,         , -0.015          ,        
Stream_DOT                , 0.0014          ,         , 0.00019         ,         , 0               ,         , -0.96           ,        
Stream_MUL                , -0.009          ,         , -0.0034         ,         , -0.018          ,         , -0.029          ,        
Stream_TRIAD              , -0.0021         ,         , -0.00019        ,         , -0.11           ,         , -0.034          ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.017          ,         , -0.081          ,         , -0.18           ,         , -0.96           ,        
Col Max                   , 0.33            ,         , 1.2             ,         , 0.036           ,         , inf             ,        
Col Avg                   , 0.013           ,         , 0.064           ,         , -0.056          ,         , inf             ,        
Col Std Dev               , 0.0035          ,         , 0.049           ,         , 0.0037          ,         , -nan            ,        
