FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,         , RAJA_WORKGROUP_HIP,        
Basic_ATOMIC_PI           , -0.82           ,         , 0               ,         , 0.38            ,OVER_TOL , 0.38            ,OVER_TOL , 0               ,        
Basic_DAXPY               , -0.5            ,         , 0.9             ,OVER_TOL , -0.026          ,         , -0.11           ,         , 0               ,        
Basic_IF_QUAD             , -0.76           ,         , 0               ,         , -0.42           ,         , -0.4            ,         , 0               ,        
Basic_INIT3               , 0               ,         , 4               ,OVER_TOL , -0.26           ,         , 0.17            ,OVER_TOL , 0               ,        
Basic_INIT_VIEW1D         , -0.33           ,         , 2.7             ,OVER_TOL , -0.28           ,         , 0.3             ,OVER_TOL , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.17           ,         , 2.5             ,OVER_TOL , -0.23           ,         , -0.27           ,         , 0               ,        
Basic_MULADDSUB           , -0.2            ,         , 3.4             ,OVER_TOL , 0               ,         , -0.28           ,         , 0               ,        
Basic_NESTED_INIT         , 0               ,         , 4               ,OVER_TOL , -0.37           ,         , -0.13           ,         , 0               ,        
Basic_REDUCE3_INT         , -0.52           ,         , -0.087          ,         , 0               ,         , -0.32           ,         , 0               ,        
Basic_TRAP_INT            , -0.75           ,         , -0.05           ,         , 0               ,         , -0.61           ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.82           ,         , -0.087          ,         , -0.42           ,         , -0.61           ,         , 1.8e+308        ,        
Col Max                   , 0               ,         , 4               ,         , 0.38            ,         , 0.38            ,         , -1.8e+308       ,        
Col Avg                   , -0.41           ,         , 1.7             ,         , -0.15           ,         , -0.13           ,         , 0               ,        
Col Std Dev               , 0.087           ,         , 2.8             ,         , 0.059           ,         , 0.091           ,         , 0               ,        
