Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_HIP , Lambda_HIP , RAJA_HIP , RAJA_WORKGROUP_HIP , Kokkos_Lambda , Kokkos_Functor
Apps_DEL_DOT_VEC_2D       , 0.809766 ,   0.814202 , 0.811056 , 0.019840 ,   0.017106 , 0.017215 ,            Not run ,       Not run ,        Not run
Apps_ENERGY               , 0.790965 ,   0.881919 , 0.878328 , 0.113327 ,    Not run , 0.109967 ,            Not run ,       Not run ,        Not run
Apps_FIR                  , 1.007483 ,   0.945334 , 0.939930 , 0.025123 ,    Not run , 0.027015 ,            Not run ,       Not run ,        Not run
Apps_HALOEXCHANGE         , 0.014737 ,   0.013711 , 0.013739 , 0.041475 ,    Not run , 0.039993 ,            Not run ,       Not run ,        Not run
Apps_LTIMES               , 0.892946 ,   0.893222 , 0.894759 , 0.016556 ,   0.015423 , 0.017672 ,            Not run ,       Not run ,        Not run
Apps_LTIMES_NOVIEW        , 0.892784 ,   0.894009 , 0.894796 , 0.016422 ,   0.015453 , 0.017751 ,            Not run ,       Not run ,        Not run
Apps_PRESSURE             , 1.050196 ,   1.047586 , 1.052063 , 0.190144 ,    Not run , 0.206806 ,            Not run ,       Not run ,        Not run
Apps_VOL3D                , 0.922472 ,   0.923510 , 0.927286 , 0.009353 ,    Not run , 0.008594 ,            Not run ,       Not run ,        Not run
Basic_ATOMIC_PI           , 0.044924 ,   0.044848 , 0.098560 , 44.379840 ,  44.667161 , 44.084803 ,            Not run ,     70.867444 ,        Not run
Basic_DAXPY               , 0.125716 ,   0.126105 , 0.126170 , 0.067251 ,   0.067400 , 0.044133 ,            Not run ,      0.286294 ,        Not run
Basic_IF_QUAD             , 1.798455 ,   1.793022 , 1.595656 , 0.031450 ,   0.026790 , 0.016828 ,            Not run ,      0.104075 ,        Not run
Basic_INIT3               , 0.488636 ,   0.490377 , 0.267530 , 0.075285 ,   0.068018 , 0.045468 ,            Not run ,      0.275547 ,        Not run
Basic_INIT_VIEW1D         , 1.124749 ,   1.499415 , 1.409513 , 0.074064 ,   0.067362 , 0.044487 ,            Not run ,      0.286832 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 1.499970 ,   1.500664 , 1.410612 , 0.068417 ,   0.067062 , 0.046066 ,            Not run ,      0.283171 ,        Not run
Basic_MULADDSUB           , 0.473689 ,   0.473573 , 0.233029 , 0.056273 ,   0.050052 , 0.035588 ,            Not run ,      0.196166 ,        Not run
Basic_NESTED_INIT         , 0.854127 ,   0.849744 , 0.842886 , 0.013186 ,   0.012317 , 0.012320 ,            Not run ,      0.053059 ,        Not run
Basic_REDUCE3_INT         , 0.025106 ,   0.025087 , 0.023297 , 0.021437 ,    Not run , 0.014076 ,            Not run ,      0.016082 ,        Not run
Basic_TRAP_INT            , 0.824264 ,   0.824355 , 0.823781 , 0.758442 ,    Not run , 0.078048 ,            Not run ,      0.176732 ,        Not run
Lcals_DIFF_PREDICT        , 0.677314 ,   0.686382 , 0.401439 , 0.038771 ,    Not run , 0.032759 ,            Not run ,      0.141134 ,        Not run
Lcals_EOS                 , 0.606640 ,   0.611852 , 0.610784 , 0.071721 ,    Not run , 0.042358 ,            Not run ,      0.293466 ,        Not run
Lcals_FIRST_DIFF          , 0.381981 ,   0.382113 , 0.383948 , 0.232361 ,    Not run , 0.138703 ,            Not run ,      0.910856 ,        Not run
Lcals_FIRST_MIN           , 0.049194 ,   0.048046 , 0.048546 , 0.010320 ,    Not run , 0.012032 ,            Not run ,      0.016154 ,        Not run
Lcals_FIRST_SUM           , 0.422569 ,   0.423270 , 0.425529 , 0.232061 ,    Not run , 0.138878 ,            Not run ,      0.909809 ,        Not run
Lcals_GEN_LIN_RECUR       , 0.459326 ,   0.458421 , 0.459129 , 0.152846 ,    Not run , 0.097273 ,            Not run ,      0.572984 ,        Not run
Lcals_HYDRO_1D            , 0.491126 ,   0.490041 , 0.491577 , 0.184228 ,    Not run , 0.111000 ,            Not run ,      0.714590 ,        Not run
Lcals_HYDRO_2D            , 1.630353 ,   1.631302 , 1.627040 , 0.041465 ,    Not run , 0.042022 ,            Not run ,      0.080277 ,        Not run
Lcals_INT_PREDICT         , 1.022695 ,   1.018956 , 0.546069 , 0.068690 ,    Not run , 0.039886 ,            Not run ,      0.250286 ,        Not run
Lcals_PLANCKIAN           , 0.707069 ,   0.707364 , 0.699336 , 0.008329 ,    Not run , 0.005165 ,            Not run ,      0.028561 ,        Not run
Lcals_TRIDIAG_ELIM        , 0.415407 ,   0.414859 , 0.415003 , 0.079404 ,    Not run , 0.050620 ,            Not run ,      0.296015 ,        Not run
Stream_ADD                , 0.772213 ,   0.771924 , 0.772324 , 0.035377 ,   0.034012 , 0.032423 ,            Not run ,      0.080130 ,        Not run
Stream_COPY               , 0.606331 ,   0.606719 , 0.606235 , 0.047592 ,   0.044545 , 0.041984 ,            Not run ,      0.123370 ,        Not run
Stream_DOT                , 1.862440 ,   1.854364 , 1.848119 , 6.657421 ,    Not run , 0.127437 ,            Not run ,      0.246111 ,        Not run
Stream_MUL                , 0.595478 ,   0.598133 , 0.596601 , 0.045636 ,   0.045461 , 0.043052 ,            Not run ,      0.123305 ,        Not run
Stream_TRIAD              , 0.792569 ,   0.795081 , 1.075083 , 0.037169 ,   0.032287 , 0.033624 ,            Not run ,      0.071061 ,        Not run
