Speedup Report (T_ref/T_var): ref var = Base_Seq  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_HIP , Lambda_HIP , RAJA_HIP , RAJA_WORKGROUP_HIP , Kokkos_Lambda , Kokkos_Functor
Apps_DEL_DOT_VEC_2D       ,    1.000 ,      0.995 ,    0.998 ,   40.816 ,     47.338 ,   47.038 ,            Not run ,       Not run ,        Not run
Apps_ENERGY               ,    1.000 ,      0.897 ,    0.901 ,    6.980 ,    Not run ,    7.193 ,            Not run ,       Not run ,        Not run
Apps_FIR                  ,    1.000 ,      1.066 ,    1.072 ,   40.102 ,    Not run ,   37.294 ,            Not run ,       Not run ,        Not run
Apps_HALOEXCHANGE         ,    1.000 ,      1.075 ,    1.073 ,    0.355 ,    Not run ,    0.368 ,            Not run ,       Not run ,        Not run
Apps_LTIMES               ,    1.000 ,      1.000 ,    0.998 ,   53.935 ,     57.897 ,   50.528 ,            Not run ,       Not run ,        Not run
Apps_LTIMES_NOVIEW        ,    1.000 ,      0.999 ,    0.998 ,   54.364 ,     57.775 ,   50.295 ,            Not run ,       Not run ,        Not run
Apps_PRESSURE             ,    1.000 ,      1.002 ,    0.998 ,    5.523 ,    Not run ,    5.078 ,            Not run ,       Not run ,        Not run
Apps_VOL3D                ,    1.000 ,      0.999 ,    0.995 ,   98.627 ,    Not run ,  107.341 ,            Not run ,       Not run ,        Not run
Basic_ATOMIC_PI           ,    1.000 ,      1.002 ,    0.456 ,    0.001 ,      0.001 ,    0.001 ,            Not run ,         0.001 ,        Not run
Basic_DAXPY               ,    1.000 ,      0.997 ,    0.996 ,    1.869 ,      1.865 ,    2.849 ,            Not run ,         0.439 ,        Not run
Basic_IF_QUAD             ,    1.000 ,      1.003 ,    1.127 ,   57.185 ,     67.131 ,  106.874 ,            Not run ,        17.280 ,        Not run
Basic_INIT3               ,    1.000 ,      0.996 ,    1.826 ,    6.490 ,      7.184 ,   10.747 ,            Not run ,         1.773 ,        Not run
Basic_INIT_VIEW1D         ,    1.000 ,      0.750 ,    0.798 ,   15.186 ,     16.697 ,   25.283 ,            Not run ,         3.921 ,        Not run
Basic_INIT_VIEW1D_OFFSET  ,    1.000 ,      1.000 ,    1.063 ,   21.924 ,     22.367 ,   32.561 ,            Not run ,         5.297 ,        Not run
Basic_MULADDSUB           ,    1.000 ,      1.000 ,    2.033 ,    8.418 ,      9.464 ,   13.310 ,            Not run ,         2.415 ,        Not run
Basic_NESTED_INIT         ,    1.000 ,      1.005 ,    1.013 ,   64.773 ,     69.346 ,   69.326 ,            Not run ,        16.098 ,        Not run
Basic_REDUCE3_INT         ,    1.000 ,      1.001 ,    1.078 ,    1.171 ,    Not run ,    1.784 ,            Not run ,         1.561 ,        Not run
Basic_TRAP_INT            ,    1.000 ,      1.000 ,    1.001 ,    1.087 ,    Not run ,   10.561 ,            Not run ,         4.664 ,        Not run
Lcals_DIFF_PREDICT        ,    1.000 ,      0.987 ,    1.687 ,   17.470 ,    Not run ,   20.676 ,            Not run ,         4.799 ,        Not run
Lcals_EOS                 ,    1.000 ,      0.991 ,    0.993 ,    8.458 ,    Not run ,   14.322 ,            Not run ,         2.067 ,        Not run
Lcals_FIRST_DIFF          ,    1.000 ,      1.000 ,    0.995 ,    1.644 ,    Not run ,    2.754 ,            Not run ,         0.419 ,        Not run
Lcals_FIRST_MIN           ,    1.000 ,      1.024 ,    1.013 ,    4.767 ,    Not run ,    4.089 ,            Not run ,         3.045 ,        Not run
Lcals_FIRST_SUM           ,    1.000 ,      0.998 ,    0.993 ,    1.821 ,    Not run ,    3.043 ,            Not run ,         0.464 ,        Not run
Lcals_GEN_LIN_RECUR       ,    1.000 ,      1.002 ,    1.000 ,    3.005 ,    Not run ,    4.722 ,            Not run ,         0.802 ,        Not run
Lcals_HYDRO_1D            ,    1.000 ,      1.002 ,    0.999 ,    2.666 ,    Not run ,    4.425 ,            Not run ,         0.687 ,        Not run
Lcals_HYDRO_2D            ,    1.000 ,      0.999 ,    1.002 ,   39.319 ,    Not run ,   38.798 ,            Not run ,        20.309 ,        Not run
Lcals_INT_PREDICT         ,    1.000 ,      1.004 ,    1.873 ,   14.889 ,    Not run ,   25.641 ,            Not run ,         4.086 ,        Not run
Lcals_PLANCKIAN           ,    1.000 ,      1.000 ,    1.011 ,   84.893 ,    Not run ,  136.901 ,            Not run ,        24.757 ,        Not run
Lcals_TRIDIAG_ELIM        ,    1.000 ,      1.001 ,    1.001 ,    5.232 ,    Not run ,    8.206 ,            Not run ,         1.403 ,        Not run
Stream_ADD                ,    1.000 ,      1.000 ,    1.000 ,   21.828 ,     22.704 ,   23.817 ,            Not run ,         9.637 ,        Not run
Stream_COPY               ,    1.000 ,      0.999 ,    1.000 ,   12.740 ,     13.612 ,   14.442 ,            Not run ,         4.915 ,        Not run
Stream_DOT                ,    1.000 ,      1.004 ,    1.008 ,    0.280 ,    Not run ,   14.615 ,            Not run ,         7.567 ,        Not run
Stream_MUL                ,    1.000 ,      0.996 ,    0.998 ,   13.049 ,     13.099 ,   13.832 ,            Not run ,         4.829 ,        Not run
Stream_TRIAD              ,    1.000 ,      0.997 ,    0.737 ,   21.323 ,     24.548 ,   23.571 ,            Not run ,        11.153 ,        Not run
