FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,        
Apps_DEL_DOT_VEC_2D       , 0.029           ,         , 0.015           ,         , -0.19           ,         , 3.1             ,OVER_TOL
Apps_ENERGY               , 0.076           ,         , 0.084           ,         , 0               ,         , -0.0046         ,        
Apps_FIR                  , -0.044          ,         , -0.043          ,         , 0               ,         , -0.027          ,        
Apps_HALOEXCHANGE         , 0.19            ,OVER_TOL , -0.015          ,         , 0               ,         , -0.068          ,        
Apps_LTIMES               , 0.0006          ,         , 0.0019          ,         , -0.13           ,         , 0.0016          ,        
Apps_LTIMES_NOVIEW        , 0.003           ,         , 0.0032          ,         , -0.06           ,         , 0.083           ,        
Apps_PRESSURE             , 0.0021          ,         , 0.0013          ,         , 0               ,         , -0.0033         ,        
Apps_VOL3D                , -0.0012         ,         , 0.0052          ,         , 0               ,         , -0.15           ,        
Basic_DAXPY               , 0.0022          ,         , -0.00014        ,         , -0.0023         ,         , 0.04            ,        
Basic_IF_QUAD             , 0.0023          ,         , 0.0032          ,         , -0.054          ,         , -0.042          ,        
Basic_INIT3               , -0.0012         ,         , -1.1e-05        ,         , -0.051          ,         , -0.04           ,        
Basic_INIT_VIEW1D         , 0.0023          ,         , -0.043          ,         , -0.14           ,         , -0.056          ,        
Basic_INIT_VIEW1D_OFFSET  , -0.0084         ,         , -0.077          ,         , -0.033          ,         , 0.14            ,OVER_TOL
Basic_MULADDSUB           , 0.0039          ,         , 0.0041          ,         , -0.13           ,         , -0.086          ,        
Basic_NESTED_INIT         , -0.0016         ,         , 0.0041          ,         , -0.032          ,         , -0.0082         ,        
Basic_PI_ATOMIC           , 0.0017          ,         , 1.2             ,OVER_TOL , -0.039          ,         , 0.035           ,        
Basic_REDUCE3_INT         , -0.0015         ,         , -0.077          ,         , 0               ,         , -0.36           ,        
Basic_TRAP_INT            , 0.0069          ,         , 0.0062          ,         , 0               ,         , -0.96           ,        
Lcals_DIFF_PREDICT        , 0.0067          ,         , -0.012          ,         , 0               ,         , -0.054          ,        
Lcals_EOS                 , 0.0021          ,         , -0.0051         ,         , 0               ,         , -0.075          ,        
Lcals_FIRST_DIFF          , -0.0031         ,         , -0.00084        ,         , 0               ,         , -0.1            ,        
Lcals_FIRST_MIN           , -0.0024         ,         , 0.017           ,         , 0               ,         , 0.18            ,OVER_TOL
Lcals_FIRST_SUM           , -0.0027         ,         , -0.0013         ,         , 0               ,         , -0.044          ,        
Lcals_GEN_LIN_RECUR       , -0.0018         ,         , 0.0035          ,         , 0               ,         , -0.099          ,        
Lcals_HYDRO_1D            , -0.005          ,         , -0.0012         ,         , 0               ,         , -0.22           ,        
Lcals_HYDRO_2D            , -4.6e-07        ,         , -0.0021         ,         , 0               ,         , -0.0099         ,        
Lcals_INT_PREDICT         , 0.0048          ,         , 0.073           ,         , 0               ,         , -0.062          ,        
Lcals_PLANCKIAN           , -0.0011         ,         , -0.011          ,         , 0               ,         , -0.26           ,        
Lcals_TRIDIAG_ELIM        , 0.0055          ,         , 0.0023          ,         , 0               ,         , -0.073          ,        
Stream_ADD                , -0.0024         ,         , -1.5e-05        ,         , -0.057          ,         , -0.068          ,        
Stream_COPY               , 0.0012          ,         , -0.0018         ,         , -0.061          ,         , -0.081          ,        
Stream_DOT                , -0.0036         ,         , 0.00067         ,         , 0               ,         , -0.97           ,        
Stream_MUL                , 0.0066          ,         , 0.0022          ,         , -0.069          ,         , -0.066          ,        
Stream_TRIAD              , -0.028          ,         , -0.003          ,         , -0.077          ,         , -0.087          ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.044          ,         , -0.077          ,         , -0.19           ,         , -0.97           ,        
Col Max                   , 0.19            ,         , 1.2             ,         , -0.0023         ,         , 3.1             ,        
Col Avg                   , 0.0071          ,         , 0.033           ,         , -0.075          ,         , -0.014          ,        
Col Std Dev               , 0.0013          ,         , 0.042           ,         , 0.0024          ,         , 0.35            ,        
