FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,        
Apps_DEL_DOT_VEC_2D       , 0.018           ,         , 0.02            ,         , -0.19           ,         , 3.1             ,OVER_TOL
Apps_ENERGY               , 0.072           ,         , 0.076           ,         , 0               ,         , -0.029          ,        
Apps_FIR                  , -0.002          ,         , -0.0038         ,         , 0               ,         , -0.082          ,        
Apps_HALOEXCHANGE         , -0.29           ,         , -0.28           ,         , 0               ,         , -0.024          ,        
Apps_LTIMES               , -0.0012         ,         , 0.00012         ,         , -0.096          ,         , 0.033           ,        
Apps_LTIMES_NOVIEW        , 0.0033          ,         , 0.0019          ,         , -0.064          ,         , 0.078           ,        
Apps_PRESSURE             , -0.0038         ,         , -0.004          ,         , 0               ,         , -0.0083         ,        
Apps_VOL3D                , 0.0015          ,         , 0.013           ,         , 0               ,         , -0.17           ,        
Basic_DAXPY               , 0.0032          ,         , 0.0019          ,         , -0.061          ,         , -0.0061         ,        
Basic_IF_QUAD             , -0.00029        ,         , -0.0018         ,         , -0.084          ,         , -0.069          ,        
Basic_INIT3               , -0.0034         ,         , -0.0013         ,         , -0.054          ,         , -0.051          ,        
Basic_INIT_VIEW1D         , -0.0025         ,         , 0.25            ,OVER_TOL , -0.14           ,         , 0.0023          ,        
Basic_INIT_VIEW1D_OFFSET  , -0.0014         ,         , -0.057          ,         , -0.037          ,         , 0.14            ,OVER_TOL
Basic_MULADDSUB           , -0.0085         ,         , -0.011          ,         , -0.066          ,         , -0.032          ,        
Basic_NESTED_INIT         , 0.0026          ,         , 0.0084          ,         , -0.027          ,         , -0.017          ,        
Basic_PI_ATOMIC           , 0.0087          ,         , 1.2             ,OVER_TOL , 0.01            ,         , -0.0021         ,        
Basic_REDUCE3_INT         , 0.0011          ,         , -0.066          ,         , 0               ,         , -0.59           ,        
Basic_TRAP_INT            , -0.00025        ,         , 0.0072          ,         , 0               ,         , -0.95           ,        
Lcals_DIFF_PREDICT        , -0.0024         ,         , -0.0036         ,         , 0               ,         , -0.049          ,        
Lcals_EOS                 , 0.0041          ,         , 0.003           ,         , 0               ,         , -0.041          ,        
Lcals_FIRST_DIFF          , 0.017           ,         , 0.0078          ,         , 0               ,         , -0.025          ,        
Lcals_FIRST_MIN           , -0.018          ,         , -0.014          ,         , 0               ,         , 0.21            ,OVER_TOL
Lcals_FIRST_SUM           , -0.0012         ,         , -0.0012         ,         , 0               ,         , -0.019          ,        
Lcals_GEN_LIN_RECUR       , 0.017           ,         , 0.006           ,         , 0               ,         , -0.046          ,        
Lcals_HYDRO_1D            , -4.7e-05        ,         , -0.00046        ,         , 0               ,         , -0.021          ,        
Lcals_HYDRO_2D            , 0.0021          ,         , 0.0031          ,         , 0               ,         , -0.011          ,        
Lcals_INT_PREDICT         , 0.00026         ,         , 0.072           ,         , 0               ,         , -0.074          ,        
Lcals_PLANCKIAN           , -0.00047        ,         , -0.01           ,         , 0               ,         , -0.31           ,        
Lcals_TRIDIAG_ELIM        , 0.0015          ,         , 0.00045         ,         , 0               ,         , -0.02           ,        
Stream_ADD                , 0.0018          ,         , 0.00085         ,         , -0.012          ,         , 0.022           ,        
Stream_COPY               , 0.0014          ,         , -0.00097        ,         , -0.041          ,         , -0.005          ,        
Stream_DOT                , -0.0025         ,         , -0.0016         ,         , 0               ,         , -0.96           ,        
Stream_MUL                , 0.0025          ,         , 0.0014          ,         , -0.072          ,         , 0.0045          ,        
Stream_TRIAD              , 0.0078          ,         , -0.0024         ,         , -0.1            ,         , -0.023          ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.29           ,         , -0.28           ,         , -0.19           ,         , -0.96           ,        
Col Max                   , 0.072           ,         , 1.2             ,         , 0.01            ,         , 3.1             ,        
Col Avg                   , -0.005          ,         , 0.036           ,         , -0.069          ,         , -0.00052        ,        
Col Std Dev               , 0.0026          ,         , 0.047           ,         , 0.0024          ,         , 0.36            ,        
