FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,        
Apps_DEL_DOT_VEC_2D       , 0.018           ,         , 0.018           ,         , -0.18           ,         , 3.2             ,OVER_TOL
Apps_ENERGY               , 0.068           ,         , 0.071           ,         , 0               ,         , -0.043          ,        
Apps_FIR                  , -0.018          ,         , -0.012          ,         , 0               ,         , -0.021          ,        
Apps_HALOEXCHANGE         , -0.15           ,         , -0.19           ,         , 0               ,         , -0.071          ,        
Apps_LTIMES               , 0.0015          ,         , 0.0061          ,         , -0.095          ,         , 0.036           ,        
Apps_LTIMES_NOVIEW        , 0.0055          ,         , 0.007           ,         , -0.064          ,         , 0.077           ,        
Apps_PRESSURE             , 0.0019          ,         , -0.0023         ,         , 0               ,         , -0.029          ,        
Apps_VOL3D                , 0.0014          ,         , 0.014           ,         , 0               ,         , -0.14           ,        
Basic_DAXPY               , 0.0017          ,         , -0.00012        ,         , -0.016          ,         , -0.026          ,        
Basic_IF_QUAD             , 0.0041          ,         , -0.012          ,         , -0.092          ,         , -0.084          ,        
Basic_INIT3               , -0.0082         ,         , 0.017           ,         , -0.06           ,         , -0.002          ,        
Basic_INIT_VIEW1D         , -9.2e-05        ,         , 0.25            ,OVER_TOL , -0.15           ,         , 0.017           ,        
Basic_INIT_VIEW1D_OFFSET  , -0.00018        ,         , -0.06           ,         , -0.09           ,         , 0.089           ,        
Basic_MULADDSUB           , 0.00059         ,         , 0.014           ,         , -0.073          ,         , -0.063          ,        
Basic_NESTED_INIT         , -0.00014        ,         , 0.005           ,         , -0.033          ,         , -0.0048         ,        
Basic_PI_ATOMIC           , -0.00027        ,         , 1.2             ,OVER_TOL , -0.013          ,         , 0.027           ,        
Basic_REDUCE3_INT         , 0.00079         ,         , -0.066          ,         , 0               ,         , -0.62           ,        
Basic_TRAP_INT            , -0.00068        ,         , -0.0011         ,         , 0               ,         , -0.96           ,        
Lcals_DIFF_PREDICT        , 0.00071         ,         , -0.0058         ,         , 0               ,         , -0.038          ,        
Lcals_EOS                 , 0.0017          ,         , -0.0035         ,         , 0               ,         , 0.023           ,        
Lcals_FIRST_DIFF          , 0.00019         ,         , 0.0018          ,         , 0               ,         , -0.01           ,        
Lcals_FIRST_MIN           , -0.026          ,         , -0.012          ,         , 0               ,         , 0.64            ,OVER_TOL
Lcals_FIRST_SUM           , -0.0014         ,         , 0.00019         ,         , 0               ,         , 0.0002          ,        
Lcals_GEN_LIN_RECUR       , -0.0062         ,         , -0.0048         ,         , 0               ,         , -0.041          ,        
Lcals_HYDRO_1D            , -0.00013        ,         , 0.006           ,         , 0               ,         , -0.044          ,        
Lcals_HYDRO_2D            , 0.11            ,OVER_TOL , 0.016           ,         , 0               ,         , -0.006          ,        
Lcals_INT_PREDICT         , 0.0092          ,         , 0.044           ,         , 0               ,         , -0.066          ,        
Lcals_PLANCKIAN           , -0.0011         ,         , -0.011          ,         , 0               ,         , -0.23           ,        
Lcals_TRIDIAG_ELIM        , -0.032          ,         , -0.028          ,         , 0               ,         , 0.0012          ,        
Stream_ADD                , 0.00063         ,         , -0.002          ,         , -0.057          ,         , 0.041           ,        
Stream_COPY               , -0.038          ,         , -0.028          ,         , -0.13           ,         , -0.022          ,        
Stream_DOT                , -0.0088         ,         , -0.024          ,         , 0               ,         , -0.96           ,        
Stream_MUL                , 0.0078          ,         , -0.00025        ,         , -0.056          ,         , 0.11            ,OVER_TOL
Stream_TRIAD              , -0.026          ,         , -0.0029         ,         , -0.082          ,         , 0.029           ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.15           ,         , -0.19           ,         , -0.18           ,         , -0.96           ,        
Col Max                   , 0.11            ,         , 1.2             ,         , -0.013          ,         , 3.2             ,        
Col Avg                   , -0.0025         ,         , 0.035           ,         , -0.079          ,         , 0.024           ,        
Col Std Dev               , 0.0013          ,         , 0.044           ,         , 0.002           ,         , 0.38            ,        
