FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,         , RAJA_WORKGROUP_HIP,        
Basic_ATOMIC_PI           , -0.64           ,         , 0               ,         , 0.47            ,OVER_TOL , -0.54           ,         , 0               ,        
Basic_DAXPY               , -0.73           ,         , -0.13           ,         , -0.2            ,         , -0.18           ,         , 0               ,        
Basic_IF_QUAD             , -0.33           ,         , 1.2             ,OVER_TOL , -0.23           ,         , -0.23           ,         , 0               ,        
Basic_INIT3               , 0               ,         , 2.2             ,OVER_TOL , -0.2            ,         , -0.26           ,         , 0               ,        
Basic_INIT_VIEW1D         , 0               ,         , 1.8             ,OVER_TOL , -0.16           ,         , -0.2            ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , 0               ,         , 2.3             ,OVER_TOL , -0.079          ,         , -0.079          ,         , 0               ,        
Basic_MULADDSUB           , -0.17           ,         , 1.3             ,OVER_TOL , -0.23           ,         , -0.26           ,         , 0               ,        
Basic_NESTED_INIT         , -0.38           ,         , 0.87            ,OVER_TOL , -0.27           ,         , -0.29           ,         , 0               ,        
Basic_REDUCE3_INT         , -0.97           ,         , -0.91           ,         , 0               ,         , -0.45           ,         , 0               ,        
Basic_TRAP_INT            , -0.5            ,         , 0               ,         , 0               ,         , -0.57           ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.97           ,         , -0.91           ,         , -0.27           ,         , -0.57           ,         , 1.8e+308        ,        
Col Max                   , 0               ,         , 2.3             ,         , 0.47            ,         , -0.079          ,         , -1.8e+308       ,        
Col Avg                   , -0.37           ,         , 0.87            ,         , -0.11           ,         , -0.31           ,         , 0               ,        
Col Std Dev               , 0.1             ,         , 1.1             ,         , 0.051           ,         , 0.023           ,         , 0               ,        
