FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,         , RAJA_WORKGROUP_HIP,        
Basic_ATOMIC_PI           , -0.77           ,         , -0.18           ,         , -0.075          ,         , -0.087          ,         , 0               ,        
Basic_DAXPY               , -0.78           ,         , 0.22            ,OVER_TOL , -0.45           ,         , -0.42           ,         , 0               ,        
Basic_IF_QUAD             , -0.2            ,         , 2.8             ,OVER_TOL , -0.28           ,         , -0.28           ,         , 0               ,        
Basic_INIT3               , -0.25           ,         , 4.2             ,OVER_TOL , -0.31           ,         , -0.29           ,         , 0               ,        
Basic_INIT_VIEW1D         , -0.2            ,         , 3               ,OVER_TOL , -0.33           ,         , -0.33           ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , 0               ,         , 4.2             ,OVER_TOL , -0.3            ,         , -0.3            ,         , 0               ,        
Basic_MULADDSUB           , -0.4            ,         , 8.2             ,OVER_TOL , -0.33           ,         , -0.3            ,         , 0               ,        
Basic_NESTED_INIT         , -0.43           ,         , 2               ,OVER_TOL , -0.33           ,         , -0.25           ,         , 0               ,        
Basic_REDUCE3_INT         , -0.18           ,         , -0.091          ,         , 0               ,         , -0.29           ,         , 0               ,        
Basic_TRAP_INT            , -0.81           ,         , 0.048           ,         , 0               ,         , -0.58           ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.81           ,         , -0.18           ,         , -0.45           ,         , -0.58           ,         , 1.8e+308        ,        
Col Max                   , 0               ,         , 8.2             ,         , -0.075          ,         , -0.087          ,         , -1.8e+308       ,        
Col Avg                   , -0.4            ,         , 2.4             ,         , -0.3            ,         , -0.31           ,         , 0               ,        
Col Std Dev               , 0.076           ,         , 6.4             ,         , 0.0097          ,         , 0.014           ,         , 0               ,        
