FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,         , RAJA_WORKGROUP_HIP,        
Basic_ATOMIC_PI           , -0.73           ,         , -0.13           ,         , -0.19           ,         , -0.063          ,         , 0               ,        
Basic_DAXPY               , -0.67           ,         , 0.17            ,OVER_TOL , -0.26           ,         , -0.28           ,         , 0               ,        
Basic_IF_QUAD             , -0.2            ,         , 1.4             ,OVER_TOL , -0.21           ,         , 0.043           ,         , 0               ,        
Basic_INIT3               , -0.17           ,         , 1.3             ,OVER_TOL , -0.2            ,         , -0.2            ,         , 0               ,        
Basic_INIT_VIEW1D         , -0.33           ,         , 1.3             ,OVER_TOL , -0.18           ,         , -0.2            ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , 0               ,         , 1.6             ,OVER_TOL , -0.25           ,         , -0.25           ,         , 0               ,        
Basic_MULADDSUB           , 0               ,         , 2               ,OVER_TOL , -0.28           ,         , 0.064           ,         , 0               ,        
Basic_NESTED_INIT         , -0.2            ,         , 1.8             ,OVER_TOL , -0.23           ,         , -0.23           ,         , 0               ,        
Basic_REDUCE3_INT         , -0.98           ,         , -0.92           ,         , 0               ,         , -0.25           ,         , 0               ,        
Basic_TRAP_INT            , -0.64           ,         , 0               ,         , 0               ,         , -0.49           ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.98           ,         , -0.92           ,         , -0.28           ,         , -0.49           ,         , 1.8e+308        ,        
Col Max                   , 0               ,         , 2               ,         , -0.18           ,         , 0.064           ,         , -1.8e+308       ,        
Col Avg                   , -0.39           ,         , 0.86            ,         , -0.23           ,         , -0.19           ,         , 0               ,        
Col Std Dev               , 0.1             ,         , 0.88            ,         , 0.001           ,         , 0.024           ,         , 0               ,        
