FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,        
Apps_DEL_DOT_VEC_2D       , 0.017           ,         , -0.0033         ,         , -0.19           ,         , 3.2             ,OVER_TOL
Apps_ENERGY               , 0.079           ,         , 0.087           ,         , 0               ,         , -0.022          ,        
Apps_FIR                  , -0.034          ,         , -0.028          ,         , 0               ,         , -0.023          ,        
Apps_HALOEXCHANGE         , -0.048          ,         , -0.036          ,         , 0               ,         , -0.013          ,        
Apps_LTIMES               , 0.00059         ,         , 0.0023          ,         , -0.068          ,         , 0.068           ,        
Apps_LTIMES_NOVIEW        , 0.0017          ,         , 0.00011         ,         , -0.16           ,         , -0.032          ,        
Apps_PRESSURE             , -0.0014         ,         , 0.012           ,         , 0               ,         , 0.006           ,        
Apps_VOL3D                , 0.00076         ,         , -0.0021         ,         , 0               ,         , -0.16           ,        
Basic_DAXPY               , -0.00053        ,         , -0.00021        ,         , -0.024          ,         , 0.034           ,        
Basic_IF_QUAD             , -0.0017         ,         , 0.0027          ,         , -0.051          ,         , -0.047          ,        
Basic_INIT3               , -0.0045         ,         , -0.011          ,         , -0.044          ,         , -0.012          ,        
Basic_INIT_VIEW1D         , -0.0009         ,         , -0.061          ,         , -0.17           ,         , -0.053          ,        
Basic_INIT_VIEW1D_OFFSET  , -0.0043         ,         , -0.066          ,         , -0.034          ,         , 0.11            ,OVER_TOL
Basic_MULADDSUB           , 0.0091          ,         , 0.0042          ,         , -0.065          ,         , -0.05           ,        
Basic_NESTED_INIT         , 0.0022          ,         , 0.0068          ,         , -0.021          ,         , -0.015          ,        
Basic_PI_ATOMIC           , -0.0012         ,         , 1.2             ,OVER_TOL , -0.062          ,         , -0.015          ,        
Basic_REDUCE3_INT         , 0.00037         ,         , -0.075          ,         , 0               ,         , -0.66           ,        
Basic_TRAP_INT            , -0.00054        ,         , -0.00056        ,         , 0               ,         , -0.96           ,        
Lcals_DIFF_PREDICT        , 0.0019          ,         , 0.00042         ,         , 0               ,         , -0.054          ,        
Lcals_EOS                 , -0.0027         ,         , -0.0012         ,         , 0               ,         , -0.061          ,        
Lcals_FIRST_DIFF          , -0.0042         ,         , -0.00079        ,         , 0               ,         , -0.055          ,        
Lcals_FIRST_MIN           , 0.019           ,         , -0.0019         ,         , 0               ,         , 0.2             ,OVER_TOL
Lcals_FIRST_SUM           , -0.0025         ,         , -1.2e-05        ,         , 0               ,         , -0.032          ,        
Lcals_GEN_LIN_RECUR       , 0.013           ,         , 0.011           ,         , 0               ,         , -0.065          ,        
Lcals_HYDRO_1D            , -0.004          ,         , 0.00046         ,         , 0               ,         , -0.04           ,        
Lcals_HYDRO_2D            , 0.0025          ,         , 0.0027          ,         , 0               ,         , -0.01           ,        
Lcals_INT_PREDICT         , -0.00016        ,         , 0.073           ,         , 0               ,         , -0.061          ,        
Lcals_PLANCKIAN           , 4.4e-05         ,         , -0.0097         ,         , 0               ,         , -0.32           ,        
Lcals_TRIDIAG_ELIM        , -0.00096        ,         , -0.00074        ,         , 0               ,         , -0.034          ,        
Stream_ADD                , 3.6e-07         ,         , -0.0012         ,         , -0.034          ,         , 0.0087          ,        
Stream_COPY               , -0.0013         ,         , -0.0011         ,         , -0.063          ,         , -0.031          ,        
Stream_DOT                , -0.0016         ,         , -0.00011        ,         , 0               ,         , -0.96           ,        
Stream_MUL                , -7.2e-05        ,         , -0.00031        ,         , -0.088          ,         , -0.049          ,        
Stream_TRIAD              , 0.0041          ,         , 0.0045          ,         , -0.086          ,         , -0.026          ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.048          ,         , -0.075          ,         , -0.19           ,         , -0.96           ,        
Col Max                   , 0.079           ,         , 1.2             ,         , -0.021          ,         , 3.2             ,        
Col Avg                   , 0.0011          ,         , 0.033           ,         , -0.077          ,         , -0.0077         ,        
Col Std Dev               , 0.00031         ,         , 0.043           ,         , 0.0026          ,         , 0.37            ,        
