Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_HIP , Lambda_HIP , RAJA_HIP , Kokkos_Lambda , Kokkos_Functor
Algorithm_SORT            , 1.762315 ,    Not run , 1.852383 ,  Not run ,    Not run , 0.022004 ,      0.078813 ,        Not run
Algorithm_SORTPAIRS       , 1.939590 ,    Not run , 2.308373 ,  Not run ,    Not run , 0.027803 ,      0.000000 ,        Not run
Apps_DEL_DOT_VEC_2D       , 0.827470 ,   0.821341 , 0.809277 , 0.007518 ,   0.006239 , 0.032035 ,      0.077668 ,        Not run
Apps_ENERGY               , 1.129384 ,   1.206801 , 1.202484 , 0.043766 ,    Not run , 0.043225 ,      0.091774 ,        Not run
Apps_FIR                  , 0.959580 ,   0.958636 , 0.939038 , 0.008939 ,    Not run , 0.008822 ,      0.024850 ,        Not run
Apps_HALOEXCHANGE         , 0.014126 ,   0.014072 , 0.014101 , 0.042190 ,    Not run , 0.041487 ,      0.684858 ,        Not run
Apps_LTIMES               , 0.871723 ,   0.871541 , 0.874751 , 0.016436 ,   0.015348 , 0.017583 ,      0.053415 ,        Not run
Apps_LTIMES_NOVIEW        , 0.873993 ,   0.874172 , 0.875446 , 0.016392 ,   0.015375 , 0.017639 ,       Not run ,        Not run
Apps_PRESSURE             , 1.386021 ,   1.386674 , 1.386868 , 0.054258 ,    Not run , 0.055287 ,      0.150822 ,        Not run
Apps_VOL3D                , 1.194162 ,   1.195210 , 1.174171 , 0.009357 ,    Not run , 0.007843 ,      0.019341 ,        Not run
Basic_DAXPY               , 0.225842 ,   0.227279 , 0.226847 , 0.017418 ,   0.018171 , 0.018526 ,      0.053514 ,        Not run
Basic_IF_QUAD             , 1.705524 ,   1.708145 , 1.712300 , 0.013571 ,   0.012403 , 0.012670 ,      0.026116 ,        Not run
Basic_INIT3               , 0.830358 ,   0.831190 , 0.793261 , 0.031684 ,   0.029390 , 0.031140 ,      0.064357 ,        Not run
Basic_INIT_VIEW1D         , 1.124385 ,   1.123963 , 1.412809 , 0.039171 ,   0.033818 , 0.039234 ,      0.233177 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 1.499548 ,   1.498951 , 2.253628 , 0.034744 ,   0.033595 , 0.039574 ,      0.237147 ,        Not run
Basic_MULADDSUB           , 0.575229 ,   0.573133 , 0.545695 , 0.025173 ,   0.022659 , 0.023773 ,      0.047937 ,        Not run
Basic_NESTED_INIT         , 0.609094 ,   0.608021 , 0.607750 , 0.016719 ,   0.015925 , 0.015908 ,      0.109768 ,        Not run
Basic_PI_ATOMIC           , 0.074945 ,   0.074806 , 0.164578 , 953.637501 , 898.890711 , 923.773367 ,   1074.719776 ,        Not run
Basic_REDUCE3_INT         , 0.012574 ,   0.012536 , 0.011615 , 0.022914 ,    Not run , 0.009613 ,      0.013316 ,        Not run
Basic_TRAP_INT            , 0.205908 ,   0.205880 , 0.206017 , 0.094329 ,    Not run , 0.004126 ,      0.010687 ,        Not run
Lcals_DIFF_PREDICT        , 0.774116 ,   0.773439 , 0.756991 , 0.040136 ,    Not run , 0.038529 ,      0.070071 ,        Not run
Lcals_EOS                 , 0.703543 ,   0.667463 , 0.663935 , 0.025464 ,    Not run , 0.023829 ,      0.062875 ,        Not run
Lcals_FIRST_DIFF          , 0.729108 ,   0.727901 , 0.727451 , 0.051343 ,    Not run , 0.052501 ,      0.197128 ,        Not run
Lcals_FIRST_MIN           , 0.048405 ,   0.048867 , 0.048139 , 0.010295 ,    Not run , 0.007497 ,      0.021664 ,        Not run
Lcals_FIRST_SUM           , 0.765605 ,   0.764665 , 0.762352 , 0.051410 ,    Not run , 0.052057 ,      0.198125 ,        Not run
Lcals_GEN_LIN_RECUR       , 0.847639 ,   0.856103 , 0.836186 , 0.063368 ,    Not run , 0.057412 ,      0.137880 ,        Not run
Lcals_HYDRO_1D            , 0.802480 ,   0.799238 , 0.797667 , 0.040675 ,    Not run , 0.039406 ,      0.110595 ,        Not run
Lcals_HYDRO_2D            , 0.816958 ,   0.818679 , 0.814419 , 0.022388 ,    Not run , 0.021541 ,      0.050032 ,        Not run
Lcals_INT_PREDICT         , 1.229991 ,   1.250248 , 1.241197 , 0.049298 ,    Not run , 0.046856 ,      0.104293 ,        Not run
Lcals_PLANCKIAN           , 0.754113 ,   0.753612 , 0.746308 , 0.004555 ,    Not run , 0.003142 ,      0.008892 ,        Not run
Lcals_TRIDIAG_ELIM        , 1.144112 ,   1.142359 , 1.144844 , 0.051289 ,    Not run , 0.051765 ,      0.118649 ,        Not run
Stream_ADD                , 0.775536 ,   0.760529 , 0.772648 , 0.034351 ,   0.035437 , 0.034988 ,      0.112172 ,        Not run
Stream_COPY               , 0.604342 ,   0.609400 , 0.604410 , 0.047206 ,   0.046701 , 0.046766 ,      0.176915 ,        Not run
Stream_DOT                , 1.843315 ,   1.843089 , 1.846641 , 3.728784 ,    Not run , 0.135742 ,      0.373931 ,        Not run
Stream_MUL                , 0.613116 ,   0.609622 , 0.614479 , 0.047171 ,   0.046113 , 0.046051 ,      0.180063 ,        Not run
Stream_TRIAD              , 0.797256 ,   0.804413 , 0.797522 , 0.037959 ,   0.033579 , 0.036780 ,      0.115941 ,        Not run
