FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,         , RAJA_WORKGROUP_HIP,        
Basic_ATOMIC_PI           , -0.69           ,         , -0.063          ,         , -0.074          ,         , -0.086          ,         , 0               ,        
Basic_DAXPY               , -0.71           ,         , 0               ,         , -0.23           ,         , -0.23           ,         , 0               ,        
Basic_IF_QUAD             , -0.43           ,         , 1.3             ,OVER_TOL , -0.2            ,         , -0.26           ,         , 0               ,        
Basic_INIT3               , -0.43           ,         , 1.1             ,OVER_TOL , -0.18           ,         , -0.23           ,         , 0               ,        
Basic_INIT_VIEW1D         , -0.43           ,         , 1               ,OVER_TOL , -0.22           ,         , -0.18           ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.5            ,         , 1               ,OVER_TOL , -0.22           ,         , -0.2            ,         , 0               ,        
Basic_MULADDSUB           , -0.43           ,         , 1.3             ,OVER_TOL , -0.28           ,         , -0.23           ,         , 0               ,        
Basic_NESTED_INIT         , -0.42           ,         , 0.33            ,OVER_TOL , -0.22           ,         , -0.22           ,         , 0               ,        
Basic_REDUCE3_INT         , -0.76           ,         , -0.18           ,         , 0               ,         , -0.41           ,         , 0               ,        
Basic_TRAP_INT            , -0.71           ,         , 0.21            ,OVER_TOL , 0               ,         , -0.57           ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.76           ,         , -0.18           ,         , -0.28           ,         , -0.57           ,         , 1.8e+308        ,        
Col Max                   , -0.42           ,         , 1.3             ,         , -0.074          ,         , -0.086          ,         , -1.8e+308       ,        
Col Avg                   , -0.55           ,         , 0.6             ,         , -0.2            ,         , -0.26           ,         , 0               ,        
Col Std Dev               , 0.02            ,         , 0.32            ,         , 0.0031          ,         , 0.016           ,         , 0               ,        
