FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,        
Algorithm_SORT            , 0               ,         , 0.049           ,         , 0               ,         , inf             ,OVER_TOL
Algorithm_SORTPAIRS       , 0               ,         , 0.19            ,OVER_TOL , 0               ,         , inf             ,OVER_TOL
Apps_DEL_DOT_VEC_2D       , 0.0017          ,         , -0.018          ,         , -0.18           ,         , 3.2             ,OVER_TOL
Apps_ENERGY               , 0.079           ,         , 0.048           ,         , 0               ,         , -0.038          ,        
Apps_FIR                  , -0.0068         ,         , -0.025          ,         , 0               ,         , 0.085           ,        
Apps_HALOEXCHANGE         , 0.0061          ,         , 0.002           ,         , 0               ,         , -0.37           ,        
Apps_LTIMES               , 0.00036         ,         , 0.0058          ,         , -0.075          ,         , 0.066           ,        
Apps_LTIMES_NOVIEW        , 0.00018         ,         , -0.00081        ,         , -0.063          ,         , 0.076           ,        
Apps_PRESSURE             , -0.21           ,         , -0.22           ,         , 0               ,         , 0.038           ,        
Apps_VOL3D                , 0.0035          ,         , -0.014          ,         , 0               ,         , -0.15           ,        
Basic_DAXPY               , -0.0016         ,         , -0.00093        ,         , 0.012           ,         , 0.054           ,        
Basic_IF_QUAD             , -0.022          ,         , -0.0058         ,         , -0.092          ,         , -0.093          ,        
Basic_INIT3               , -0.0058         ,         , -0.12           ,         , -0.032          ,         , -0.012          ,        
Basic_INIT_VIEW1D         , 0.34            ,OVER_TOL , 0.26            ,OVER_TOL , -0.16           ,         , -0.041          ,        
Basic_INIT_VIEW1D_OFFSET  , -0.00048        ,         , 0.5             ,OVER_TOL , -0.079          ,         , 0.071           ,        
Basic_MULADDSUB           , -0.24           ,         , -0.27           ,         , -0.059          ,         , -0.03           ,        
Basic_NESTED_INIT         , 0.092           ,         , -0.0024         ,         , -0.024          ,         , -0.042          ,        
Basic_PI_ATOMIC           , 0.0025          ,         , 1.2             ,OVER_TOL , -0.019          ,         , -0.0053         ,        
Basic_REDUCE3_INT         , -0.00053        ,         , -0.063          ,         , 0               ,         , -0.0028         ,        
Basic_TRAP_INT            , -0.00037        ,         , 0.00072         ,         , 0               ,         , -0.96           ,        
Lcals_DIFF_PREDICT        , 0.00048         ,         , -0.018          ,         , 0               ,         , -0.025          ,        
Lcals_EOS                 , -0.00036        ,         , -0.0027         ,         , 0               ,         , -0.012          ,        
Lcals_FIRST_DIFF          , 0.0047          ,         , 0.0023          ,         , 0               ,         , 0.09            ,        
Lcals_FIRST_MIN           , -0.029          ,         , -0.029          ,         , 0               ,         , -0.1            ,        
Lcals_FIRST_SUM           , 0.0057          ,         , 0.0043          ,         , 0               ,         , 0.074           ,        
Lcals_GEN_LIN_RECUR       , 0.0033          ,         , 0.0051          ,         , 0               ,         , -0.073          ,        
Lcals_HYDRO_1D            , 0.006           ,         , 0.0049          ,         , 0               ,         , 0.017           ,        
Lcals_HYDRO_2D            , -0.0015         ,         , -0.00071        ,         , 0               ,         , -0.0065         ,        
Lcals_INT_PREDICT         , 0.0012          ,         , 0.016           ,         , 0               ,         , -0.015          ,        
Lcals_PLANCKIAN           , -0.0018         ,         , -0.012          ,         , 0               ,         , -0.22           ,        
Lcals_TRIDIAG_ELIM        , 0.0082          ,         , 0.009           ,         , 0               ,         , 0.074           ,        
Stream_ADD                , 0.0055          ,         , 0.007           ,         , 0.055           ,         , 0.048           ,        
Stream_COPY               , 0.0019          ,         , 0.0042          ,         , 0.048           ,         , 0.055           ,        
Stream_DOT                , 0.00024         ,         , 0.0019          ,         , 0               ,         , -0.97           ,        
Stream_MUL                , -0.00065        ,         , -0.00063        ,         , -0.0012         ,         , 0.011           ,        
Stream_TRIAD              , 0.0016          ,         , 0.0017          ,         , -0.1            ,         , -0.064          ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.24           ,         , -0.27           ,         , -0.18           ,         , -0.97           ,        
Col Max                   , 0.34            ,         , 1.2             ,         , 0.055           ,         , inf             ,        
Col Avg                   , 0.0011          ,         , 0.042           ,         , -0.051          ,         , inf             ,        
Col Std Dev               , 0.0069          ,         , 0.053           ,         , 0.0042          ,         , -nan            ,        
