FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,        
Apps_DEL_DOT_VEC_2D       , 0.018           ,         , 0.012           ,         , -0.16           ,         , 3.3             ,OVER_TOL
Apps_ENERGY               , 0.072           ,         , 0.081           ,         , 0               ,         , -0.036          ,        
Apps_FIR                  , -0.036          ,         , -0.035          ,         , 0               ,         , 0.02            ,        
Apps_HALOEXCHANGE         , -0.0062         ,         , -0.012          ,         , 0               ,         , 0.31            ,OVER_TOL
Apps_LTIMES               , -0.0024         ,         , 0.00011         ,         , -0.06           ,         , 0.074           ,        
Apps_LTIMES_NOVIEW        , 0.0039          ,         , 0.0019          ,         , -0.062          ,         , 0.083           ,        
Apps_PRESSURE             , 0.00025         ,         , 0.0034          ,         , 0               ,         , -0.025          ,        
Apps_VOL3D                , -0.0031         ,         , 0.0076          ,         , 0               ,         , -0.15           ,        
Basic_DAXPY               , -0.00026        ,         , 0.0003          ,         , -0.0088         ,         , 0.066           ,        
Basic_IF_QUAD             , -0.0017         ,         , 0.0057          ,         , -0.11           ,         , -0.15           ,        
Basic_INIT3               , 0.0054          ,         , -0.0046         ,         , -0.059          ,         , -0.038          ,        
Basic_INIT_VIEW1D         , -0.0059         ,         , -0.075          ,         , -0.18           ,         , -0.041          ,        
Basic_INIT_VIEW1D_OFFSET  , 0.00086         ,         , -0.06           ,         , -0.065          ,         , 0.36            ,OVER_TOL
Basic_MULADDSUB           , -0.0039         ,         , 0.001           ,         , -0.092          ,         , -0.037          ,        
Basic_NESTED_INIT         , -0.00066        ,         , 0.006           ,         , -0.028          ,         , -0.022          ,        
Basic_PI_ATOMIC           , -6.8e-05        ,         , 1.2             ,OVER_TOL , 0.006           ,         , 0.11            ,OVER_TOL
Basic_REDUCE3_INT         , 0.0004          ,         , -0.053          ,         , 0               ,         , -0.27           ,        
Basic_TRAP_INT            , -0.00074        ,         , 0.0095          ,         , 0               ,         , -0.96           ,        
Lcals_DIFF_PREDICT        , -0.0015         ,         , 0.0043          ,         , 0               ,         , -0.051          ,        
Lcals_EOS                 , 0.0013          ,         , 0.00086         ,         , 0               ,         , -0.028          ,        
Lcals_FIRST_DIFF          , 0.0003          ,         , 0.0001          ,         , 0               ,         , -0.098          ,        
Lcals_FIRST_MIN           , 0.022           ,         , -0.0014         ,         , 0               ,         , 0.61            ,OVER_TOL
Lcals_FIRST_SUM           , -0.00026        ,         , 0.0034          ,         , 0               ,         , -0.023          ,        
Lcals_GEN_LIN_RECUR       , 0.0028          ,         , 0.0034          ,         , 0               ,         , -0.079          ,        
Lcals_HYDRO_1D            , 0.0018          ,         , 0.0015          ,         , 0               ,         , -0.085          ,        
Lcals_HYDRO_2D            , -0.0038         ,         , -0.0011         ,         , 0               ,         , 0.0045          ,        
Lcals_INT_PREDICT         , 0.0056          ,         , 0.085           ,         , 0               ,         , -0.034          ,        
Lcals_PLANCKIAN           , -0.00076        ,         , -0.011          ,         , 0               ,         , -0.2            ,        
Lcals_TRIDIAG_ELIM        , -0.026          ,         , 2e-05           ,         , 0               ,         , -0.013          ,        
Stream_ADD                , 0.0026          ,         , 0.00073         ,         , -0.068          ,         , -0.0029         ,        
Stream_COPY               , 0.084           ,         , 0.0023          ,         , -0.12           ,         , -0.04           ,        
Stream_DOT                , -0.0011         ,         , -0.00032        ,         , 0               ,         , -0.97           ,        
Stream_MUL                , 0.054           ,         , -0.0067         ,         , -0.1            ,         , -0.0023         ,        
Stream_TRIAD              , -0.0017         ,         , -0.0017         ,         , -0.066          ,         , -0.041          ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.036          ,         , -0.075          ,         , -0.18           ,         , -0.97           ,        
Col Max                   , 0.084           ,         , 1.2             ,         , 0.006           ,         , 3.3             ,        
Col Avg                   , 0.0053          ,         , 0.034           ,         , -0.078          ,         , 0.045           ,        
Col Std Dev               , 0.00051         ,         , 0.042           ,         , 0.0025          ,         , 0.39            ,        
