FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,         , RAJA_WORKGROUP_HIP,        
Basic_ATOMIC_PI           , -0.73           ,         , -0.2            ,         , 0.026           ,         , 0.013           ,         , 0               ,        
Basic_DAXPY               , -0.17           ,         , 1.5             ,OVER_TOL , -0.053          ,         , -0.053          ,         , 0               ,        
Basic_IF_QUAD             , -0.29           ,         , 0.86            ,OVER_TOL , -0.23           ,         , -0.28           ,         , 0               ,        
Basic_INIT3               , -0.43           ,         , 0.86            ,OVER_TOL , -0.24           ,         , -0.22           ,         , 0               ,        
Basic_INIT_VIEW1D         , -0.29           ,         , 0.86            ,OVER_TOL , -0.18           ,         , -0.23           ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.29           ,         , 0.86            ,OVER_TOL , -0.22           ,         , -0.22           ,         , 0               ,        
Basic_MULADDSUB           , -0.17           ,         , 1.2             ,OVER_TOL , -0.18           ,         , -0.22           ,         , 0               ,        
Basic_NESTED_INIT         , -0.25           ,         , 0.75            ,OVER_TOL , -0.24           ,         , -0.24           ,         , 0               ,        
Basic_REDUCE3_INT         , -0.98           ,         , -0.93           ,         , 0               ,         , -0.45           ,         , 0               ,        
Basic_TRAP_INT            , -0.69           ,         , -0.12           ,         , 0               ,         , -0.64           ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.98           ,         , -0.93           ,         , -0.24           ,         , -0.64           ,         , 1.8e+308        ,        
Col Max                   , -0.17           ,         , 1.5             ,         , 0.026           ,         , 0.013           ,         , -1.8e+308       ,        
Col Avg                   , -0.43           ,         , 0.56            ,         , -0.17           ,         , -0.25           ,         , 0               ,        
Col Std Dev               , 0.069           ,         , 0.49            ,         , 0.0087          ,         , 0.03            ,         , 0               ,        
