Speedup Report (T_ref/T_var): ref var = Base_Seq  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_HIP , Lambda_HIP , RAJA_HIP , RAJA_WORKGROUP_HIP , Kokkos_Lambda , Kokkos_Functor
Basic_ATOMIC_PI           ,    1.000 ,      8.200 ,    0.976 ,    0.661 ,      0.641 ,    0.586 ,            Not run ,         0.477 ,        Not run
Basic_DAXPY               ,    1.000 ,      7.200 ,    5.143 ,    0.900 ,      1.000 ,    0.667 ,            Not run ,         0.750 ,        Not run
Basic_IF_QUAD             ,    1.000 ,      1.400 ,    0.194 ,    0.078 ,      0.123 ,    0.119 ,            Not run ,         0.023 ,        Not run
Basic_INIT3               ,    1.000 ,      1.750 ,    0.175 ,    0.078 ,      0.200 ,    0.135 ,            Not run ,         0.079 ,        Not run
Basic_INIT_VIEW1D         ,    1.000 ,      1.750 ,    0.179 ,    0.075 ,      0.123 ,    0.123 ,            Not run ,         0.104 ,        Not run
Basic_INIT_VIEW1D_OFFSET  ,    1.000 ,      1.000 ,    0.122 ,    0.071 ,      0.171 ,    0.105 ,            Not run ,         0.066 ,        Not run
Basic_MULADDSUB           ,    1.000 ,      1.400 ,    0.167 ,    0.073 ,      0.125 ,    0.121 ,            Not run ,         0.023 ,        Not run
Basic_NESTED_INIT         ,    1.000 ,     12.800 ,    9.143 ,    0.877 ,      1.143 ,    1.103 ,            Not run ,         0.681 ,        Not run
Basic_REDUCE3_INT         ,    1.000 ,      2.500 ,    0.357 ,    0.172 ,    Not run ,    0.176 ,            Not run ,         0.205 ,        Not run
Basic_TRAP_INT            ,    1.000 ,      8.400 ,    1.024 ,    0.375 ,    Not run ,    0.712 ,            Not run ,         0.636 ,        Not run
