Speedup Report (T_ref/T_var): ref var = Base_Seq  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_HIP , Lambda_HIP , RAJA_HIP , RAJA_WORKGROUP_HIP , Kokkos_Lambda , Kokkos_Functor
Apps_DEL_DOT_VEC_2D       ,    1.000 ,      0.993 ,    0.999 ,   40.898 ,     47.374 ,   46.999 ,            Not run ,       Not run ,        Not run
Apps_ENERGY               ,    1.000 ,      0.907 ,    0.902 ,    6.927 ,    Not run ,    6.826 ,            Not run ,       Not run ,        Not run
Apps_FIR                  ,    1.000 ,      1.076 ,    1.071 ,   40.964 ,    Not run ,   37.445 ,            Not run ,       Not run ,        Not run
Apps_HALOEXCHANGE         ,    1.000 ,      0.925 ,    1.025 ,    0.337 ,    Not run ,    0.352 ,            Not run ,       Not run ,        Not run
Apps_LTIMES               ,    1.000 ,      1.001 ,    0.999 ,   54.079 ,     58.060 ,   50.496 ,            Not run ,       Not run ,        Not run
Apps_LTIMES_NOVIEW        ,    1.000 ,      0.997 ,    0.997 ,   54.524 ,     57.872 ,   50.280 ,            Not run ,       Not run ,        Not run
Apps_PRESSURE             ,    1.000 ,      1.000 ,    1.003 ,    5.559 ,    Not run ,    5.139 ,            Not run ,       Not run ,        Not run
Apps_VOL3D                ,    1.000 ,      0.999 ,    0.992 ,   99.538 ,    Not run ,  106.352 ,            Not run ,       Not run ,        Not run
Basic_ATOMIC_PI           ,    1.000 ,      1.001 ,    0.455 ,    0.001 ,      0.001 ,    0.001 ,            Not run ,         0.001 ,        Not run
Basic_DAXPY               ,    1.000 ,      0.997 ,    0.998 ,    3.485 ,      3.500 ,    3.070 ,            Not run ,         0.507 ,        Not run
Basic_IF_QUAD             ,    1.000 ,      1.003 ,    1.153 ,   87.433 ,    109.075 ,  108.376 ,            Not run ,        17.670 ,        Not run
Basic_INIT3               ,    1.000 ,      0.998 ,    1.767 ,   10.643 ,     12.398 ,   10.858 ,            Not run ,         1.810 ,        Not run
Basic_INIT_VIEW1D         ,    1.000 ,      0.750 ,    0.798 ,   25.337 ,     29.428 ,   25.610 ,            Not run ,         4.268 ,        Not run
Basic_INIT_VIEW1D_OFFSET  ,    1.000 ,      1.000 ,    1.064 ,   38.369 ,     39.825 ,   33.210 ,            Not run ,         7.128 ,        Not run
Basic_MULADDSUB           ,    1.000 ,      1.000 ,    2.035 ,   13.286 ,     16.172 ,   13.698 ,            Not run ,         3.079 ,        Not run
Basic_NESTED_INIT         ,    1.000 ,      1.002 ,    1.010 ,   68.229 ,     69.506 ,   69.223 ,            Not run ,        14.542 ,        Not run
Basic_REDUCE3_INT         ,    1.000 ,      0.997 ,    1.073 ,    1.595 ,    Not run ,    1.362 ,            Not run ,         1.619 ,        Not run
Basic_TRAP_INT            ,    1.000 ,      0.999 ,    0.996 ,    1.128 ,    Not run ,   10.184 ,            Not run ,         5.094 ,        Not run
Lcals_DIFF_PREDICT        ,    1.000 ,      1.056 ,    1.786 ,   21.539 ,    Not run ,   22.258 ,            Not run ,         5.306 ,        Not run
Lcals_EOS                 ,    1.000 ,      0.995 ,    0.999 ,   14.681 ,    Not run ,   14.980 ,            Not run ,         2.308 ,        Not run
Lcals_FIRST_DIFF          ,    1.000 ,      0.998 ,    1.000 ,    3.054 ,    Not run ,    3.046 ,            Not run ,         0.517 ,        Not run
Lcals_FIRST_MIN           ,    1.000 ,      1.015 ,    1.000 ,    5.092 ,    Not run ,    4.039 ,            Not run ,         3.132 ,        Not run
Lcals_FIRST_SUM           ,    1.000 ,      1.003 ,    1.001 ,    3.257 ,    Not run ,    3.256 ,            Not run ,         0.549 ,        Not run
Lcals_GEN_LIN_RECUR       ,    1.000 ,      0.998 ,    0.998 ,    5.218 ,    Not run ,    5.277 ,            Not run ,         0.911 ,        Not run
Lcals_HYDRO_1D            ,    1.000 ,      1.003 ,    0.997 ,    4.812 ,    Not run ,    4.810 ,            Not run ,         0.791 ,        Not run
Lcals_HYDRO_2D            ,    1.000 ,      1.002 ,    0.997 ,   40.226 ,    Not run ,   39.414 ,            Not run ,        21.106 ,        Not run
Lcals_INT_PREDICT         ,    1.000 ,      0.997 ,    1.850 ,   22.939 ,    Not run ,   26.720 ,            Not run ,         4.406 ,        Not run
Lcals_PLANCKIAN           ,    1.000 ,      0.997 ,    1.011 ,  133.903 ,    Not run ,  146.273 ,            Not run ,        27.054 ,        Not run
Lcals_TRIDIAG_ELIM        ,    1.000 ,      1.009 ,    0.999 ,    8.720 ,    Not run ,    8.824 ,            Not run ,         1.546 ,        Not run
Stream_ADD                ,    1.000 ,      1.002 ,    1.002 ,   23.667 ,     24.015 ,   23.612 ,            Not run ,         9.936 ,        Not run
Stream_COPY               ,    1.000 ,      0.999 ,    1.000 ,   15.857 ,     17.069 ,   16.025 ,            Not run ,         5.641 ,        Not run
Stream_DOT                ,    1.000 ,      0.999 ,    1.014 ,    0.287 ,    Not run ,   15.175 ,            Not run ,         7.857 ,        Not run
Stream_MUL                ,    1.000 ,      1.000 ,    1.001 ,   16.227 ,     17.006 ,   16.243 ,            Not run ,         5.550 ,        Not run
Stream_TRIAD              ,    1.000 ,      1.001 ,    1.000 ,   22.868 ,     25.312 ,   23.604 ,            Not run ,         9.950 ,        Not run
