FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,        
Algorithm_SORT            , 0               ,         , 0.046           ,         , 0               ,         , inf             ,OVER_TOL
Algorithm_SORTPAIRS       , 0               ,         , 0.19            ,OVER_TOL , 0               ,         , inf             ,OVER_TOL
Apps_DEL_DOT_VEC_2D       , -0.0023         ,         , -0.0026         ,         , -0.18           ,         , 3.2             ,OVER_TOL
Apps_ENERGY               , 0.068           ,         , 0.06            ,         , 0               ,         , -0.016          ,        
Apps_FIR                  , -0.0093         ,         , -0.022          ,         , 0               ,         , -0.064          ,        
Apps_HALOEXCHANGE         , -0.00059        ,         , 0.0045          ,         , 0               ,         , 0.32            ,OVER_TOL
Apps_LTIMES               , 0.00029         ,         , 0.0037          ,         , -0.066          ,         , 0.073           ,        
Apps_LTIMES_NOVIEW        , 0.0003          ,         , -0.00053        ,         , -0.073          ,         , 0.071           ,        
Apps_PRESSURE             , -0.0028         ,         , 0.0043          ,         , 0               ,         , 0.02            ,        
Apps_VOL3D                , 0.0082          ,         , -0.015          ,         , 0               ,         , -0.17           ,        
Basic_DAXPY               , -0.00084        ,         , 0.0013          ,         , -0.011          ,         , -0.0035         ,        
Basic_IF_QUAD             , -0.011          ,         , -0.0036         ,         , -0.12           ,         , -0.076          ,        
Basic_INIT3               , -0.0012         ,         , -0.024          ,         , -0.041          ,         , -0.051          ,        
Basic_INIT_VIEW1D         , -0.25           ,         , -0.061          ,         , -0.14           ,         , -0.013          ,        
Basic_INIT_VIEW1D_OFFSET  , -0.006          ,         , 0.5             ,OVER_TOL , -0.064          ,         , 0.086           ,        
Basic_MULADDSUB           , -0.00058        ,         , -0.031          ,         , -0.067          ,         , -0.037          ,        
Basic_NESTED_INIT         , 0.0022          ,         , -0.0022         ,         , -0.036          ,         , -0.038          ,        
Basic_PI_ATOMIC           , 0.0031          ,         , 1.2             ,OVER_TOL , 0.042           ,         , 0.093           ,        
Basic_REDUCE3_INT         , -0.0085         ,         , -0.081          ,         , 0               ,         , -0.34           ,        
Basic_TRAP_INT            , -0.00036        ,         , -0.00028        ,         , 0               ,         , -0.95           ,        
Lcals_DIFF_PREDICT        , 0.0065          ,         , -0.00065        ,         , 0               ,         , -0.043          ,        
Lcals_EOS                 , 0.0034          ,         , -0.0071         ,         , 0               ,         , -0.079          ,        
Lcals_FIRST_DIFF          , -0.0015         ,         , -0.0019         ,         , 0               ,         , 0.03            ,        
Lcals_FIRST_MIN           , 0.0053          ,         , -0.0017         ,         , 0               ,         , -0.26           ,        
Lcals_FIRST_SUM           , 0.0027          ,         , -0.0003         ,         , 0               ,         , 0.05            ,        
Lcals_GEN_LIN_RECUR       , 6e-05           ,         , -0.0011         ,         , 0               ,         , -0.039          ,        
Lcals_HYDRO_1D            , 0.0011          ,         , 0.00031         ,         , 0               ,         , 0.075           ,        
Lcals_HYDRO_2D            , 0.0012          ,         , 0.00049         ,         , 0               ,         , -0.016          ,        
Lcals_INT_PREDICT         , -0.014          ,         , 0.001           ,         , 0               ,         , -0.034          ,        
Lcals_PLANCKIAN           , -0.018          ,         , -0.03           ,         , 0               ,         , -0.22           ,        
Lcals_TRIDIAG_ELIM        , 0.0021          ,         , 0.0019          ,         , 0               ,         , -0.0048         ,        
Stream_ADD                , 0.00063         ,         , -0.0015         ,         , 0.029           ,         , 0.011           ,        
Stream_COPY               , -0.00079        ,         , -0.002          ,         , 0.053           ,         , 0.047           ,        
Stream_DOT                , -0.00058        ,         , -0.0049         ,         , 0               ,         , -0.97           ,        
Stream_MUL                , -0.00046        ,         , -0.00072        ,         , 0.069           ,         , 0.16            ,OVER_TOL
Stream_TRIAD              , -0.0047         ,         , 0.37            ,OVER_TOL , -0.057          ,         , 0.017           ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.25           ,         , -0.081          ,         , -0.18           ,         , -0.97           ,        
Col Max                   , 0.068           ,         , 1.2             ,         , 0.069           ,         , inf             ,        
Col Avg                   , -0.0068         ,         , 0.058           ,         , -0.044          ,         , inf             ,        
Col Std Dev               , 0.002           ,         , 0.05            ,         , 0.0049          ,         , -nan            ,        
