Speedup Report (T_ref/T_var): ref var = Base_Seq  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_HIP , Lambda_HIP , RAJA_HIP , Kokkos_Lambda , Kokkos_Functor
Apps_DEL_DOT_VEC_2D       ,    1.000 ,      0.987 ,    0.987 ,  104.426 ,    128.208 ,   25.139 ,       Not run ,        Not run
Apps_ENERGY               ,    1.000 ,      0.939 ,    0.938 ,   25.928 ,    Not run ,   26.036 ,       Not run ,        Not run
Apps_FIR                  ,    1.000 ,      1.005 ,    1.013 ,  103.589 ,    Not run ,  104.636 ,       Not run ,        Not run
Apps_HALOEXCHANGE         ,    1.000 ,      1.381 ,    1.348 ,    0.612 ,    Not run ,    0.483 ,       Not run ,        Not run
Apps_LTIMES               ,    1.000 ,      1.000 ,    0.999 ,   51.543 ,     57.105 ,   49.921 ,       Not run ,        Not run
Apps_LTIMES_NOVIEW        ,    1.000 ,      0.998 ,    0.999 ,   53.345 ,     57.079 ,   49.641 ,       Not run ,        Not run
Apps_PRESSURE             ,    1.000 ,      1.002 ,    0.997 ,   24.129 ,    Not run ,   24.341 ,       Not run ,        Not run
Apps_VOL3D                ,    1.000 ,      0.996 ,    0.983 ,  126.586 ,    Not run ,  149.097 ,       Not run ,        Not run
Basic_DAXPY               ,    1.000 ,      0.999 ,    0.999 ,   10.776 ,     10.610 ,   10.337 ,         4.973 ,        Not run
Basic_IF_QUAD             ,    1.000 ,      0.996 ,    1.006 ,  127.864 ,    134.406 ,  138.301 ,        81.346 ,        Not run
Basic_INIT3               ,    1.000 ,      1.001 ,    1.015 ,   24.430 ,     25.989 ,   25.287 ,        15.503 ,        Not run
Basic_INIT_VIEW1D         ,    1.000 ,      1.000 ,    0.798 ,   29.102 ,     34.289 ,   29.735 ,         8.019 ,        Not run
Basic_INIT_VIEW1D_OFFSET  ,    1.000 ,      1.000 ,    1.064 ,   44.115 ,     45.921 ,   39.832 ,        12.080 ,        Not run
Basic_MULADDSUB           ,    1.000 ,      0.998 ,    0.980 ,   21.197 ,     22.983 ,   21.969 ,        15.207 ,        Not run
Basic_NESTED_INIT         ,    1.000 ,      1.000 ,    0.994 ,   37.607 ,     38.500 ,   37.745 ,         8.240 ,        Not run
Basic_PI_ATOMIC           ,    1.000 ,      1.000 ,    0.454 ,    0.000 ,      0.000 ,    0.000 ,         0.000 ,        Not run
Basic_REDUCE3_INT         ,    1.000 ,      1.004 ,    1.089 ,    0.572 ,    Not run ,    1.170 ,         1.419 ,        Not run
Basic_TRAP_INT            ,    1.000 ,      1.004 ,    1.003 ,    2.227 ,    Not run ,   54.614 ,        28.598 ,        Not run
Lcals_DIFF_PREDICT        ,    1.000 ,      1.005 ,    1.006 ,   18.749 ,    Not run ,   19.879 ,        10.164 ,        Not run
Lcals_EOS                 ,    1.000 ,      1.081 ,    1.077 ,   30.745 ,    Not run ,   30.833 ,        15.208 ,        Not run
Lcals_FIRST_DIFF          ,    1.000 ,      1.000 ,    0.996 ,   14.778 ,    Not run ,   15.338 ,         5.849 ,        Not run
Lcals_FIRST_MIN           ,    1.000 ,      1.019 ,    1.006 ,    4.972 ,    Not run ,    4.241 ,         3.219 ,        Not run
Lcals_FIRST_SUM           ,    1.000 ,      1.001 ,    0.999 ,   15.818 ,    Not run ,   15.804 ,         6.086 ,        Not run
Lcals_GEN_LIN_RECUR       ,    1.000 ,      1.000 ,    0.999 ,   14.248 ,    Not run ,   14.518 ,         8.693 ,        Not run
Lcals_HYDRO_1D            ,    1.000 ,      1.002 ,    1.002 ,   25.079 ,    Not run ,   20.474 ,        10.430 ,        Not run
Lcals_HYDRO_2D            ,    1.000 ,      1.001 ,    0.998 ,   38.199 ,    Not run ,   39.067 ,        20.383 ,        Not run
Lcals_INT_PREDICT         ,    1.000 ,      1.057 ,    0.976 ,   25.997 ,    Not run ,   27.666 ,        15.414 ,        Not run
Lcals_PLANCKIAN           ,    1.000 ,      1.000 ,    1.010 ,  192.236 ,    Not run ,  229.167 ,       117.380 ,        Not run
Lcals_TRIDIAG_ELIM        ,    1.000 ,      1.020 ,    0.998 ,   22.848 ,    Not run ,   22.496 ,        14.599 ,        Not run
Stream_ADD                ,    1.000 ,      0.960 ,    1.002 ,   21.588 ,     22.049 ,   21.640 ,        10.713 ,        Not run
Stream_COPY               ,    1.000 ,      0.930 ,    1.002 ,   14.396 ,     14.837 ,   13.977 ,         6.486 ,        Not run
Stream_DOT                ,    1.000 ,      1.000 ,    1.002 ,    0.505 ,    Not run ,   15.345 ,         7.884 ,        Not run
Stream_MUL                ,    1.000 ,      0.911 ,    1.002 ,   15.165 ,     15.313 ,   14.741 ,         5.418 ,        Not run
Stream_TRIAD              ,    1.000 ,      0.996 ,    1.002 ,   29.427 ,     33.369 ,   31.169 ,        13.165 ,        Not run
