FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,         , RAJA_WORKGROUP_HIP,        
Apps_DEL_DOT_VEC_2D       , 0.0027          ,         , 0.0034          ,         , -0.13           ,         , -0.13           ,         , 0               ,        
Apps_ENERGY               , 0.11            ,OVER_TOL , 0.11            ,OVER_TOL , 0               ,         , 0.014           ,         , 0               ,        
Apps_FIR                  , -0.058          ,         , -0.063          ,         , 0               ,         , 0.094           ,         , 0               ,        
Apps_HALOEXCHANGE         , -0.023          ,         , -0.027          ,         , 0               ,         , -0.029          ,         , 0               ,        
Apps_LTIMES               , -0.00026        ,         , 0.0061          ,         , -0.068          ,         , 0.068           ,         , 0               ,        
Apps_LTIMES_NOVIEW        , 0.0016          ,         , 0.0013          ,         , -0.067          ,         , 0.075           ,         , 0               ,        
Apps_PRESSURE             , -0.0091         ,         , -0.0066         ,         , 0               ,         , 0.08            ,         , 0               ,        
Apps_VOL3D                , -0.00059        ,         , 0.0033          ,         , 0               ,         , -0.077          ,         , 0               ,        
Basic_ATOMIC_PI           , 0.01            ,         , 1.2             ,OVER_TOL , 0.011           ,         , -0.005          ,         , 0               ,        
Basic_DAXPY               , 0.0017          ,         , 0.013           ,         , 0.0006          ,         , 0.095           ,         , 0               ,        
Basic_IF_QUAD             , -0.002          ,         , -0.13           ,         , -0.13           ,         , -0.13           ,         , 0               ,        
Basic_INIT3               , 0.0077          ,         , -0.45           ,         , -0.1            ,         , -0.061          ,         , 0               ,        
Basic_INIT_VIEW1D         , 0.33            ,OVER_TOL , 0.25            ,OVER_TOL , -0.093          ,         , -0.011          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , 0.00022         ,         , -0.058          ,         , -0.021          ,         , 0.1             ,         , 0               ,        
Basic_MULADDSUB           , -0.006          ,         , -0.5            ,         , -0.16           ,         , -0.073          ,         , 0               ,        
Basic_NESTED_INIT         , -0.0042         ,         , -0.01           ,         , -0.018          ,         , -0.02           ,         , 0               ,        
Basic_REDUCE3_INT         , -0.0049         ,         , -0.079          ,         , 0               ,         , -0.33           ,         , 0               ,        
Basic_TRAP_INT            , -0.001          ,         , -0.0017         ,         , 0               ,         , -0.87           ,         , 0               ,        
Lcals_DIFF_PREDICT        , -0.032          ,         , -0.45           ,         , 0               ,         , -0.029          ,         , 0               ,        
Lcals_EOS                 , 0.0069          ,         , 0.0064          ,         , 0               ,         , -0.016          ,         , 0               ,        
Lcals_FIRST_DIFF          , 0.0051          ,         , 0.0044          ,         , 0               ,         , -0.006          ,         , 0               ,        
Lcals_FIRST_MIN           , -0.015          ,         , -0.0019         ,         , 0               ,         , 0.13            ,OVER_TOL , 0               ,        
Lcals_FIRST_SUM           , -0.0021         ,         , -0.00074        ,         , 0               ,         , -0.0026         ,         , 0               ,        
Lcals_GEN_LIN_RECUR       , 0.0019          ,         , 0.00028         ,         , 0               ,         , -0.011          ,         , 0               ,        
Lcals_HYDRO_1D            , -0.0032         ,         , 0.00057         ,         , 0               ,         , -0.0011         ,         , 0               ,        
Lcals_HYDRO_2D            , -0.049          ,         , -0.052          ,         , 0               ,         , 0.02            ,         , 0               ,        
Lcals_INT_PREDICT         , 0.006           ,         , -0.46           ,         , 0               ,         , -0.15           ,         , 0               ,        
Lcals_PLANCKIAN           , 0.00045         ,         , -0.011          ,         , 0               ,         , -0.068          ,         , 0               ,        
Lcals_TRIDIAG_ELIM        , 0.012           ,         , 0.0017          ,         , 0               ,         , -0.011          ,         , 0               ,        
Stream_ADD                , -0.0013         ,         , -0.00079        ,         , -0.041          ,         , -0.02           ,         , 0               ,        
Stream_COPY               , 0.0021          ,         , 0.00059         ,         , -0.069          ,         , -0.049          ,         , 0               ,        
Stream_DOT                , -0.004          ,         , -0.0027         ,         , 0               ,         , -0.98           ,         , 0               ,        
Stream_MUL                , 0.00056         ,         , -0.00082        ,         , -0.0095         ,         , -0.026          ,         , 0               ,        
Stream_TRIAD              , -0.0012         ,         , -0.00044        ,         , -0.099          ,         , -0.031          ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.058          ,         , -0.5            ,         , -0.16           ,         , -0.98           ,         , 1.8e+308        ,        
Col Max                   , 0.33            ,         , 1.2             ,         , 0.011           ,         , 0.13            ,         , -1.8e+308       ,        
Col Avg                   , 0.0082          ,         , -0.021          ,         , -0.066          ,         , -0.072          ,         , 0               ,        
Col Std Dev               , 0.0037          ,         , 0.071           ,         , 0.0026          ,         , 0.053           ,         , 0               ,        
