FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,         , RAJA_WORKGROUP_HIP,        
Basic_ATOMIC_PI           , -0.67           ,         , -0.13           ,         , -0.12           ,         , -0.14           ,         , 0               ,        
Basic_DAXPY               , -0.33           ,         , 1.3             ,OVER_TOL , -0.24           ,         , -0.27           ,         , 0               ,        
Basic_IF_QUAD             , -0.43           ,         , 1               ,OVER_TOL , -0.22           ,         , -0.28           ,         , 0               ,        
Basic_INIT3               , -0.2            ,         , 2               ,OVER_TOL , -0.22           ,         , -0.26           ,         , 0               ,        
Basic_INIT_VIEW1D         , -0.38           ,         , 0.87            ,OVER_TOL , -0.22           ,         , -0.24           ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.29           ,         , 1.1             ,OVER_TOL , -0.27           ,         , -0.29           ,         , 0               ,        
Basic_MULADDSUB           , -0.43           ,         , 1               ,OVER_TOL , -0.22           ,         , -0.22           ,         , 0               ,        
Basic_NESTED_INIT         , -0.57           ,         , 0.21            ,OVER_TOL , -0.26           ,         , -0.13           ,         , 0               ,        
Basic_REDUCE3_INT         , -0.53           ,         , -0.18           ,         , 0               ,         , -0.37           ,         , 0               ,        
Basic_TRAP_INT            , -0.75           ,         , -0.063          ,         , 0               ,         , -0.49           ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.75           ,         , -0.18           ,         , -0.27           ,         , -0.49           ,         , 1.8e+308        ,        
Col Max                   , -0.2            ,         , 2               ,         , -0.12           ,         , -0.13           ,         , -1.8e+308       ,        
Col Avg                   , -0.46           ,         , 0.72            ,         , -0.22           ,         , -0.27           ,         , 0               ,        
Col Std Dev               , 0.027           ,         , 0.48            ,         , 0.0019          ,         , 0.01            ,         , 0               ,        
