FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,        
Apps_DEL_DOT_VEC_2D       , 0.0085          ,         , 0.0067          ,         , -0.18           ,         , 3.2             ,OVER_TOL
Apps_ENERGY               , 0.074           ,         , 0.079           ,         , 0               ,         , -0.036          ,        
Apps_FIR                  , -0.037          ,         , -0.036          ,         , 0               ,         , -0.07           ,        
Apps_HALOEXCHANGE         , -0.27           ,         , -0.28           ,         , 0               ,         , -0.14           ,        
Apps_LTIMES               , -0.0013         ,         , -0.00031        ,         , -0.071          ,         , 0.063           ,        
Apps_LTIMES_NOVIEW        , 0.0036          ,         , 0.0035          ,         , -0.066          ,         , 0.076           ,        
Apps_PRESSURE             , -0.004          ,         , 0.004           ,         , 0               ,         , -0.02           ,        
Apps_VOL3D                , -0.00017        ,         , 0.012           ,         , 0               ,         , -0.16           ,        
Basic_DAXPY               , 0.0007          ,         , -0.0014         ,         , 0.0016          ,         , 0.026           ,        
Basic_IF_QUAD             , -0.0041         ,         , -0.0041         ,         , -0.082          ,         , -0.069          ,        
Basic_INIT3               , -0.0023         ,         , 0.011           ,         , -0.054          ,         , -0.048          ,        
Basic_INIT_VIEW1D         , 0.0011          ,         , -0.045          ,         , -0.17           ,         , -0.04           ,        
Basic_INIT_VIEW1D_OFFSET  , -0.01           ,         , -0.076          ,         , -0.057          ,         , 0.11            ,OVER_TOL
Basic_MULADDSUB           , -0.0063         ,         , -0.0023         ,         , -0.067          ,         , -0.043          ,        
Basic_NESTED_INIT         , -0.00049        ,         , 0.006           ,         , -0.026          ,         , -0.0028         ,        
Basic_PI_ATOMIC           , 0.0017          ,         , 1.2             ,OVER_TOL , 0.074           ,         , 0.085           ,        
Basic_REDUCE3_INT         , 0.0028          ,         , -0.075          ,         , 0               ,         , -0.61           ,        
Basic_TRAP_INT            , 0.0001          ,         , 3.8e-05         ,         , 0               ,         , -0.96           ,        
Lcals_DIFF_PREDICT        , 0.0034          ,         , 0.00038         ,         , 0               ,         , -0.059          ,        
Lcals_EOS                 , -0.0022         ,         , -0.001          ,         , 0               ,         , -0.047          ,        
Lcals_FIRST_DIFF          , -0.0011         ,         , 2e-05           ,         , 0               ,         , -0.042          ,        
Lcals_FIRST_MIN           , -0.011          ,         , 0.024           ,         , 0               ,         , 0.18            ,OVER_TOL
Lcals_FIRST_SUM           , -0.0029         ,         , -0.00043        ,         , 0               ,         , -0.024          ,        
Lcals_GEN_LIN_RECUR       , -0.00075        ,         , 0.0012          ,         , 0               ,         , -0.034          ,        
Lcals_HYDRO_1D            , 0.0043          ,         , -0.0049         ,         , 0               ,         , -0.027          ,        
Lcals_HYDRO_2D            , -0.00094        ,         , -0.0034         ,         , 0               ,         , -0.011          ,        
Lcals_INT_PREDICT         , 0.0062          ,         , 0.08            ,         , 0               ,         , -0.06           ,        
Lcals_PLANCKIAN           , -0.00037        ,         , -0.01           ,         , 0               ,         , -0.19           ,        
Lcals_TRIDIAG_ELIM        , -0.00038        ,         , -0.0018         ,         , 0               ,         , 0.0011          ,        
Stream_ADD                , -0.00099        ,         , 6.5e-05         ,         , -0.054          ,         , -0.0069         ,        
Stream_COPY               , -0.0054         ,         , -0.0025         ,         , -0.047          ,         , -0.046          ,        
Stream_DOT                , 0.0017          ,         , -0.0022         ,         , 0               ,         , -0.96           ,        
Stream_MUL                , 0.00052         ,         , 0.00052         ,         , -0.053          ,         , -0.027          ,        
Stream_TRIAD              , -0.002          ,         , -0.0023         ,         , -0.093          ,         , -0.072          ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.27           ,         , -0.28           ,         , -0.18           ,         , -0.96           ,        
Col Max                   , 0.074           ,         , 1.2             ,         , 0.074           ,         , 3.2             ,        
Col Avg                   , -0.0076         ,         , 0.026           ,         , -0.063          ,         , -0.0021         ,        
Col Std Dev               , 0.0024          ,         , 0.045           ,         , 0.0034          ,         , 0.37            ,        
