FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,         , RAJA_WORKGROUP_HIP,        
Apps_DEL_DOT_VEC_2D       , -0.0035         ,         , 0.0019          ,         , -0.13           ,         , -0.14           ,         , 0               ,        
Apps_ENERGY               , 0.087           ,         , 0.099           ,         , 0               ,         , -0.0068         ,         , 0               ,        
Apps_FIR                  , -0.063          ,         , -0.07           ,         , 0               ,         , 0.098           ,         , 0               ,        
Apps_HALOEXCHANGE         , 0.056           ,         , -0.015          ,         , 0               ,         , -0.098          ,         , 0               ,        
Apps_LTIMES               , -0.0038         ,         , -0.0021         ,         , -0.067          ,         , 0.072           ,         , 0               ,        
Apps_LTIMES_NOVIEW        , 0.0029          ,         , 0.003           ,         , -0.063          ,         , 0.08            ,         , 0               ,        
Apps_PRESSURE             , -0.012          ,         , -0.0028         ,         , 0               ,         , 0.081           ,         , 0               ,        
Apps_VOL3D                , 0.0027          ,         , 0.0068          ,         , 0               ,         , -0.093          ,         , 0               ,        
Basic_ATOMIC_PI           , -0.00063        ,         , 1.2             ,OVER_TOL , 0.0073          ,         , -0.0044         ,         , 0               ,        
Basic_DAXPY               , -4.7e-05        ,         , -0.0027         ,         , 0.0015          ,         , -0.31           ,         , 0               ,        
Basic_IF_QUAD             , 0.0088          ,         , -0.11           ,         , -0.15           ,         , -0.44           ,         , 0               ,        
Basic_INIT3               , 0.0031          ,         , -0.46           ,         , -0.096          ,         , -0.37           ,         , 0               ,        
Basic_INIT_VIEW1D         , 0.34            ,OVER_TOL , 0.26            ,OVER_TOL , -0.091          ,         , -0.37           ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , 0.0014          ,         , -0.065          ,         , -0.018          ,         , -0.3            ,         , 0               ,        
Basic_MULADDSUB           , -0.003          ,         , -0.5            ,         , -0.11           ,         , -0.35           ,         , 0               ,        
Basic_NESTED_INIT         , -0.005          ,         , -0.0072         ,         , -0.039          ,         , -0.022          ,         , 0               ,        
Basic_REDUCE3_INT         , 0.0045          ,         , -0.073          ,         , 0               ,         , -0.12           ,         , 0               ,        
Basic_TRAP_INT            , -0.00038        ,         , -0.0035         ,         , 0               ,         , -0.89           ,         , 0               ,        
Lcals_DIFF_PREDICT        , -0.021          ,         , -0.43           ,         , 0               ,         , -0.11           ,         , 0               ,        
Lcals_EOS                 , 0.0066          ,         , 0.0054          ,         , 0               ,         , -0.38           ,         , 0               ,        
Lcals_FIRST_DIFF          , 0.0048          ,         , 0.0038          ,         , 0               ,         , -0.37           ,         , 0               ,        
Lcals_FIRST_MIN           , -0.02           ,         , -0.015          ,         , 0               ,         , 0.25            ,OVER_TOL , 0               ,        
Lcals_FIRST_SUM           , -0.0038         ,         , -0.003          ,         , 0               ,         , -0.031          ,         , 0               ,        
Lcals_GEN_LIN_RECUR       , -0.0033         ,         , -0.0055         ,         , 0               ,         , -0.036          ,         , 0               ,        
Lcals_HYDRO_1D            , -0.0037         ,         , -0.0039         ,         , 0               ,         , -0.02           ,         , 0               ,        
Lcals_HYDRO_2D            , 0.0037          ,         , 0.00082         ,         , 0               ,         , 0.015           ,         , 0               ,        
Lcals_INT_PREDICT         , 0.0064          ,         , -0.46           ,         , 0               ,         , -0.17           ,         , 0               ,        
Lcals_PLANCKIAN           , 0.003           ,         , -0.0038         ,         , 0               ,         , -0.11           ,         , 0               ,        
Lcals_TRIDIAG_ELIM        , 8e-05           ,         , 0.00072         ,         , 0               ,         , -0.026          ,         , 0               ,        
Stream_ADD                , -0.00027        ,         , -7.6e-05        ,         , -0.031          ,         , -0.011          ,         , 0               ,        
Stream_COPY               , -0.0017         ,         , -0.0031         ,         , -0.088          ,         , -0.042          ,         , 0               ,        
Stream_DOT                , 0.00071         ,         , -0.0082         ,         , 0               ,         , -0.98           ,         , 0               ,        
Stream_MUL                , 0.0028          ,         , 0.0022          ,         , -0.047          ,         , 0.022           ,         , 0               ,        
Stream_TRIAD              , -0.0025         ,         , -0.0014         ,         , -0.15           ,         , -0.079          ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.063          ,         , -0.5            ,         , -0.15           ,         , -0.98           ,         , 1.8e+308        ,        
Col Max                   , 0.34            ,         , 1.2             ,         , 0.0073          ,         , 0.25            ,         , -1.8e+308       ,        
Col Avg                   , 0.011           ,         , -0.02           ,         , -0.072          ,         , -0.16           ,         , 0               ,        
Col Std Dev               , 0.0037          ,         , 0.07            ,         , 0.0025          ,         , 0.065           ,         , 0               ,        
