FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,         , RAJA_WORKGROUP_HIP,        
Apps_DEL_DOT_VEC_2D       , 0.0001          ,         , 0.00075         ,         , -0.14           ,         , -0.13           ,         , 0               ,        
Apps_ENERGY               , 0.11            ,OVER_TOL , 0.11            ,OVER_TOL , 0               ,         , 0.02            ,         , 0               ,        
Apps_FIR                  , -0.062          ,         , -0.07           ,         , 0               ,         , 0.1             ,OVER_TOL , 0               ,        
Apps_HALOEXCHANGE         , 0.34            ,OVER_TOL , -0.022          ,         , 0               ,         , -0.29           ,         , 0               ,        
Apps_LTIMES               , -0.00074        ,         , 0.0011          ,         , -0.064          ,         , 0.073           ,         , 0               ,        
Apps_LTIMES_NOVIEW        , 0.00023         ,         , -0.00011        ,         , -0.059          ,         , 0.087           ,         , 0               ,        
Apps_PRESSURE             , 0.0019          ,         , 0.0057          ,         , 0               ,         , 0.059           ,         , 0               ,        
Apps_VOL3D                , 0.0011          ,         , 0.0089          ,         , 0               ,         , -0.13           ,         , 0               ,        
Basic_ATOMIC_PI           , -0.00063        ,         , 1.2             ,OVER_TOL , 0.0057          ,         , -0.0047         ,         , 0               ,        
Basic_DAXPY               , 0.0028          ,         , 0.0044          ,         , -0.00071        ,         , 0.1             ,OVER_TOL , 0               ,        
Basic_IF_QUAD             , -0.0034         ,         , -0.11           ,         , -0.16           ,         , -0.14           ,         , 0               ,        
Basic_INIT3               , 0.00021         ,         , -0.45           ,         , -0.1            ,         , -0.0032         ,         , 0               ,        
Basic_INIT_VIEW1D         , 0.33            ,OVER_TOL , 0.25            ,OVER_TOL , -0.09           ,         , 0.0043          ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , 0.0012          ,         , -0.059          ,         , -0.019          ,         , 0.11            ,OVER_TOL , 0               ,        
Basic_MULADDSUB           , -0.0025         ,         , -0.5            ,         , -0.11           ,         , -0.014          ,         , 0               ,        
Basic_NESTED_INIT         , 0.0019          ,         , 0.00098         ,         , -0.025          ,         , -0.021          ,         , 0               ,        
Basic_REDUCE3_INT         , -0.0014         ,         , -0.075          ,         , 0               ,         , -0.26           ,         , 0               ,        
Basic_TRAP_INT            , -0.00026        ,         , -0.0005         ,         , 0               ,         , -0.87           ,         , 0               ,        
Lcals_DIFF_PREDICT        , -0.017          ,         , -0.43           ,         , 0               ,         , -0.021          ,         , 0               ,        
Lcals_EOS                 , 0.0037          ,         , 0.0019          ,         , 0               ,         , -0.0052         ,         , 0               ,        
Lcals_FIRST_DIFF          , 0.0064          ,         , 0.0038          ,         , 0               ,         , 0.0037          ,         , 0               ,        
Lcals_FIRST_MIN           , -0.019          ,         , -0.0091         ,         , 0               ,         , 0.23            ,OVER_TOL , 0               ,        
Lcals_FIRST_SUM           , -0.0063         ,         , -0.003          ,         , 0               ,         , -0.0019         ,         , 0               ,        
Lcals_GEN_LIN_RECUR       , 0.0014          ,         , 0.00022         ,         , 0               ,         , 0.00074         ,         , 0               ,        
Lcals_HYDRO_1D            , -0.00056        ,         , 0.0026          ,         , 0               ,         , 0.007           ,         , 0               ,        
Lcals_HYDRO_2D            , 0.0014          ,         , -2.3e-05        ,         , 0               ,         , 0.0095          ,         , 0               ,        
Lcals_INT_PREDICT         , -0.0022         ,         , -0.46           ,         , 0               ,         , -0.11           ,         , 0               ,        
Lcals_PLANCKIAN           , 1.9e-05         ,         , -0.012          ,         , 0               ,         , -0.067          ,         , 0               ,        
Lcals_TRIDIAG_ELIM        , -0.0039         ,         , -0.0016         ,         , 0               ,         , -0.0018         ,         , 0               ,        
Stream_ADD                , -0.0056         ,         , -0.0046         ,         , -0.0042         ,         , -0.0027         ,         , 0               ,        
Stream_COPY               , -0.0003         ,         , -0.00062        ,         , -0.022          ,         , -0.01           ,         , 0               ,        
Stream_DOT                , 0.0079          ,         , -0.0078         ,         , 0               ,         , -0.98           ,         , 0               ,        
Stream_MUL                , 0.00031         ,         , -0.0011         ,         , -0.0086         ,         , 0.0023          ,         , 0               ,        
Stream_TRIAD              , -0.0039         ,         , -0.0038         ,         , -0.09           ,         , -0.019          ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.062          ,         , -0.5            ,         , -0.16           ,         , -0.98           ,         , 1.8e+308        ,        
Col Max                   , 0.34            ,         , 1.2             ,         , 0.0057          ,         , 0.23            ,         , -1.8e+308       ,        
Col Avg                   , 0.02            ,         , -0.019          ,         , -0.059          ,         , -0.067          ,         , 0               ,        
Col Std Dev               , 0.0068          ,         , 0.07            ,         , 0.0026          ,         , 0.056           ,         , 0               ,        
