Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_HIP , Lambda_HIP , RAJA_HIP , Kokkos_Lambda , Kokkos_Functor
Algorithm_SORT            , 1.787163 ,    Not run , 1.845508 ,  Not run ,    Not run , 0.021498 ,      0.062160 ,        Not run
Algorithm_SORTPAIRS       , 1.902322 ,    Not run , 2.289014 ,  Not run ,    Not run , 0.028745 ,      0.000000 ,        Not run
Apps_DEL_DOT_VEC_2D       , 0.818612 ,   0.816231 , 0.803266 , 0.007633 ,   0.006246 , 0.032185 ,      0.073203 ,        Not run
Apps_ENERGY               , 1.138673 ,   1.211428 , 1.199731 , 0.043249 ,    Not run , 0.042960 ,      0.097511 ,        Not run
Apps_FIR                  , 0.970798 ,   0.969742 , 0.945961 , 0.009059 ,    Not run , 0.009084 ,      0.024634 ,        Not run
Apps_HALOEXCHANGE         , 0.014076 ,   0.014072 , 0.014079 , 0.042189 ,    Not run , 0.040197 ,      0.651978 ,        Not run
Apps_LTIMES               , 0.878403 ,   0.878576 , 0.880801 , 0.016318 ,   0.015382 , 0.017570 ,      0.053190 ,        Not run
Apps_LTIMES_NOVIEW        , 0.881869 ,   0.880786 , 0.880147 , 0.016301 ,   0.015359 , 0.017681 ,       Not run ,        Not run
Apps_PRESSURE             , 1.352114 ,   1.348741 , 1.346087 , 0.053412 ,    Not run , 0.053677 ,      0.140781 ,        Not run
Apps_VOL3D                , 1.206329 ,   1.208470 , 1.186315 , 0.009115 ,    Not run , 0.007817 ,      0.018506 ,        Not run
Basic_DAXPY               , 0.171021 ,   0.171138 , 0.171343 , 0.017658 ,   0.016565 , 0.018341 ,      0.050609 ,        Not run
Basic_IF_QUAD             , 1.734897 ,   1.726669 , 1.736874 , 0.014225 ,   0.012553 , 0.013393 ,      0.025238 ,        Not run
Basic_INIT3               , 0.765310 ,   0.763291 , 0.770513 , 0.032680 ,   0.029885 , 0.031421 ,      0.061231 ,        Not run
Basic_INIT_VIEW1D         , 1.525103 ,   1.142418 , 1.430075 , 0.038280 ,   0.032782 , 0.039323 ,      0.231830 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 1.534171 ,   1.537539 , 2.306843 , 0.034952 ,   0.032601 , 0.039728 ,      0.232373 ,        Not run
Basic_MULADDSUB           , 0.536213 ,   0.538424 , 0.533593 , 0.025249 ,   0.023447 , 0.024271 ,      0.048055 ,        Not run
Basic_NESTED_INIT         , 0.621857 ,   0.622454 , 0.622616 , 0.016831 ,   0.015731 , 0.016095 ,      0.109111 ,        Not run
Basic_PI_ATOMIC           , 0.076802 ,   0.076790 , 0.168856 , 703.136413 , 666.840145 , 742.760068 ,   1132.921549 ,        Not run
Basic_REDUCE3_INT         , 0.012546 ,   0.012555 , 0.011687 , 0.011343 ,    Not run , 0.010845 ,      0.012998 ,        Not run
Basic_TRAP_INT            , 0.207750 ,   0.207341 , 0.207446 , 0.094187 ,    Not run , 0.004053 ,      0.010386 ,        Not run
Lcals_DIFF_PREDICT        , 0.755638 ,   0.758626 , 0.761563 , 0.040069 ,    Not run , 0.038179 ,      0.071912 ,        Not run
Lcals_EOS                 , 0.663161 ,   0.661488 , 0.665187 , 0.023825 ,    Not run , 0.023003 ,      0.062337 ,        Not run
Lcals_FIRST_DIFF          , 0.735544 ,   0.736340 , 0.736387 , 0.049882 ,    Not run , 0.050066 ,      0.193347 ,        Not run
Lcals_FIRST_MIN           , 0.048169 ,   0.048483 , 0.048054 , 0.009687 ,    Not run , 0.006952 ,      0.021075 ,        Not run
Lcals_FIRST_SUM           , 0.769536 ,   0.770439 , 0.768987 , 0.048780 ,    Not run , 0.051386 ,      0.193238 ,        Not run
Lcals_GEN_LIN_RECUR       , 0.853518 ,   0.853489 , 0.846756 , 0.060611 ,    Not run , 0.057565 ,      0.131687 ,        Not run
Lcals_HYDRO_1D            , 0.829204 ,   0.829226 , 0.828701 , 0.035203 ,    Not run , 0.039080 ,      0.108758 ,        Not run
Lcals_HYDRO_2D            , 0.815255 ,   0.816151 , 0.814805 , 0.021341 ,    Not run , 0.021156 ,      0.049019 ,        Not run
Lcals_INT_PREDICT         , 1.210993 ,   1.204443 , 1.337185 , 0.048405 ,    Not run , 0.046776 ,      0.088122 ,        Not run
Lcals_PLANCKIAN           , 0.758441 ,   0.758501 , 0.750626 , 0.004279 ,    Not run , 0.003203 ,      0.008266 ,        Not run
Lcals_TRIDIAG_ELIM        , 1.133858 ,   1.161327 , 1.134791 , 0.049507 ,    Not run , 0.049796 ,      0.115841 ,        Not run
Stream_ADD                , 0.796120 ,   0.789089 , 0.793914 , 0.032892 ,   0.032237 , 0.034879 ,      0.111376 ,        Not run
Stream_COPY               , 0.649333 ,   0.649399 , 0.649772 , 0.044003 ,   0.039878 , 0.046887 ,      0.175064 ,        Not run
Stream_DOT                , 1.862570 ,   1.871779 , 1.872087 , 3.725222 ,    Not run , 0.124818 ,      0.367957 ,        Not run
Stream_MUL                , 0.649965 ,   0.650313 , 0.649823 , 0.042781 ,   0.041328 , 0.044416 ,      0.177592 ,        Not run
Stream_TRIAD              , 0.797755 ,   0.802380 , 0.796252 , 0.035202 ,   0.031926 , 0.035952 ,      0.111639 ,        Not run
