FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,        
Algorithm_SORT            , 0               ,         , 0.046           ,         , 0               ,         , inf             ,OVER_TOL
Algorithm_SORTPAIRS       , 0               ,         , 0.2             ,OVER_TOL , 0               ,         , inf             ,OVER_TOL
Apps_DEL_DOT_VEC_2D       , -0.0047         ,         , -0.017          ,         , -0.16           ,         , 3.2             ,OVER_TOL
Apps_ENERGY               , 0.053           ,         , 0.048           ,         , 0               ,         , -0.027          ,        
Apps_FIR                  , -0.002          ,         , -0.027          ,         , 0               ,         , 0.0014          ,        
Apps_HALOEXCHANGE         , -0.0084         ,         , -0.0063         ,         , 0               ,         , 0.29            ,OVER_TOL
Apps_LTIMES               , -0.0019         ,         , 0.0017          ,         , -0.062          ,         , 0.073           ,        
Apps_LTIMES_NOVIEW        , 0.0022          ,         , 0.00029         ,         , -0.065          ,         , 0.076           ,        
Apps_PRESSURE             , 0.00017         ,         , 0.011           ,         , 0               ,         , 0.019           ,        
Apps_VOL3D                , -0.00035        ,         , -0.014          ,         , 0               ,         , -0.15           ,        
Basic_DAXPY               , 0.0029          ,         , -0.00027        ,         , 0.02            ,         , 0.04            ,        
Basic_IF_QUAD             , -0.026          ,         , -0.016          ,         , -0.095          ,         , -0.074          ,        
Basic_INIT3               , -0.00052        ,         , 0.002           ,         , -0.086          ,         , -0.084          ,        
Basic_INIT_VIEW1D         , 0.33            ,OVER_TOL , 0.25            ,OVER_TOL , -0.16           ,         , 0.22            ,OVER_TOL
Basic_INIT_VIEW1D_OFFSET  , -0.0017         ,         , 0.5             ,OVER_TOL , -0.041          ,         , 0.4             ,OVER_TOL
Basic_MULADDSUB           , -0.009          ,         , -0.013          ,         , -0.063          ,         , 0.0042          ,        
Basic_NESTED_INIT         , 0.082           ,         , -0.0097         ,         , -0.041          ,         , -0.032          ,        
Basic_PI_ATOMIC           , -0.019          ,         , 1.2             ,OVER_TOL , 0.047           ,         , 0.063           ,        
Basic_REDUCE3_INT         , -0.0035         ,         , -0.082          ,         , 0               ,         , -0.47           ,        
Basic_TRAP_INT            , 0.00046         ,         , 0.00031         ,         , 0               ,         , -0.96           ,        
Lcals_DIFF_PREDICT        , -0.0007         ,         , 0.0057          ,         , 0               ,         , -0.041          ,        
Lcals_EOS                 , -0.011          ,         , -0.01           ,         , 0               ,         , -0.031          ,        
Lcals_FIRST_DIFF          , -0.002          ,         , -0.0029         ,         , 0               ,         , 0.055           ,        
Lcals_FIRST_MIN           , -0.023          ,         , -0.021          ,         , 0               ,         , -0.32           ,        
Lcals_FIRST_SUM           , 0.0025          ,         , 0.0027          ,         , 0               ,         , 0.06            ,        
Lcals_GEN_LIN_RECUR       , -0.011          ,         , -0.01           ,         , 0               ,         , -0.053          ,        
Lcals_HYDRO_1D            , 0.00049         ,         , -6.8e-05        ,         , 0               ,         , 0.21            ,OVER_TOL
Lcals_HYDRO_2D            , -0.0058         ,         , -0.0053         ,         , 0               ,         , -0.0089         ,        
Lcals_INT_PREDICT         , 0.001           ,         , 0.065           ,         , 0               ,         , -0.032          ,        
Lcals_PLANCKIAN           , -0.00047        ,         , -0.01           ,         , 0               ,         , -0.19           ,        
Lcals_TRIDIAG_ELIM        , -0.0002         ,         , -0.00066        ,         , 0               ,         , 0.061           ,        
Stream_ADD                , -0.0014         ,         , 0.00038         ,         , -0.011          ,         , 0.032           ,        
Stream_COPY               , 0.0016          ,         , -0.00027        ,         , -0.028          ,         , 0.08            ,        
Stream_DOT                , -0.007          ,         , 7.7e-05         ,         , 0               ,         , -0.97           ,        
Stream_MUL                , 0.0053          ,         , -0.00015        ,         , 0.043           ,         , 0.13            ,OVER_TOL
Stream_TRIAD              , 0.032           ,         , -0.0039         ,         , -0.087          ,         , 0.0074          ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.026          ,         , -0.082          ,         , -0.16           ,         , -0.97           ,        
Col Max                   , 0.33            ,         , 1.2             ,         , 0.047           ,         , inf             ,        
Col Avg                   , 0.011           ,         , 0.057           ,         , -0.053          ,         , inf             ,        
Col Std Dev               , 0.0034          ,         , 0.045           ,         , 0.0036          ,         , -nan            ,        
