FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,        
Apps_DEL_DOT_VEC_2D       , 0.021           ,         , 0.0085          ,         , -0.19           ,         , 3.2             ,OVER_TOL
Apps_ENERGY               , 0.073           ,         , 0.082           ,         , 0               ,         , -0.0042         ,        
Apps_FIR                  , -0.036          ,         , -0.034          ,         , 0               ,         , -0.02           ,        
Apps_HALOEXCHANGE         , -0.3            ,         , -0.29           ,         , 0               ,         , -0.0067         ,        
Apps_LTIMES               , 0.0029          ,         , 0.0057          ,         , -0.066          ,         , 0.069           ,        
Apps_LTIMES_NOVIEW        , 0.003           ,         , 0.0031          ,         , -0.061          ,         , 0.081           ,        
Apps_PRESSURE             , -0.0022         ,         , -0.0043         ,         , 0               ,         , 0.014           ,        
Apps_VOL3D                , 0.0083          ,         , 0.018           ,         , 0               ,         , -0.16           ,        
Basic_DAXPY               , 0.0018          ,         , 0.0027          ,         , -0.0086         ,         , 0.036           ,        
Basic_IF_QUAD             , -0.009          ,         , -0.016          ,         , -0.21           ,         , -0.19           ,        
Basic_INIT3               , 0.0049          ,         , 0.014           ,         , -0.065          ,         , -0.016          ,        
Basic_INIT_VIEW1D         , 0.0013          ,         , -0.059          ,         , -0.17           ,         , -0.05           ,        
Basic_INIT_VIEW1D_OFFSET  , 0.0011          ,         , -0.059          ,         , -0.06           ,         , 0.082           ,        
Basic_MULADDSUB           , -0.0011         ,         , 0.001           ,         , -0.1            ,         , -0.055          ,        
Basic_NESTED_INIT         , 0.0034          ,         , 0.01            ,         , -0.028          ,         , -0.03           ,        
Basic_PI_ATOMIC           , 0.0033          ,         , 1.2             ,OVER_TOL , -0.011          ,         , 0.048           ,        
Basic_REDUCE3_INT         , -0.00071        ,         , -0.077          ,         , 0               ,         , -0.33           ,        
Basic_TRAP_INT            , 0.00039         ,         , -0.0005         ,         , 0               ,         , -0.96           ,        
Lcals_DIFF_PREDICT        , -0.0044         ,         , 0.0048          ,         , 0               ,         , -0.048          ,        
Lcals_EOS                 , -0.025          ,         , -0.015          ,         , 0               ,         , -0.067          ,        
Lcals_FIRST_DIFF          , -0.00025        ,         , 0.00096         ,         , 0               ,         , -0.034          ,        
Lcals_FIRST_MIN           , -0.014          ,         , 0.0012          ,         , 0               ,         , 0.2             ,OVER_TOL
Lcals_FIRST_SUM           , -0.0036         ,         , -0.0014         ,         , 0               ,         , -0.033          ,        
Lcals_GEN_LIN_RECUR       , 0.0035          ,         , -0.00024        ,         , 0               ,         , -0.078          ,        
Lcals_HYDRO_1D            , 0.0024          ,         , 0.002           ,         , 0               ,         , 0.007           ,        
Lcals_HYDRO_2D            , 0.00082         ,         , 0.00093         ,         , 0               ,         , -0.01           ,        
Lcals_INT_PREDICT         , 0.0044          ,         , 0.093           ,         , 0               ,         , -0.067          ,        
Lcals_PLANCKIAN           , -0.00072        ,         , -0.011          ,         , 0               ,         , -0.13           ,        
Lcals_TRIDIAG_ELIM        , -0.011          ,         , -0.0017         ,         , 0               ,         , -0.026          ,        
Stream_ADD                , 0.0013          ,         , 0.0036          ,         , -0.05           ,         , 0.012           ,        
Stream_COPY               , -0.0065         ,         , -0.0065         ,         , -0.044          ,         , 0.0057          ,        
Stream_DOT                , -0.0024         ,         , -0.0062         ,         , 0               ,         , -0.96           ,        
Stream_MUL                , -0.0037         ,         , -0.00088        ,         , -0.028          ,         , -0.01           ,        
Stream_TRIAD              , -0.0075         ,         , -0.018          ,         , -0.091          ,         , -0.057          ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.3            ,         , -0.29           ,         , -0.21           ,         , -0.96           ,        
Col Max                   , 0.073           ,         , 1.2             ,         , -0.0086         ,         , 3.2             ,        
Col Avg                   , -0.0087         ,         , 0.026           ,         , -0.078          ,         , 0.012           ,        
Col Std Dev               , 0.0029          ,         , 0.047           ,         , 0.0036          ,         , 0.36            ,        
