Speedup Report (T_ref/T_var): ref var = Base_Seq  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_HIP , Lambda_HIP , RAJA_HIP , RAJA_WORKGROUP_HIP , Kokkos_Lambda , Kokkos_Functor
Basic_ATOMIC_PI           ,    1.000 ,      5.500 ,    1.000 ,    0.400 ,      0.289 ,    0.289 ,            Not run ,         0.440 ,        Not run
Basic_DAXPY               ,    1.000 ,      2.000 ,    0.526 ,    0.263 ,      0.270 ,    0.294 ,            Not run ,         0.189 ,        Not run
Basic_IF_QUAD             ,    1.000 ,      4.200 ,    1.000 ,    0.323 ,      0.553 ,    0.538 ,            Not run ,         0.067 ,        Not run
Basic_INIT3               ,    1.000 ,      1.000 ,    0.200 ,    0.074 ,      0.100 ,    0.063 ,            Not run ,         0.074 ,        Not run
Basic_INIT_VIEW1D         ,    1.000 ,      1.500 ,    0.273 ,    0.120 ,      0.167 ,    0.092 ,            Not run ,         0.107 ,        Not run
Basic_INIT_VIEW1D_OFFSET  ,    1.000 ,      1.200 ,    0.286 ,    0.115 ,      0.150 ,    0.158 ,            Not run ,         0.078 ,        Not run
Basic_MULADDSUB           ,    1.000 ,      1.250 ,    0.227 ,    0.093 ,      0.093 ,    0.128 ,            Not run ,         0.017 ,        Not run
Basic_NESTED_INIT         ,    1.000 ,      1.000 ,    0.200 ,    0.067 ,      0.105 ,    0.077 ,            Not run ,         0.071 ,        Not run
Basic_REDUCE3_INT         ,    1.000 ,      2.091 ,    1.095 ,    0.303 ,    Not run ,    0.442 ,            Not run ,         0.590 ,        Not run
Basic_TRAP_INT            ,    1.000 ,      4.000 ,    1.053 ,    0.192 ,    Not run ,    0.488 ,            Not run ,         0.364 ,        Not run
