Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_HIP , Lambda_HIP , RAJA_HIP , RAJA_WORKGROUP_HIP , Kokkos_Lambda , Kokkos_Functor
Basic_ATOMIC_PI           , 0.000000 ,   0.000000 , 0.000000 , 0.000001 ,   0.000001 , 0.000004 ,            Not run ,      0.000001 ,        Not run
Basic_DAXPY               , 0.000000 ,   0.000000 , 0.000000 , 0.000000 ,   0.000000 , 0.000000 ,            Not run ,      0.000001 ,        Not run
Basic_IF_QUAD             , 0.000000 ,   0.000000 , 0.000000 , 0.000001 ,   0.000000 , 0.000000 ,            Not run ,      0.000003 ,        Not run
Basic_INIT3               , 0.000000 ,   0.000000 , 0.000000 , 0.000001 ,   0.000000 , 0.000000 ,            Not run ,      0.000001 ,        Not run
Basic_INIT_VIEW1D         , 0.000000 ,   0.000000 , 0.000000 , 0.000001 ,   0.000001 , 0.000000 ,            Not run ,      0.000001 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 0.000000 ,   0.000000 , 0.000000 , 0.000001 ,   0.000001 , 0.000001 ,            Not run ,      0.000001 ,        Not run
Basic_MULADDSUB           , 0.000000 ,   0.000000 , 0.000000 , 0.000001 ,   0.000001 , 0.000000 ,            Not run ,      0.000003 ,        Not run
Basic_NESTED_INIT         , 0.000000 ,   0.000000 , 0.000000 , 0.000001 ,   0.000000 , 0.000000 ,            Not run ,      0.000001 ,        Not run
Basic_REDUCE3_INT         , 0.000000 ,   0.000000 , 0.000000 , 0.000001 ,    Not run , 0.000001 ,            Not run ,      0.000001 ,        Not run
Basic_TRAP_INT            , 0.000000 ,   0.000000 , 0.000000 , 0.000001 ,    Not run , 0.000000 ,            Not run ,      0.000001 ,        Not run
