FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,         , RAJA_WORKGROUP_HIP,        
Basic_ATOMIC_PI           , -0.57           ,         , 0.5             ,OVER_TOL , -0.31           ,         , 0.41            ,OVER_TOL , 0               ,        
Basic_DAXPY               , -0.33           ,         , 2.5             ,OVER_TOL , -0.1            ,         , -0.051          ,         , 0               ,        
Basic_IF_QUAD             , -0.5            ,         , 0.9             ,OVER_TOL , -0.32           ,         , -0.34           ,         , 0               ,        
Basic_INIT3               , -0.33           ,         , 2.5             ,OVER_TOL , -0.34           ,         , -0.28           ,         , 0               ,        
Basic_INIT_VIEW1D         , -0.43           ,         , 2.1             ,OVER_TOL , -0.18           ,         , -0.36           ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.17           ,         , 2.5             ,OVER_TOL , -0.36           ,         , -0.31           ,         , 0               ,        
Basic_MULADDSUB           , -0.2            ,         , 6.2             ,OVER_TOL , -0.33           ,         , -0.32           ,         , 0               ,        
Basic_NESTED_INIT         , -0.62           ,         , 1.9             ,OVER_TOL , -0.3            ,         , -0.4            ,         , 0               ,        
Basic_REDUCE3_INT         , -0.5            ,         , 0.045           ,         , 0               ,         , -0.3            ,         , 0               ,        
Basic_TRAP_INT            , -0.76           ,         , 0.048           ,         , 0               ,         , -0.52           ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.76           ,         , 0.045           ,         , -0.36           ,         , -0.52           ,         , 1.8e+308        ,        
Col Max                   , -0.17           ,         , 6.2             ,         , -0.1            ,         , 0.41            ,         , -1.8e+308       ,        
Col Avg                   , -0.44           ,         , 1.9             ,         , -0.28           ,         , -0.25           ,         , 0               ,        
Col Std Dev               , 0.032           ,         , 2.9             ,         , 0.0072          ,         , 0.06            ,         , 0               ,        
