Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Base_Seq , Lambda_Seq , RAJA_Seq , Base_HIP , Lambda_HIP , RAJA_HIP , Kokkos_Lambda , Kokkos_Functor
Apps_DEL_DOT_VEC_2D       , 0.805236 ,   0.828373 , 0.816964 , 0.007754 ,   0.006267 , 0.031967 ,       Not run ,        Not run
Apps_ENERGY               , 1.115452 ,   1.199911 , 1.208648 , 0.043420 ,    Not run , 0.043220 ,       Not run ,        Not run
Apps_FIR                  , 0.992633 ,   0.948809 , 0.949862 , 0.009008 ,    Not run , 0.008762 ,       Not run ,        Not run
Apps_HALOEXCHANGE         , 0.014126 ,   0.016840 , 0.013920 , 0.043487 ,    Not run , 0.040536 ,       Not run ,        Not run
Apps_LTIMES               , 0.883630 ,   0.884164 , 0.885287 , 0.017478 ,   0.015232 , 0.017505 ,       Not run ,        Not run
Apps_LTIMES_NOVIEW        , 0.884159 ,   0.886814 , 0.886944 , 0.016280 ,   0.015299 , 0.017626 ,       Not run ,        Not run
Apps_PRESSURE             , 1.348319 ,   1.351191 , 1.350023 , 0.054889 ,    Not run , 0.054710 ,       Not run ,        Not run
Apps_VOL3D                , 1.170922 ,   1.169550 , 1.176995 , 0.009254 ,    Not run , 0.007822 ,       Not run ,        Not run
Basic_DAXPY               , 0.192875 ,   0.193307 , 0.192849 , 0.017442 ,   0.017402 , 0.018137 ,      0.055363 ,        Not run
Basic_IF_QUAD             , 1.709548 ,   1.713411 , 1.715077 , 0.013683 ,   0.012942 , 0.013115 ,      0.027021 ,        Not run
Basic_INIT3               , 0.780727 ,   0.779769 , 0.780718 , 0.032315 ,   0.030653 , 0.031032 ,      0.062401 ,        Not run
Basic_INIT_VIEW1D         , 1.507538 ,   1.511005 , 1.443264 , 0.039225 ,   0.033754 , 0.037045 ,      0.207694 ,        Not run
Basic_INIT_VIEW1D_OFFSET  , 1.534376 ,   1.521452 , 1.416343 , 0.034719 ,   0.033571 , 0.039745 ,      0.204457 ,        Not run
Basic_MULADDSUB           , 0.529175 ,   0.531226 , 0.531357 , 0.025918 ,   0.022617 , 0.023676 ,      0.047893 ,        Not run
Basic_NESTED_INIT         , 0.605814 ,   0.604868 , 0.608292 , 0.016162 ,   0.015645 , 0.016030 ,      0.110108 ,        Not run
Basic_PI_ATOMIC           , 0.075384 ,   0.075509 , 0.165430 , 711.895625 , 684.398815 , 737.038810 ,   1141.441085 ,        Not run
Basic_REDUCE3_INT         , 0.012568 ,   0.012548 , 0.011600 , 0.013877 ,    Not run , 0.008888 ,      0.011922 ,        Not run
Basic_TRAP_INT            , 0.208689 ,   0.210122 , 0.209989 , 0.094153 ,    Not run , 0.003554 ,      0.011397 ,        Not run
Lcals_DIFF_PREDICT        , 0.766900 ,   0.772045 , 0.757946 , 0.040364 ,    Not run , 0.038165 ,      0.074168 ,        Not run
Lcals_EOS                 , 0.667017 ,   0.668395 , 0.663637 , 0.024607 ,    Not run , 0.022766 ,      0.063539 ,        Not run
Lcals_FIRST_DIFF          , 0.714272 ,   0.712050 , 0.713671 , 0.053006 ,    Not run , 0.047654 ,      0.196005 ,        Not run
Lcals_FIRST_MIN           , 0.048209 ,   0.048094 , 0.049032 , 0.009944 ,    Not run , 0.011773 ,      0.022908 ,        Not run
Lcals_FIRST_SUM           , 0.774545 ,   0.772490 , 0.773542 , 0.052049 ,    Not run , 0.049782 ,      0.194437 ,        Not run
Lcals_GEN_LIN_RECUR       , 0.848756 ,   0.847261 , 0.851709 , 0.063021 ,    Not run , 0.056779 ,      0.131220 ,        Not run
Lcals_HYDRO_1D            , 0.826690 ,   0.822564 , 0.825703 , 0.040075 ,    Not run , 0.031223 ,      0.110151 ,        Not run
Lcals_HYDRO_2D            , 0.813829 ,   0.813828 , 0.812143 , 0.021593 ,    Not run , 0.021378 ,      0.050417 ,        Not run
Lcals_INT_PREDICT         , 1.222331 ,   1.228243 , 1.310965 , 0.049332 ,    Not run , 0.046289 ,      0.090430 ,        Not run
Lcals_PLANCKIAN           , 0.753536 ,   0.752690 , 0.745031 , 0.004480 ,    Not run , 0.003301 ,      0.008618 ,        Not run
Lcals_TRIDIAG_ELIM        , 1.146141 ,   1.152458 , 1.148728 , 0.051186 ,    Not run , 0.047462 ,      0.119407 ,        Not run
Stream_ADD                , 0.753128 ,   0.751327 , 0.753117 , 0.036336 ,   0.034264 , 0.033865 ,      0.112319 ,        Not run
Stream_COPY               , 0.620328 ,   0.621066 , 0.619217 , 0.047733 ,   0.044841 , 0.043873 ,      0.176044 ,        Not run
Stream_DOT                , 1.842205 ,   1.835492 , 1.843439 , 3.749326 ,    Not run , 0.121046 ,      0.385849 ,        Not run
Stream_MUL                , 0.617525 ,   0.621625 , 0.618884 , 0.047648 ,   0.044353 , 0.044515 ,      0.178881 ,        Not run
Stream_TRIAD              , 0.793125 ,   0.770980 , 0.790741 , 0.036505 ,   0.033679 , 0.033315 ,      0.113535 ,        Not run
