FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,        
Apps_DEL_DOT_VEC_2D       , 0.011           ,         , 0.0076          ,         , -0.18           ,         , 3.2             ,OVER_TOL
Apps_ENERGY               , 0.075           ,         , 0.082           ,         , 0               ,         , -0.034          ,        
Apps_FIR                  , -0.03           ,         , -0.027          ,         , 0               ,         , 0.02            ,        
Apps_HALOEXCHANGE         , 0.0027          ,         , 0.017           ,         , 0               ,         , -0.088          ,        
Apps_LTIMES               , 0.00052         ,         , 0.0039          ,         , -0.1            ,         , 0.028           ,        
Apps_LTIMES_NOVIEW        , 0.0013          ,         , 0.002           ,         , -0.059          ,         , 0.084           ,        
Apps_PRESSURE             , 0.0077          ,         , 0.0066          ,         , 0               ,         , -0.0032         ,        
Apps_VOL3D                , 0.0024          ,         , 0.014           ,         , 0               ,         , -0.15           ,        
Basic_DAXPY               , 0.00038         ,         , 0.00036         ,         , -0.011          ,         , 0.06            ,        
Basic_IF_QUAD             , -5.4e-05        ,         , 0.014           ,         , -0.073          ,         , -0.092          ,        
Basic_INIT3               , -0.0019         ,         , 0.0061          ,         , -0.033          ,         , -0.0029         ,        
Basic_INIT_VIEW1D         , 0.0013          ,         , -0.074          ,         , -0.15           ,         , -0.023          ,        
Basic_INIT_VIEW1D_OFFSET  , 0.0014          ,         , -0.059          ,         , -0.061          ,         , 0.082           ,        
Basic_MULADDSUB           , 0.00077         ,         , 0.0092          ,         , -0.092          ,         , -0.062          ,        
Basic_NESTED_INIT         , 0.00061         ,         , 0.0069          ,         , -0.022          ,         , 0.0009          ,        
Basic_PI_ATOMIC           , -0.0024         ,         , 1.2             ,OVER_TOL , -0.078          ,         , -0.031          ,        
Basic_REDUCE3_INT         , -0.0018         ,         , -0.077          ,         , 0               ,         , -0.37           ,        
Basic_TRAP_INT            , -0.00074        ,         , -0.001          ,         , 0               ,         , -0.96           ,        
Lcals_DIFF_PREDICT        , -0.00061        ,         , 0.013           ,         , 0               ,         , -0.058          ,        
Lcals_EOS                 , -0.0024         ,         , -0.00025        ,         , 0               ,         , -0.1            ,        
Lcals_FIRST_DIFF          , -0.0011         ,         , -0.00027        ,         , 0               ,         , -0.097          ,        
Lcals_FIRST_MIN           , -0.013          ,         , 0.0016          ,         , 0               ,         , 0.18            ,OVER_TOL
Lcals_FIRST_SUM           , -0.0031         ,         , -0.0022         ,         , 0               ,         , -0.081          ,        
Lcals_GEN_LIN_RECUR       , 0.0026          ,         , 0.0033          ,         , 0               ,         , -0.13           ,        
Lcals_HYDRO_1D            , 0.0029          ,         , 0.0092          ,         , 0               ,         , -0.23           ,        
Lcals_HYDRO_2D            , 0.00097         ,         , -0.00042        ,         , 0               ,         , -0.014          ,        
Lcals_INT_PREDICT         , -0.0035         ,         , 0.075           ,         , 0               ,         , -0.086          ,        
Lcals_PLANCKIAN           , 0.00061         ,         , -0.0098         ,         , 0               ,         , -0.19           ,        
Lcals_TRIDIAG_ELIM        , 0.0023          ,         , -0.0043         ,         , 0               ,         , -0.054          ,        
Stream_ADD                , -0.008          ,         , -0.0026         ,         , -0.069          ,         , -0.1            ,        
Stream_COPY               , 0.0013          ,         , -0.0054         ,         , -0.081          ,         , -0.12           ,        
Stream_DOT                , -0.0019         ,         , -0.0029         ,         , 0               ,         , -0.97           ,        
Stream_MUL                , -0.00027        ,         , 0.0017          ,         , -0.08           ,         , -0.075          ,        
Stream_TRIAD              , -0.0036         ,         , -0.001          ,         , -0.093          ,         , -0.12           ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.03           ,         , -0.077          ,         , -0.18           ,         , -0.97           ,        
Col Max                   , 0.075           ,         , 1.2             ,         , -0.011          ,         , 3.2             ,        
Col Avg                   , 0.0012          ,         , 0.035           ,         , -0.079          ,         , -0.017          ,        
Col Std Dev               , 0.00021         ,         , 0.042           ,         , 0.0018          ,         , 0.37            ,        
