FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                    , Lambda_Seq      ,         , RAJA_Seq        ,         , Lambda_HIP      ,         , RAJA_HIP        ,         , RAJA_WORKGROUP_HIP,        
Basic_ATOMIC_PI           , -0.68           ,         , -0.74           ,         , 0.014           ,         , 4               ,OVER_TOL , 0               ,        
Basic_DAXPY               , -0.5            ,         , -0.3            ,         , -0.1            ,         , -0.1            ,         , 0               ,        
Basic_IF_QUAD             , -0.33           ,         , 2.3             ,OVER_TOL , -0.33           ,         , -0.32           ,         , 0               ,        
Basic_INIT3               , -0.2            ,         , 3.2             ,OVER_TOL , -0.27           ,         , -0.25           ,         , 0               ,        
Basic_INIT_VIEW1D         , 0               ,         , 4.2             ,OVER_TOL , 0.053           ,         , -0.32           ,         , 0               ,        
Basic_INIT_VIEW1D_OFFSET  , -0.14           ,         , 2               ,OVER_TOL , -0.15           ,         , -0.27           ,         , 0               ,        
Basic_MULADDSUB           , -0.43           ,         , 2               ,OVER_TOL , 0.053           ,         , -0.32           ,         , 0               ,        
Basic_NESTED_INIT         , 0               ,         , 3.2             ,OVER_TOL , -0.36           ,         , -0.18           ,         , 0               ,        
Basic_REDUCE3_INT         , -0.55           ,         , -0.091          ,         , 0               ,         , -0.093          ,         , 0               ,        
Basic_TRAP_INT            , -0.78           ,         , 0.5             ,OVER_TOL , 0               ,         , -0.56           ,         , 0               ,        
                          ,                 ,         ,                 ,         ,                 ,         ,                 ,         ,                 ,        
Col Min                   , -0.78           ,         , -0.74           ,         , -0.36           ,         , -0.56           ,         , 1.8e+308        ,        
Col Max                   , 0               ,         , 4.2             ,         , 0.053           ,         , 4               ,         , -1.8e+308       ,        
Col Avg                   , -0.36           ,         , 1.6             ,         , -0.14           ,         , 0.16            ,         , 0               ,        
Col Std Dev               , 0.067           ,         , 2.6             ,         , 0.025           ,         , 1.7             ,         , 0               ,        
